CE12	alt.corel_20041228.0503-CE1
CE13	alt.corel_20041228.0503-CE2
CE51	alt.corel_20041228.0503-CE3
CE14	alt.corel_20041228.0503-CE4
CE15	alt.corel_20041228.0503-CE5
CE16	alt.corel_20041228.0503-CE6
CE17	alt.corel_20041228.0503-CE7
CE18	alt.corel_20041228.0503-CE8
CE19	alt.corel_20041228.0503-CE9
CE20	alt.corel_20041228.0503-CE10
CE21	alt.corel_20041228.0503-CE11
CE23	alt.corel_20041228.0503-CE12
CE22	alt.corel_20041228.0503-CE13
CE2	alt.corel_20041228.0503-CE14
CE24	alt.corel_20041228.0503-CE15
CE26	alt.corel_20041228.0503-CE16
CE27	alt.corel_20041228.0503-CE17
CE28	alt.corel_20041228.0503-CE18
CE25	alt.corel_20041228.0503-CE19
CE31	alt.corel_20041228.0503-CE20
CE32	alt.corel_20041228.0503-CE21
CE33	alt.corel_20041228.0503-CE22
CE52	alt.corel_20041228.0503-CE23
CE5	alt.corel_20041228.0503-CE24
CE34	alt.corel_20041228.0503-CE25
CE35	alt.corel_20041228.0503-CE26
CE36	alt.corel_20041228.0503-CE27
CE37	alt.corel_20041228.0503-CE28
CE29	alt.corel_20041228.0503-CE29
CE38	alt.corel_20041228.0503-CE30
CE39	alt.corel_20041228.0503-CE31
CE4	alt.corel_20041228.0503-CE32
CE40	alt.corel_20041228.0503-CE33
CE41	alt.corel_20041228.0503-CE34
CE3	alt.corel_20041228.0503-CE35
CE42	alt.corel_20041228.0503-CE36
CE43	alt.corel_20041228.0503-CE37
CE44	alt.corel_20041228.0503-CE38
CE45	alt.corel_20041228.0503-CE39
CE46	alt.corel_20041228.0503-CE40
CE47	alt.corel_20041228.0503-CE41
CE48	alt.corel_20041228.0503-CE42
CE49	alt.corel_20041228.0503-CE43
CE50	alt.corel_20041228.0503-CE44
CE30	alt.corel_20041228.0503-CE45
CE6	alt.corel_20041228.0503-CE46
CE1	alt.corel_20041228.0503-CE47
CE7	alt.corel_20041228.0503-CE48
CE8	alt.corel_20041228.0503-CE49
CE9	alt.corel_20041228.0503-CE50
CE10	alt.corel_20041228.0503-CE51
CE11	alt.corel_20041228.0503-CE52
E13	alt.corel_20041228.0503-E1
E14	alt.corel_20041228.0503-E2
E16	alt.corel_20041228.0503-E3
E17	alt.corel_20041228.0503-E4
E18	alt.corel_20041228.0503-E5
E19	alt.corel_20041228.0503-E6
E20	alt.corel_20041228.0503-E7
E21	alt.corel_20041228.0503-E8
E22	alt.corel_20041228.0503-E9
E23	alt.corel_20041228.0503-E10
E24	alt.corel_20041228.0503-E11
E25	alt.corel_20041228.0503-E12
E26	alt.corel_20041228.0503-E13
E27	alt.corel_20041228.0503-E14
E28	alt.corel_20041228.0503-E15
E29	alt.corel_20041228.0503-E16
E31	alt.corel_20041228.0503-E17
E32	alt.corel_20041228.0503-E18
E34	alt.corel_20041228.0503-E19
E35	alt.corel_20041228.0503-E20
E36	alt.corel_20041228.0503-E21
E1	alt.corel_20041228.0503-E22
E38	alt.corel_20041228.0503-E23
E76	alt.corel_20041228.0503-E24
E40	alt.corel_20041228.0503-E25
E42	alt.corel_20041228.0503-E26
E43	alt.corel_20041228.0503-E27
E84	alt.corel_20041228.0503-E28
E44	alt.corel_20041228.0503-E29
E45	alt.corel_20041228.0503-E30
E46	alt.corel_20041228.0503-E31
E47	alt.corel_20041228.0503-E32
E48	alt.corel_20041228.0503-E33
E49	alt.corel_20041228.0503-E34
E50	alt.corel_20041228.0503-E35
E51	alt.corel_20041228.0503-E36
E77	alt.corel_20041228.0503-E37
E52	alt.corel_20041228.0503-E38
E53	alt.corel_20041228.0503-E39
E54	alt.corel_20041228.0503-E40
E56	alt.corel_20041228.0503-E41
E58	alt.corel_20041228.0503-E42
E59	alt.corel_20041228.0503-E43
E60	alt.corel_20041228.0503-E44
E62	alt.corel_20041228.0503-E45
E63	alt.corel_20041228.0503-E46
E64	alt.corel_20041228.0503-E47
E65	alt.corel_20041228.0503-E48
E66	alt.corel_20041228.0503-E49
E78	alt.corel_20041228.0503-E50
E69	alt.corel_20041228.0503-E51
E70	alt.corel_20041228.0503-E52
E71	alt.corel_20041228.0503-E53
E72	alt.corel_20041228.0503-E54
E73	alt.corel_20041228.0503-E55
E2	alt.corel_20041228.0503-E56
E1	alt.corel_20041228.0503-E57
E81	alt.corel_20041228.0503-E58
E82	alt.corel_20041228.0503-E59
E83	alt.corel_20041228.0503-E60
E5	alt.corel_20041228.0503-E61
E6	alt.corel_20041228.0503-E62
E7	alt.corel_20041228.0503-E63
E8	alt.corel_20041228.0503-E64
E9	alt.corel_20041228.0503-E65
E10	alt.corel_20041228.0503-E66
E11	alt.corel_20041228.0503-E67
E12	alt.corel_20041228.0503-E68
EM1	alt.corel_20041228.0503-E22-1
EM22	alt.corel_20041228.0503-E56-2
EM23	alt.corel_20041228.0503-E56-3
EM24	alt.corel_20041228.0503-E56-4
EM21	alt.corel_20041228.0503-E2-5
EM20	alt.corel_20041228.0503-E60-6
EM131	alt.corel_20041228.0503-E1-7
EM26	alt.corel_20041228.0503-E3-8
EM27	alt.corel_20041228.0503-E4-9
EM28	alt.corel_20041228.0503-E56-10
EM29	alt.corel_20041228.0503-E6-11
EM30	alt.corel_20041228.0503-E65-12
EM31	alt.corel_20041228.0503-E7-13
EM32	alt.corel_20041228.0503-E56-14
EM33	alt.corel_20041228.0503-E8-15
EM34	alt.corel_20041228.0503-E61-16
EM35	alt.corel_20041228.0503-E56-17
EM36	alt.corel_20041228.0503-E56-18
EM37	alt.corel_20041228.0503-E1-19
EM38	alt.corel_20041228.0503-E9-20
EM39	alt.corel_20041228.0503-E10-21
EM40	alt.corel_20041228.0503-E11-22
EM41	alt.corel_20041228.0503-E12-23
EM42	alt.corel_20041228.0503-E9-24
EM44	alt.corel_20041228.0503-E13-25
EM45	alt.corel_20041228.0503-E14-26
EM46	alt.corel_20041228.0503-E63-27
EM47	alt.corel_20041228.0503-E65-28
EM48	alt.corel_20041228.0503-E15-29
EM49	alt.corel_20041228.0503-E16-30
EM50	alt.corel_20041228.0503-E17-31
EM132	alt.corel_20041228.0503-E65-32
EM51	alt.corel_20041228.0503-E18-33
EM52	alt.corel_20041228.0503-E12-34
EM133	alt.corel_20041228.0503-E65-35
EM57	alt.corel_20041228.0503-E24-36
EM54	alt.corel_20041228.0503-E65-37
EM55	alt.corel_20041228.0503-E19-38
EM56	alt.corel_20041228.0503-E1-39
EM53	alt.corel_20041228.0503-E1-40
EM58	alt.corel_20041228.0503-E20-41
EM59	alt.corel_20041228.0503-E21-42
EM134	alt.corel_20041228.0503-E10-43
EM136	alt.corel_20041228.0503-E65-44
EM61	alt.corel_20041228.0503-E23-45
EM62	alt.corel_20041228.0503-E37-46
EM64	alt.corel_20041228.0503-E25-47
EM65	alt.corel_20041228.0503-E5-48
EM66	alt.corel_20041228.0503-E1-49
EM137	alt.corel_20041228.0503-E1-50
EM68	alt.corel_20041228.0503-E26-51
EM69	alt.corel_20041228.0503-E63-52
EM70	alt.corel_20041228.0503-E27-53
EM138	alt.corel_20041228.0503-E28-54
EM139	alt.corel_20041228.0503-E65-55
EM140	alt.corel_20041228.0503-E1-56
EM73	alt.corel_20041228.0503-E61-57
EM76	alt.corel_20041228.0503-E65-58
EM77	alt.corel_20041228.0503-E29-59
