CE8	alt.gossip.celebrities_20041118.2331-CE1
CE9	alt.gossip.celebrities_20041118.2331-CE2
CE14	alt.gossip.celebrities_20041118.2331-CE3
CE12	alt.gossip.celebrities_20041118.2331-CE4
CE13	alt.gossip.celebrities_20041118.2331-CE5
CE15	alt.gossip.celebrities_20041118.2331-CE6
CE16	alt.gossip.celebrities_20041118.2331-CE7
CE17	alt.gossip.celebrities_20041118.2331-CE8
CE18	alt.gossip.celebrities_20041118.2331-CE9
CE19	alt.gossip.celebrities_20041118.2331-CE10
CE30	alt.gossip.celebrities_20041118.2331-CE11
CE21	alt.gossip.celebrities_20041118.2331-CE12
CE31	alt.gossip.celebrities_20041118.2331-CE13
CE32	alt.gossip.celebrities_20041118.2331-CE14
CE33	alt.gossip.celebrities_20041118.2331-CE15
CE24	alt.gossip.celebrities_20041118.2331-CE16
CE25	alt.gossip.celebrities_20041118.2331-CE17
CE3	alt.gossip.celebrities_20041118.2331-CE18
CE27	alt.gossip.celebrities_20041118.2331-CE19
CE28	alt.gossip.celebrities_20041118.2331-CE20
CE29	alt.gossip.celebrities_20041118.2331-CE21
CE7	alt.gossip.celebrities_20041118.2331-CE22
CE2	alt.gossip.celebrities_20041118.2331-CE23
CE10	alt.gossip.celebrities_20041118.2331-CE24
CE20	alt.gossip.celebrities_20041118.2331-CE25
CE22	alt.gossip.celebrities_20041118.2331-CE26
CE23	alt.gossip.celebrities_20041118.2331-CE27
CE26	alt.gossip.celebrities_20041118.2331-CE28
CE4	alt.gossip.celebrities_20041118.2331-CE29
CE5	alt.gossip.celebrities_20041118.2331-CE30
CE1	alt.gossip.celebrities_20041118.2331-CE31
CE6	alt.gossip.celebrities_20041118.2331-CE32
E11	alt.gossip.celebrities_20041118.2331-E1
E12	alt.gossip.celebrities_20041118.2331-E2
E13	alt.gossip.celebrities_20041118.2331-E3
E14	alt.gossip.celebrities_20041118.2331-E4
E16	alt.gossip.celebrities_20041118.2331-E5
E18	alt.gossip.celebrities_20041118.2331-E6
E20	alt.gossip.celebrities_20041118.2331-E7
E21	alt.gossip.celebrities_20041118.2331-E8
E23	alt.gossip.celebrities_20041118.2331-E9
E24	alt.gossip.celebrities_20041118.2331-E10
E25	alt.gossip.celebrities_20041118.2331-E11
E26	alt.gossip.celebrities_20041118.2331-E12
E75	alt.gossip.celebrities_20041118.2331-E13
E28	alt.gossip.celebrities_20041118.2331-E14
E76	alt.gossip.celebrities_20041118.2331-E15
E77	alt.gossip.celebrities_20041118.2331-E16
E1	alt.gossip.celebrities_20041118.2331-E17
E78	alt.gossip.celebrities_20041118.2331-E18
E38	alt.gossip.celebrities_20041118.2331-E19
E39	alt.gossip.celebrities_20041118.2331-E20
E41	alt.gossip.celebrities_20041118.2331-E21
E42	alt.gossip.celebrities_20041118.2331-E22
E44	alt.gossip.celebrities_20041118.2331-E23
E45	alt.gossip.celebrities_20041118.2331-E24
E46	alt.gossip.celebrities_20041118.2331-E25
E47	alt.gossip.celebrities_20041118.2331-E26
E48	alt.gossip.celebrities_20041118.2331-E27
E49	alt.gossip.celebrities_20041118.2331-E28
E57	alt.gossip.celebrities_20041118.2331-E29
E52	alt.gossip.celebrities_20041118.2331-E30
E58	alt.gossip.celebrities_20041118.2331-E31
E65	alt.gossip.celebrities_20041118.2331-E32
E66	alt.gossip.celebrities_20041118.2331-E33
E67	alt.gossip.celebrities_20041118.2331-E34
E69	alt.gossip.celebrities_20041118.2331-E35
E70	alt.gossip.celebrities_20041118.2331-E36
E71	alt.gossip.celebrities_20041118.2331-E37
E72	alt.gossip.celebrities_20041118.2331-E38
E73	alt.gossip.celebrities_20041118.2331-E39
E74	alt.gossip.celebrities_20041118.2331-E40
E3	alt.gossip.celebrities_20041118.2331-E41
E4	alt.gossip.celebrities_20041118.2331-E42
E10	alt.gossip.celebrities_20041118.2331-E43
E62	alt.gossip.celebrities_20041118.2331-E44
EM3	alt.gossip.celebrities_20041118.2331-E17-1
EM23	alt.gossip.celebrities_20041118.2331-E1-2
EM20	alt.gossip.celebrities_20041118.2331-E17-3
EM102	alt.gossip.celebrities_20041118.2331-E17-4
EM24	alt.gossip.celebrities_20041118.2331-E17-5
EM26	alt.gossip.celebrities_20041118.2331-E43-6
EM27	alt.gossip.celebrities_20041118.2331-E2-7
EM28	alt.gossip.celebrities_20041118.2331-E3-8
EM29	alt.gossip.celebrities_20041118.2331-E4-9
EM103	alt.gossip.celebrities_20041118.2331-E17-10
EM104	alt.gossip.celebrities_20041118.2331-E17-11
EM106	alt.gossip.celebrities_20041118.2331-E17-12
EM107	alt.gossip.celebrities_20041118.2331-E17-13
EM108	alt.gossip.celebrities_20041118.2331-E17-14
EM109	alt.gossip.celebrities_20041118.2331-E17-15
EM35	alt.gossip.celebrities_20041118.2331-E42-16
EM110	alt.gossip.celebrities_20041118.2331-E17-17
EM38	alt.gossip.celebrities_20041118.2331-E5-18
EM39	alt.gossip.celebrities_20041118.2331-E42-19
EM111	alt.gossip.celebrities_20041118.2331-E17-20
EM112	alt.gossip.celebrities_20041118.2331-E17-21
EM113	alt.gossip.celebrities_20041118.2331-E17-22
EM42	alt.gossip.celebrities_20041118.2331-E6-23
EM114	alt.gossip.celebrities_20041118.2331-E41-24
EM46	alt.gossip.celebrities_20041118.2331-E7-25
EM115	alt.gossip.celebrities_20041118.2331-E41-26
EM116	alt.gossip.celebrities_20041118.2331-E41-27
EM52	alt.gossip.celebrities_20041118.2331-E43-28
EM53	alt.gossip.celebrities_20041118.2331-E8-29
EM117	alt.gossip.celebrities_20041118.2331-E6-30
EM118	alt.gossip.celebrities_20041118.2331-E13-31
EM54	alt.gossip.celebrities_20041118.2331-E8-32
EM55	alt.gossip.celebrities_20041118.2331-E9-33
EM56	alt.gossip.celebrities_20041118.2331-E43-34
EM57	alt.gossip.celebrities_20041118.2331-E10-35
EM58	alt.gossip.celebrities_20041118.2331-E11-36
EM59	alt.gossip.celebrities_20041118.2331-E11-37
EM61	alt.gossip.celebrities_20041118.2331-E12-38
EM63	alt.gossip.celebrities_20041118.2331-E14-39
EM119	alt.gossip.celebrities_20041118.2331-E15-40
EM65	alt.gossip.celebrities_20041118.2331-E14-41
EM67	alt.gossip.celebrities_20041118.2331-E34-42
EM120	alt.gossip.celebrities_20041118.2331-E16-43
EM68	alt.gossip.celebrities_20041118.2331-E43-44
EM121	alt.gossip.celebrities_20041118.2331-E16-45
EM122	alt.gossip.celebrities_20041118.2331-E34-46
EM123	alt.gossip.celebrities_20041118.2331-E35-47
EM124	alt.gossip.celebrities_20041118.2331-E18-48
EM125	alt.gossip.celebrities_20041118.2331-E28-49
EM74	alt.gossip.celebrities_20041118.2331-E42-50
EM75	alt.gossip.celebrities_20041118.2331-E19-51
EM76	alt.gossip.celebrities_20041118.2331-E20-52
EM78	alt.gossip.celebrities_20041118.2331-E21-53
EM80	alt.gossip.celebrities_20041118.2331-E20-54
EM81	alt.gossip.celebrities_20041118.2331-E17-55
EM82	alt.gossip.celebrities_20041118.2331-E42-56
EM83	alt.gossip.celebrities_20041118.2331-E42-57
EM84	alt.gossip.celebrities_20041118.2331-E22-58
EM85	alt.gossip.celebrities_20041118.2331-E23-59
EM86	alt.gossip.celebrities_20041118.2331-E17-60
EM87	alt.gossip.celebrities_20041118.2331-E42-61
EM88	alt.gossip.celebrities_20041118.2331-E24-62
EM89	alt.gossip.celebrities_20041118.2331-E25-63
EM90	alt.gossip.celebrities_20041118.2331-E26-64
EM91	alt.gossip.celebrities_20041118.2331-E27-65
EM92	alt.gossip.celebrities_20041118.2331-E28-66
EM25	alt.gossip.celebrities_20041118.2331-E29-67
EM93	alt.gossip.celebrities_20041118.2331-E17-68
EM47	alt.gossip.celebrities_20041118.2331-E43-69
EM48	alt.gossip.celebrities_20041118.2331-E30-70
EM33	alt.gossip.celebrities_20041118.2331-E31-71
EM62	alt.gossip.celebrities_20041118.2331-E32-72
EM64	alt.gossip.celebrities_20041118.2331-E33-73
EM66	alt.gossip.celebrities_20041118.2331-E34-74
EM71	alt.gossip.celebrities_20041118.2331-E34-75
EM79	alt.gossip.celebrities_20041118.2331-E35-76
EM60	alt.gossip.celebrities_20041118.2331-E11-77
EM1	alt.gossip.celebrities_20041118.2331-E17-78
EM2	alt.gossip.celebrities_20041118.2331-E17-79
EM70	alt.gossip.celebrities_20041118.2331-E36-80
EM16	alt.gossip.celebrities_20041118.2331-E42-81
EM18	alt.gossip.celebrities_20041118.2331-E42-82
EM31	alt.gossip.celebrities_20041118.2331-E17-83
EM36	alt.gossip.celebrities_20041118.2331-E42-84
EM69	alt.gossip.celebrities_20041118.2331-E43-85
EM72	alt.gossip.celebrities_20041118.2331-E37-86
EM73	alt.gossip.celebrities_20041118.2331-E38-87
EM44	alt.gossip.celebrities_20041118.2331-E39-88
EM45	alt.gossip.celebrities_20041118.2331-E44-89
EM49	alt.gossip.celebrities_20041118.2331-E31-90
EM34	alt.gossip.celebrities_20041118.2331-E31-91
EM41	alt.gossip.celebrities_20041118.2331-E31-92
