CE9	alt.politics.economics_20041206.1835-CE1
CE10	alt.politics.economics_20041206.1835-CE2
CE12	alt.politics.economics_20041206.1835-CE3
CE11	alt.politics.economics_20041206.1835-CE4
CE13	alt.politics.economics_20041206.1835-CE5
CE14	alt.politics.economics_20041206.1835-CE6
CE15	alt.politics.economics_20041206.1835-CE7
CE16	alt.politics.economics_20041206.1835-CE8
CE18	alt.politics.economics_20041206.1835-CE9
CE17	alt.politics.economics_20041206.1835-CE10
CE19	alt.politics.economics_20041206.1835-CE11
CE20	alt.politics.economics_20041206.1835-CE12
CE21	alt.politics.economics_20041206.1835-CE13
CE22	alt.politics.economics_20041206.1835-CE14
CE23	alt.politics.economics_20041206.1835-CE15
CE24	alt.politics.economics_20041206.1835-CE16
CE25	alt.politics.economics_20041206.1835-CE17
CE3	alt.politics.economics_20041206.1835-CE18
CE26	alt.politics.economics_20041206.1835-CE19
CE28	alt.politics.economics_20041206.1835-CE20
CE7	alt.politics.economics_20041206.1835-CE21
CE30	alt.politics.economics_20041206.1835-CE22
CE31	alt.politics.economics_20041206.1835-CE23
CE6	alt.politics.economics_20041206.1835-CE24
CE27	alt.politics.economics_20041206.1835-CE25
CE5	alt.politics.economics_20041206.1835-CE26
CE29	alt.politics.economics_20041206.1835-CE27
CE4	alt.politics.economics_20041206.1835-CE28
CE2	alt.politics.economics_20041206.1835-CE29
CE8	alt.politics.economics_20041206.1835-CE30
CE1	alt.politics.economics_20041206.1835-CE31
E10	alt.politics.economics_20041206.1835-E1
E11	alt.politics.economics_20041206.1835-E2
E12	alt.politics.economics_20041206.1835-E3
E13	alt.politics.economics_20041206.1835-E4
E14	alt.politics.economics_20041206.1835-E5
E15	alt.politics.economics_20041206.1835-E6
E16	alt.politics.economics_20041206.1835-E7
E17	alt.politics.economics_20041206.1835-E8
E18	alt.politics.economics_20041206.1835-E9
E19	alt.politics.economics_20041206.1835-E10
E20	alt.politics.economics_20041206.1835-E11
E42	alt.politics.economics_20041206.1835-E12
E23	alt.politics.economics_20041206.1835-E13
E24	alt.politics.economics_20041206.1835-E14
E25	alt.politics.economics_20041206.1835-E15
E26	alt.politics.economics_20041206.1835-E16
E27	alt.politics.economics_20041206.1835-E17
E28	alt.politics.economics_20041206.1835-E18
E29	alt.politics.economics_20041206.1835-E19
E30	alt.politics.economics_20041206.1835-E20
E31	alt.politics.economics_20041206.1835-E21
E44	alt.politics.economics_20041206.1835-E22
E1	alt.politics.economics_20041206.1835-E23
E33	alt.politics.economics_20041206.1835-E24
