CE19	alt.politics_20050124.0640-CE1
CE20	alt.politics_20050124.0640-CE2
CE21	alt.politics_20050124.0640-CE3
CE1	alt.politics_20050124.0640-CE4
CE22	alt.politics_20050124.0640-CE5
CE23	alt.politics_20050124.0640-CE6
CE24	alt.politics_20050124.0640-CE7
CE25	alt.politics_20050124.0640-CE8
CE27	alt.politics_20050124.0640-CE9
CE28	alt.politics_20050124.0640-CE10
CE26	alt.politics_20050124.0640-CE11
CE29	alt.politics_20050124.0640-CE12
CE30	alt.politics_20050124.0640-CE13
CE31	alt.politics_20050124.0640-CE14
CE10	alt.politics_20050124.0640-CE15
CE32	alt.politics_20050124.0640-CE16
CE33	alt.politics_20050124.0640-CE17
CE18	alt.politics_20050124.0640-CE18
CE34	alt.politics_20050124.0640-CE19
CE35	alt.politics_20050124.0640-CE20
CE36	alt.politics_20050124.0640-CE21
CE37	alt.politics_20050124.0640-CE22
CE38	alt.politics_20050124.0640-CE23
CE39	alt.politics_20050124.0640-CE24
CE40	alt.politics_20050124.0640-CE25
CE6	alt.politics_20050124.0640-CE26
CE41	alt.politics_20050124.0640-CE27
CE42	alt.politics_20050124.0640-CE28
CE43	alt.politics_20050124.0640-CE29
CE44	alt.politics_20050124.0640-CE30
CE45	alt.politics_20050124.0640-CE31
CE46	alt.politics_20050124.0640-CE32
CE50	alt.politics_20050124.0640-CE33
CE47	alt.politics_20050124.0640-CE34
CE3	alt.politics_20050124.0640-CE35
CE4	alt.politics_20050124.0640-CE36
CE7	alt.politics_20050124.0640-CE37
CE2	alt.politics_20050124.0640-CE38
CE48	alt.politics_20050124.0640-CE39
CE49	alt.politics_20050124.0640-CE40
CE8	alt.politics_20050124.0640-CE41
CE12	alt.politics_20050124.0640-CE42
CE5	alt.politics_20050124.0640-CE43
CE13	alt.politics_20050124.0640-CE44
CE9	alt.politics_20050124.0640-CE45
CE11	alt.politics_20050124.0640-CE46
CE14	alt.politics_20050124.0640-CE47
CE15	alt.politics_20050124.0640-CE48
CE16	alt.politics_20050124.0640-CE49
CE17	alt.politics_20050124.0640-CE50
E16	alt.politics_20050124.0640-E1
E17	alt.politics_20050124.0640-E2
E19	alt.politics_20050124.0640-E3
E20	alt.politics_20050124.0640-E4
E21	alt.politics_20050124.0640-E5
E22	alt.politics_20050124.0640-E6
E23	alt.politics_20050124.0640-E7
E24	alt.politics_20050124.0640-E8
E25	alt.politics_20050124.0640-E9
E63	alt.politics_20050124.0640-E10
E27	alt.politics_20050124.0640-E11
E28	alt.politics_20050124.0640-E12
E29	alt.politics_20050124.0640-E13
E30	alt.politics_20050124.0640-E14
E32	alt.politics_20050124.0640-E15
E33	alt.politics_20050124.0640-E16
E64	alt.politics_20050124.0640-E17
E70	alt.politics_20050124.0640-E18
E35	alt.politics_20050124.0640-E19
E36	alt.politics_20050124.0640-E20
E37	alt.politics_20050124.0640-E21
E38	alt.politics_20050124.0640-E22
E39	alt.politics_20050124.0640-E23
E40	alt.politics_20050124.0640-E24
E41	alt.politics_20050124.0640-E25
E42	alt.politics_20050124.0640-E26
E44	alt.politics_20050124.0640-E27
E1	alt.politics_20050124.0640-E28
E46	alt.politics_20050124.0640-E29
E47	alt.politics_20050124.0640-E30
E48	alt.politics_20050124.0640-E31
E49	alt.politics_20050124.0640-E32
E50	alt.politics_20050124.0640-E33
E51	alt.politics_20050124.0640-E34
E52	alt.politics_20050124.0640-E35
E71	alt.politics_20050124.0640-E36
E53	alt.politics_20050124.0640-E37
E55	alt.politics_20050124.0640-E38
E57	alt.politics_20050124.0640-E39
