CE8	alt.support.divorce_20050113.2451-CE1
CE9	alt.support.divorce_20050113.2451-CE2
CE10	alt.support.divorce_20050113.2451-CE3
CE11	alt.support.divorce_20050113.2451-CE4
CE12	alt.support.divorce_20050113.2451-CE5
CE14	alt.support.divorce_20050113.2451-CE6
CE13	alt.support.divorce_20050113.2451-CE7
CE15	alt.support.divorce_20050113.2451-CE8
CE16	alt.support.divorce_20050113.2451-CE9
CE4	alt.support.divorce_20050113.2451-CE10
CE17	alt.support.divorce_20050113.2451-CE11
CE18	alt.support.divorce_20050113.2451-CE12
CE19	alt.support.divorce_20050113.2451-CE13
CE22	alt.support.divorce_20050113.2451-CE14
CE21	alt.support.divorce_20050113.2451-CE15
CE20	alt.support.divorce_20050113.2451-CE16
CE23	alt.support.divorce_20050113.2451-CE17
CE24	alt.support.divorce_20050113.2451-CE18
CE2	alt.support.divorce_20050113.2451-CE19
CE25	alt.support.divorce_20050113.2451-CE20
CE26	alt.support.divorce_20050113.2451-CE21
CE27	alt.support.divorce_20050113.2451-CE22
CE28	alt.support.divorce_20050113.2451-CE23
CE29	alt.support.divorce_20050113.2451-CE24
CE30	alt.support.divorce_20050113.2451-CE25
CE31	alt.support.divorce_20050113.2451-CE26
CE32	alt.support.divorce_20050113.2451-CE27
CE33	alt.support.divorce_20050113.2451-CE28
CE34	alt.support.divorce_20050113.2451-CE29
CE35	alt.support.divorce_20050113.2451-CE30
CE36	alt.support.divorce_20050113.2451-CE31
CE44	alt.support.divorce_20050113.2451-CE32
CE37	alt.support.divorce_20050113.2451-CE33
CE38	alt.support.divorce_20050113.2451-CE34
CE39	alt.support.divorce_20050113.2451-CE35
CE40	alt.support.divorce_20050113.2451-CE36
CE41	alt.support.divorce_20050113.2451-CE37
CE42	alt.support.divorce_20050113.2451-CE38
CE43	alt.support.divorce_20050113.2451-CE39
CE45	alt.support.divorce_20050113.2451-CE40
CE46	alt.support.divorce_20050113.2451-CE41
CE47	alt.support.divorce_20050113.2451-CE42
CE48	alt.support.divorce_20050113.2451-CE43
CE49	alt.support.divorce_20050113.2451-CE44
CE50	alt.support.divorce_20050113.2451-CE45
CE51	alt.support.divorce_20050113.2451-CE46
CE52	alt.support.divorce_20050113.2451-CE47
CE53	alt.support.divorce_20050113.2451-CE48
CE54	alt.support.divorce_20050113.2451-CE49
CE3	alt.support.divorce_20050113.2451-CE50
CE55	alt.support.divorce_20050113.2451-CE51
CE57	alt.support.divorce_20050113.2451-CE52
CE58	alt.support.divorce_20050113.2451-CE53
CE5	alt.support.divorce_20050113.2451-CE54
CE56	alt.support.divorce_20050113.2451-CE55
CE1	alt.support.divorce_20050113.2451-CE56
CE6	alt.support.divorce_20050113.2451-CE57
CE7	alt.support.divorce_20050113.2451-CE58
E5	alt.support.divorce_20050113.2451-E1
E6	alt.support.divorce_20050113.2451-E2
E7	alt.support.divorce_20050113.2451-E3
E8	alt.support.divorce_20050113.2451-E4
E9	alt.support.divorce_20050113.2451-E5
E1	alt.support.divorce_20050113.2451-E6
E10	alt.support.divorce_20050113.2451-E7
E11	alt.support.divorce_20050113.2451-E8
E12	alt.support.divorce_20050113.2451-E9
E13	alt.support.divorce_20050113.2451-E10
E14	alt.support.divorce_20050113.2451-E11
E15	alt.support.divorce_20050113.2451-E12
E16	alt.support.divorce_20050113.2451-E13
E25	alt.support.divorce_20050113.2451-E14
E18	alt.support.divorce_20050113.2451-E15
E19	alt.support.divorce_20050113.2451-E16
E20	alt.support.divorce_20050113.2451-E17
E21	alt.support.divorce_20050113.2451-E18
E22	alt.support.divorce_20050113.2451-E19
E23	alt.support.divorce_20050113.2451-E20
E80	alt.support.divorce_20050113.2451-E21
E26	alt.support.divorce_20050113.2451-E22
E27	alt.support.divorce_20050113.2451-E23
E28	alt.support.divorce_20050113.2451-E24
E30	alt.support.divorce_20050113.2451-E25
E31	alt.support.divorce_20050113.2451-E26
E32	alt.support.divorce_20050113.2451-E27
E33	alt.support.divorce_20050113.2451-E28
E34	alt.support.divorce_20050113.2451-E29
E35	alt.support.divorce_20050113.2451-E30
E36	alt.support.divorce_20050113.2451-E31
E37	alt.support.divorce_20050113.2451-E32
E38	alt.support.divorce_20050113.2451-E33
E39	alt.support.divorce_20050113.2451-E34
E40	alt.support.divorce_20050113.2451-E35
E41	alt.support.divorce_20050113.2451-E36
E42	alt.support.divorce_20050113.2451-E37
E43	alt.support.divorce_20050113.2451-E38
E54	alt.support.divorce_20050113.2451-E39
E44	alt.support.divorce_20050113.2451-E40
E45	alt.support.divorce_20050113.2451-E41
E46	alt.support.divorce_20050113.2451-E42
E47	alt.support.divorce_20050113.2451-E43
E48	alt.support.divorce_20050113.2451-E44
E49	alt.support.divorce_20050113.2451-E45
E50	alt.support.divorce_20050113.2451-E46
E52	alt.support.divorce_20050113.2451-E47
E53	alt.support.divorce_20050113.2451-E48
E56	alt.support.divorce_20050113.2451-E49
E59	alt.support.divorce_20050113.2451-E50
E60	alt.support.divorce_20050113.2451-E51
E61	alt.support.divorce_20050113.2451-E52
E62	alt.support.divorce_20050113.2451-E53
E63	alt.support.divorce_20050113.2451-E54
E65	alt.support.divorce_20050113.2451-E55
E66	alt.support.divorce_20050113.2451-E56
E67	alt.support.divorce_20050113.2451-E57
E68	alt.support.divorce_20050113.2451-E58
E69	alt.support.divorce_20050113.2451-E59
E70	alt.support.divorce_20050113.2451-E60
E72	alt.support.divorce_20050113.2451-E61
E73	alt.support.divorce_20050113.2451-E62
E75	alt.support.divorce_20050113.2451-E63
E76	alt.support.divorce_20050113.2451-E64
E77	alt.support.divorce_20050113.2451-E65
E2	alt.support.divorce_20050113.2451-E66
E89	alt.support.divorce_20050113.2451-E67
E91	alt.support.divorce_20050113.2451-E68
E92	alt.support.divorce_20050113.2451-E69
E93	alt.support.divorce_20050113.2451-E70
E94	alt.support.divorce_20050113.2451-E71
E95	alt.support.divorce_20050113.2451-E72
E3	alt.support.divorce_20050113.2451-E73
E4	alt.support.divorce_20050113.2451-E74
EM1	alt.support.divorce_20050113.2451-E6-1
EM68	alt.support.divorce_20050113.2451-E6-2
EM70	alt.support.divorce_20050113.2451-E6-3
EM72	alt.support.divorce_20050113.2451-E6-4
EM75	alt.support.divorce_20050113.2451-E6-5
EM76	alt.support.divorce_20050113.2451-E6-6
EM91	alt.support.divorce_20050113.2451-E6-7
EM97	alt.support.divorce_20050113.2451-E6-8
EM100	alt.support.divorce_20050113.2451-E6-9
EM103	alt.support.divorce_20050113.2451-E6-10
EM104	alt.support.divorce_20050113.2451-E6-11
EM105	alt.support.divorce_20050113.2451-E6-12
EM108	alt.support.divorce_20050113.2451-E6-13
EM111	alt.support.divorce_20050113.2451-E6-14
EM114	alt.support.divorce_20050113.2451-E6-15
EM119	alt.support.divorce_20050113.2451-E6-16
EM117	alt.support.divorce_20050113.2451-E6-17
EM130	alt.support.divorce_20050113.2451-E6-18
EM131	alt.support.divorce_20050113.2451-E6-19
EM136	alt.support.divorce_20050113.2451-E6-20
EM140	alt.support.divorce_20050113.2451-E6-21
EM144	alt.support.divorce_20050113.2451-E6-22
EM143	alt.support.divorce_20050113.2451-E6-23
EM146	alt.support.divorce_20050113.2451-E6-24
EM147	alt.support.divorce_20050113.2451-E6-25
EM149	alt.support.divorce_20050113.2451-E6-26
EM152	alt.support.divorce_20050113.2451-E6-27
EM153	alt.support.divorce_20050113.2451-E6-28
EM154	alt.support.divorce_20050113.2451-E6-29
EM155	alt.support.divorce_20050113.2451-E6-30
EM156	alt.support.divorce_20050113.2451-E6-31
EM157	alt.support.divorce_20050113.2451-E6-32
EM160	alt.support.divorce_20050113.2451-E6-33
EM164	alt.support.divorce_20050113.2451-E6-34
EM167	alt.support.divorce_20050113.2451-E6-35
