CE12	alt.vacation.las-vegas_20050109.0133-CE1
CE13	alt.vacation.las-vegas_20050109.0133-CE2
CE1	alt.vacation.las-vegas_20050109.0133-CE3
CE14	alt.vacation.las-vegas_20050109.0133-CE4
CE15	alt.vacation.las-vegas_20050109.0133-CE5
CE17	alt.vacation.las-vegas_20050109.0133-CE6
CE16	alt.vacation.las-vegas_20050109.0133-CE7
CE20	alt.vacation.las-vegas_20050109.0133-CE8
CE21	alt.vacation.las-vegas_20050109.0133-CE9
CE19	alt.vacation.las-vegas_20050109.0133-CE10
CE18	alt.vacation.las-vegas_20050109.0133-CE11
CE28	alt.vacation.las-vegas_20050109.0133-CE12
CE22	alt.vacation.las-vegas_20050109.0133-CE13
CE23	alt.vacation.las-vegas_20050109.0133-CE14
CE24	alt.vacation.las-vegas_20050109.0133-CE15
CE25	alt.vacation.las-vegas_20050109.0133-CE16
CE26	alt.vacation.las-vegas_20050109.0133-CE17
CE27	alt.vacation.las-vegas_20050109.0133-CE18
CE29	alt.vacation.las-vegas_20050109.0133-CE19
CE30	alt.vacation.las-vegas_20050109.0133-CE20
CE31	alt.vacation.las-vegas_20050109.0133-CE21
CE32	alt.vacation.las-vegas_20050109.0133-CE22
CE33	alt.vacation.las-vegas_20050109.0133-CE23
CE34	alt.vacation.las-vegas_20050109.0133-CE24
CE35	alt.vacation.las-vegas_20050109.0133-CE25
CE36	alt.vacation.las-vegas_20050109.0133-CE26
CE37	alt.vacation.las-vegas_20050109.0133-CE27
CE38	alt.vacation.las-vegas_20050109.0133-CE28
CE2	alt.vacation.las-vegas_20050109.0133-CE29
CE39	alt.vacation.las-vegas_20050109.0133-CE30
CE40	alt.vacation.las-vegas_20050109.0133-CE31
CE41	alt.vacation.las-vegas_20050109.0133-CE32
CE42	alt.vacation.las-vegas_20050109.0133-CE33
CE43	alt.vacation.las-vegas_20050109.0133-CE34
CE44	alt.vacation.las-vegas_20050109.0133-CE35
CE45	alt.vacation.las-vegas_20050109.0133-CE36
CE54	alt.vacation.las-vegas_20050109.0133-CE37
CE46	alt.vacation.las-vegas_20050109.0133-CE38
CE47	alt.vacation.las-vegas_20050109.0133-CE39
CE48	alt.vacation.las-vegas_20050109.0133-CE40
CE50	alt.vacation.las-vegas_20050109.0133-CE41
CE49	alt.vacation.las-vegas_20050109.0133-CE42
CE51	alt.vacation.las-vegas_20050109.0133-CE43
CE52	alt.vacation.las-vegas_20050109.0133-CE44
CE53	alt.vacation.las-vegas_20050109.0133-CE45
CE3	alt.vacation.las-vegas_20050109.0133-CE46
CE4	alt.vacation.las-vegas_20050109.0133-CE47
CE5	alt.vacation.las-vegas_20050109.0133-CE48
CE6	alt.vacation.las-vegas_20050109.0133-CE49
CE7	alt.vacation.las-vegas_20050109.0133-CE50
CE8	alt.vacation.las-vegas_20050109.0133-CE51
CE9	alt.vacation.las-vegas_20050109.0133-CE52
CE10	alt.vacation.las-vegas_20050109.0133-CE53
CE11	alt.vacation.las-vegas_20050109.0133-CE54
E12	alt.vacation.las-vegas_20050109.0133-E1
E13	alt.vacation.las-vegas_20050109.0133-E2
E14	alt.vacation.las-vegas_20050109.0133-E3
E71	alt.vacation.las-vegas_20050109.0133-E4
