CE11	aus.cars_20041206.0903-CE1
CE8	aus.cars_20041206.0903-CE2
CE12	aus.cars_20041206.0903-CE3
CE13	aus.cars_20041206.0903-CE4
CE14	aus.cars_20041206.0903-CE5
CE15	aus.cars_20041206.0903-CE6
CE16	aus.cars_20041206.0903-CE7
CE17	aus.cars_20041206.0903-CE8
CE18	aus.cars_20041206.0903-CE9
CE19	aus.cars_20041206.0903-CE10
CE20	aus.cars_20041206.0903-CE11
CE21	aus.cars_20041206.0903-CE12
CE22	aus.cars_20041206.0903-CE13
CE23	aus.cars_20041206.0903-CE14
CE24	aus.cars_20041206.0903-CE15
CE25	aus.cars_20041206.0903-CE16
CE26	aus.cars_20041206.0903-CE17
CE27	aus.cars_20041206.0903-CE18
CE32	aus.cars_20041206.0903-CE19
CE34	aus.cars_20041206.0903-CE20
CE35	aus.cars_20041206.0903-CE21
CE28	aus.cars_20041206.0903-CE22
CE29	aus.cars_20041206.0903-CE23
CE2	aus.cars_20041206.0903-CE24
CE31	aus.cars_20041206.0903-CE25
CE37	aus.cars_20041206.0903-CE26
CE41	aus.cars_20041206.0903-CE27
CE33	aus.cars_20041206.0903-CE28
CE36	aus.cars_20041206.0903-CE29
CE38	aus.cars_20041206.0903-CE30
CE39	aus.cars_20041206.0903-CE31
CE40	aus.cars_20041206.0903-CE32
CE42	aus.cars_20041206.0903-CE33
CE43	aus.cars_20041206.0903-CE34
CE44	aus.cars_20041206.0903-CE35
CE1	aus.cars_20041206.0903-CE36
CE45	aus.cars_20041206.0903-CE37
CE46	aus.cars_20041206.0903-CE38
CE47	aus.cars_20041206.0903-CE39
CE48	aus.cars_20041206.0903-CE40
CE49	aus.cars_20041206.0903-CE41
CE50	aus.cars_20041206.0903-CE42
CE51	aus.cars_20041206.0903-CE43
CE30	aus.cars_20041206.0903-CE44
CE4	aus.cars_20041206.0903-CE45
CE5	aus.cars_20041206.0903-CE46
CE6	aus.cars_20041206.0903-CE47
CE7	aus.cars_20041206.0903-CE48
CE3	aus.cars_20041206.0903-CE49
CE9	aus.cars_20041206.0903-CE50
CE10	aus.cars_20041206.0903-CE51
E11	aus.cars_20041206.0903-E1
E12	aus.cars_20041206.0903-E2
E13	aus.cars_20041206.0903-E3
E14	aus.cars_20041206.0903-E4
E15	aus.cars_20041206.0903-E5
E16	aus.cars_20041206.0903-E6
E17	aus.cars_20041206.0903-E7
E19	aus.cars_20041206.0903-E8
E20	aus.cars_20041206.0903-E9
E21	aus.cars_20041206.0903-E10
E22	aus.cars_20041206.0903-E11
E24	aus.cars_20041206.0903-E12
E25	aus.cars_20041206.0903-E13
E26	aus.cars_20041206.0903-E14
E27	aus.cars_20041206.0903-E15
E28	aus.cars_20041206.0903-E16
E1	aus.cars_20041206.0903-E17
E29	aus.cars_20041206.0903-E18
E30	aus.cars_20041206.0903-E19
