CE30	marcellapr_20050211.2013-CE1
CE10	marcellapr_20050211.2013-CE2
CE11	marcellapr_20050211.2013-CE3
CE13	marcellapr_20050211.2013-CE4
CE14	marcellapr_20050211.2013-CE5
CE15	marcellapr_20050211.2013-CE6
CE16	marcellapr_20050211.2013-CE7
CE17	marcellapr_20050211.2013-CE8
CE18	marcellapr_20050211.2013-CE9
CE19	marcellapr_20050211.2013-CE10
CE20	marcellapr_20050211.2013-CE11
CE21	marcellapr_20050211.2013-CE12
CE22	marcellapr_20050211.2013-CE13
CE25	marcellapr_20050211.2013-CE14
CE27	marcellapr_20050211.2013-CE15
CE24	marcellapr_20050211.2013-CE16
CE1	marcellapr_20050211.2013-CE17
CE28	marcellapr_20050211.2013-CE18
CE2	marcellapr_20050211.2013-CE19
CE4	marcellapr_20050211.2013-CE20
CE23	marcellapr_20050211.2013-CE21
CE12	marcellapr_20050211.2013-CE22
CE3	marcellapr_20050211.2013-CE23
CE29	marcellapr_20050211.2013-CE24
CE5	marcellapr_20050211.2013-CE25
CE6	marcellapr_20050211.2013-CE26
CE26	marcellapr_20050211.2013-CE27
CE7	marcellapr_20050211.2013-CE28
CE8	marcellapr_20050211.2013-CE29
CE9	marcellapr_20050211.2013-CE30
E11	marcellapr_20050211.2013-E1
E12	marcellapr_20050211.2013-E2
E47	marcellapr_20050211.2013-E3
E14	marcellapr_20050211.2013-E4
E17	marcellapr_20050211.2013-E5
E18	marcellapr_20050211.2013-E6
E20	marcellapr_20050211.2013-E7
E21	marcellapr_20050211.2013-E8
E22	marcellapr_20050211.2013-E9
E23	marcellapr_20050211.2013-E10
E24	marcellapr_20050211.2013-E11
E25	marcellapr_20050211.2013-E12
E26	marcellapr_20050211.2013-E13
E30	marcellapr_20050211.2013-E14
E27	marcellapr_20050211.2013-E15
E29	marcellapr_20050211.2013-E16
E28	marcellapr_20050211.2013-E17
E38	marcellapr_20050211.2013-E18
E34	marcellapr_20050211.2013-E19
E40	marcellapr_20050211.2013-E20
E42	marcellapr_20050211.2013-E21
E43	marcellapr_20050211.2013-E22
E44	marcellapr_20050211.2013-E23
E2	marcellapr_20050211.2013-E24
E3	marcellapr_20050211.2013-E25
E45	marcellapr_20050211.2013-E26
E5	marcellapr_20050211.2013-E27
E6	marcellapr_20050211.2013-E28
E7	marcellapr_20050211.2013-E29
E8	marcellapr_20050211.2013-E30
E10	marcellapr_20050211.2013-E31
EM69	marcellapr_20050211.2013-E16-1
EM20	marcellapr_20050211.2013-E29-2
EM21	marcellapr_20050211.2013-E29-3
EM22	marcellapr_20050211.2013-E1-4
EM23	marcellapr_20050211.2013-E27-5
EM24	marcellapr_20050211.2013-E25-6
EM25	marcellapr_20050211.2013-E25-7
EM26	marcellapr_20050211.2013-E25-8
EM27	marcellapr_20050211.2013-E2-9
EM28	marcellapr_20050211.2013-E24-10
EM89	marcellapr_20050211.2013-E25-11
EM29	marcellapr_20050211.2013-E4-12
EM30	marcellapr_20050211.2013-E5-13
EM31	marcellapr_20050211.2013-E6-14
EM60	marcellapr_20050211.2013-E18-15
EM32	marcellapr_20050211.2013-E25-16
EM33	marcellapr_20050211.2013-E7-17
EM34	marcellapr_20050211.2013-E7-18
EM36	marcellapr_20050211.2013-E8-19
EM37	marcellapr_20050211.2013-E25-20
EM38	marcellapr_20050211.2013-E9-21
EM39	marcellapr_20050211.2013-E10-22
EM40	marcellapr_20050211.2013-E25-23
EM41	marcellapr_20050211.2013-E25-24
EM42	marcellapr_20050211.2013-E30-25
EM43	marcellapr_20050211.2013-E27-26
EM72	marcellapr_20050211.2013-E25-27
EM44	marcellapr_20050211.2013-E11-28
EM46	marcellapr_20050211.2013-E12-29
EM47	marcellapr_20050211.2013-E25-30
EM73	marcellapr_20050211.2013-E14-31
EM49	marcellapr_20050211.2013-E25-32
EM50	marcellapr_20050211.2013-E30-33
EM52	marcellapr_20050211.2013-E30-34
EM53	marcellapr_20050211.2013-E28-35
EM54	marcellapr_20050211.2013-E13-36
EM55	marcellapr_20050211.2013-E15-37
EM56	marcellapr_20050211.2013-E28-38
EM57	marcellapr_20050211.2013-E28-39
EM58	marcellapr_20050211.2013-E28-40
EM61	marcellapr_20050211.2013-E28-41
