CE12	rec.arts.mystery_20050219.1126-CE1
CE4	rec.arts.mystery_20050219.1126-CE2
CE13	rec.arts.mystery_20050219.1126-CE3
CE14	rec.arts.mystery_20050219.1126-CE4
CE15	rec.arts.mystery_20050219.1126-CE5
CE16	rec.arts.mystery_20050219.1126-CE6
CE10	rec.arts.mystery_20050219.1126-CE7
CE11	rec.arts.mystery_20050219.1126-CE8
CE5	rec.arts.mystery_20050219.1126-CE9
CE17	rec.arts.mystery_20050219.1126-CE10
CE18	rec.arts.mystery_20050219.1126-CE11
CE19	rec.arts.mystery_20050219.1126-CE12
CE20	rec.arts.mystery_20050219.1126-CE13
CE21	rec.arts.mystery_20050219.1126-CE14
CE22	rec.arts.mystery_20050219.1126-CE15
CE23	rec.arts.mystery_20050219.1126-CE16
CE24	rec.arts.mystery_20050219.1126-CE17
CE25	rec.arts.mystery_20050219.1126-CE18
CE26	rec.arts.mystery_20050219.1126-CE19
CE28	rec.arts.mystery_20050219.1126-CE20
CE29	rec.arts.mystery_20050219.1126-CE21
CE30	rec.arts.mystery_20050219.1126-CE22
CE31	rec.arts.mystery_20050219.1126-CE23
CE1	rec.arts.mystery_20050219.1126-CE24
CE32	rec.arts.mystery_20050219.1126-CE25
CE33	rec.arts.mystery_20050219.1126-CE26
CE35	rec.arts.mystery_20050219.1126-CE27
CE36	rec.arts.mystery_20050219.1126-CE28
CE27	rec.arts.mystery_20050219.1126-CE29
CE2	rec.arts.mystery_20050219.1126-CE30
CE3	rec.arts.mystery_20050219.1126-CE31
CE34	rec.arts.mystery_20050219.1126-CE32
CE6	rec.arts.mystery_20050219.1126-CE33
CE7	rec.arts.mystery_20050219.1126-CE34
CE8	rec.arts.mystery_20050219.1126-CE35
CE9	rec.arts.mystery_20050219.1126-CE36
E11	rec.arts.mystery_20050219.1126-E1
E12	rec.arts.mystery_20050219.1126-E2
E13	rec.arts.mystery_20050219.1126-E3
E15	rec.arts.mystery_20050219.1126-E4
E16	rec.arts.mystery_20050219.1126-E5
E18	rec.arts.mystery_20050219.1126-E6
E19	rec.arts.mystery_20050219.1126-E7
E20	rec.arts.mystery_20050219.1126-E8
E21	rec.arts.mystery_20050219.1126-E9
E22	rec.arts.mystery_20050219.1126-E10
E23	rec.arts.mystery_20050219.1126-E11
E24	rec.arts.mystery_20050219.1126-E12
E25	rec.arts.mystery_20050219.1126-E13
E28	rec.arts.mystery_20050219.1126-E14
E30	rec.arts.mystery_20050219.1126-E15
E31	rec.arts.mystery_20050219.1126-E16
E1	rec.arts.mystery_20050219.1126-E17
E32	rec.arts.mystery_20050219.1126-E18
E33	rec.arts.mystery_20050219.1126-E19
E34	rec.arts.mystery_20050219.1126-E20
E60	rec.arts.mystery_20050219.1126-E21
E36	rec.arts.mystery_20050219.1126-E22
E37	rec.arts.mystery_20050219.1126-E23
E38	rec.arts.mystery_20050219.1126-E24
E61	rec.arts.mystery_20050219.1126-E25
E40	rec.arts.mystery_20050219.1126-E26
E42	rec.arts.mystery_20050219.1126-E27
E43	rec.arts.mystery_20050219.1126-E28
E44	rec.arts.mystery_20050219.1126-E29
E47	rec.arts.mystery_20050219.1126-E30
E49	rec.arts.mystery_20050219.1126-E31
E51	rec.arts.mystery_20050219.1126-E32
E53	rec.arts.mystery_20050219.1126-E33
E54	rec.arts.mystery_20050219.1126-E34
E55	rec.arts.mystery_20050219.1126-E35
E2	rec.arts.mystery_20050219.1126-E36
E3	rec.arts.mystery_20050219.1126-E37
E56	rec.arts.mystery_20050219.1126-E38
E5	rec.arts.mystery_20050219.1126-E39
E6	rec.arts.mystery_20050219.1126-E40
E7	rec.arts.mystery_20050219.1126-E41
E9	rec.arts.mystery_20050219.1126-E42
EM1	rec.arts.mystery_20050219.1126-E17-1
EM24	rec.arts.mystery_20050219.1126-E36-2
EM25	rec.arts.mystery_20050219.1126-E2-3
