CE12	rec.boats_20050130.1006-CE1
CE13	rec.boats_20050130.1006-CE2
CE14	rec.boats_20050130.1006-CE3
CE20	rec.boats_20050130.1006-CE4
CE50	rec.boats_20050130.1006-CE5
CE15	rec.boats_20050130.1006-CE6
CE16	rec.boats_20050130.1006-CE7
CE18	rec.boats_20050130.1006-CE8
CE17	rec.boats_20050130.1006-CE9
CE19	rec.boats_20050130.1006-CE10
CE25	rec.boats_20050130.1006-CE11
CE7	rec.boats_20050130.1006-CE12
CE22	rec.boats_20050130.1006-CE13
CE58	rec.boats_20050130.1006-CE14
CE34	rec.boats_20050130.1006-CE15
CE23	rec.boats_20050130.1006-CE16
CE26	rec.boats_20050130.1006-CE17
CE27	rec.boats_20050130.1006-CE18
CE28	rec.boats_20050130.1006-CE19
CE29	rec.boats_20050130.1006-CE20
CE30	rec.boats_20050130.1006-CE21
CE57	rec.boats_20050130.1006-CE22
CE31	rec.boats_20050130.1006-CE23
CE32	rec.boats_20050130.1006-CE24
CE33	rec.boats_20050130.1006-CE25
CE3	rec.boats_20050130.1006-CE26
CE35	rec.boats_20050130.1006-CE27
CE36	rec.boats_20050130.1006-CE28
CE37	rec.boats_20050130.1006-CE29
CE38	rec.boats_20050130.1006-CE30
CE39	rec.boats_20050130.1006-CE31
CE40	rec.boats_20050130.1006-CE32
CE41	rec.boats_20050130.1006-CE33
CE42	rec.boats_20050130.1006-CE34
CE43	rec.boats_20050130.1006-CE35
CE2	rec.boats_20050130.1006-CE36
CE44	rec.boats_20050130.1006-CE37
CE45	rec.boats_20050130.1006-CE38
CE46	rec.boats_20050130.1006-CE39
CE47	rec.boats_20050130.1006-CE40
CE48	rec.boats_20050130.1006-CE41
CE49	rec.boats_20050130.1006-CE42
CE51	rec.boats_20050130.1006-CE43
CE52	rec.boats_20050130.1006-CE44
CE53	rec.boats_20050130.1006-CE45
CE54	rec.boats_20050130.1006-CE46
CE56	rec.boats_20050130.1006-CE47
CE55	rec.boats_20050130.1006-CE48
CE59	rec.boats_20050130.1006-CE49
CE60	rec.boats_20050130.1006-CE50
CE67	rec.boats_20050130.1006-CE51
CE68	rec.boats_20050130.1006-CE52
CE69	rec.boats_20050130.1006-CE53
CE70	rec.boats_20050130.1006-CE54
CE71	rec.boats_20050130.1006-CE55
CE62	rec.boats_20050130.1006-CE56
CE61	rec.boats_20050130.1006-CE57
CE4	rec.boats_20050130.1006-CE58
CE63	rec.boats_20050130.1006-CE59
CE64	rec.boats_20050130.1006-CE60
CE65	rec.boats_20050130.1006-CE61
CE66	rec.boats_20050130.1006-CE62
CE72	rec.boats_20050130.1006-CE63
CE73	rec.boats_20050130.1006-CE64
CE5	rec.boats_20050130.1006-CE65
CE1	rec.boats_20050130.1006-CE66
CE6	rec.boats_20050130.1006-CE67
CE24	rec.boats_20050130.1006-CE68
CE8	rec.boats_20050130.1006-CE69
CE9	rec.boats_20050130.1006-CE70
CE10	rec.boats_20050130.1006-CE71
CE11	rec.boats_20050130.1006-CE72
CE21	rec.boats_20050130.1006-CE73
E12	rec.boats_20050130.1006-E1
E13	rec.boats_20050130.1006-E2
E14	rec.boats_20050130.1006-E3
E15	rec.boats_20050130.1006-E4
E16	rec.boats_20050130.1006-E5
E29	rec.boats_20050130.1006-E6
E107	rec.boats_20050130.1006-E7
E108	rec.boats_20050130.1006-E8
E109	rec.boats_20050130.1006-E9
E20	rec.boats_20050130.1006-E10
E22	rec.boats_20050130.1006-E11
E30	rec.boats_20050130.1006-E12
E24	rec.boats_20050130.1006-E13
E25	rec.boats_20050130.1006-E14
E110	rec.boats_20050130.1006-E15
E26	rec.boats_20050130.1006-E16
E111	rec.boats_20050130.1006-E17
E112	rec.boats_20050130.1006-E18
E35	rec.boats_20050130.1006-E19
E113	rec.boats_20050130.1006-E20
E37	rec.boats_20050130.1006-E21
E1	rec.boats_20050130.1006-E22
E38	rec.boats_20050130.1006-E23
E39	rec.boats_20050130.1006-E24
E40	rec.boats_20050130.1006-E25
E41	rec.boats_20050130.1006-E26
E42	rec.boats_20050130.1006-E27
E115	rec.boats_20050130.1006-E28
E45	rec.boats_20050130.1006-E29
E47	rec.boats_20050130.1006-E30
E48	rec.boats_20050130.1006-E31
E49	rec.boats_20050130.1006-E32
E50	rec.boats_20050130.1006-E33
E51	rec.boats_20050130.1006-E34
E52	rec.boats_20050130.1006-E35
E53	rec.boats_20050130.1006-E36
E54	rec.boats_20050130.1006-E37
E55	rec.boats_20050130.1006-E38
E57	rec.boats_20050130.1006-E39
E58	rec.boats_20050130.1006-E40
E59	rec.boats_20050130.1006-E41
E60	rec.boats_20050130.1006-E42
E62	rec.boats_20050130.1006-E43
E63	rec.boats_20050130.1006-E44
E64	rec.boats_20050130.1006-E45
E65	rec.boats_20050130.1006-E46
E66	rec.boats_20050130.1006-E47
E67	rec.boats_20050130.1006-E48
E70	rec.boats_20050130.1006-E49
E71	rec.boats_20050130.1006-E50
E72	rec.boats_20050130.1006-E51
E73	rec.boats_20050130.1006-E52
E74	rec.boats_20050130.1006-E53
E75	rec.boats_20050130.1006-E54
E78	rec.boats_20050130.1006-E55
E79	rec.boats_20050130.1006-E56
E80	rec.boats_20050130.1006-E57
E81	rec.boats_20050130.1006-E58
E82	rec.boats_20050130.1006-E59
E2	rec.boats_20050130.1006-E60
E83	rec.boats_20050130.1006-E61
E84	rec.boats_20050130.1006-E62
E85	rec.boats_20050130.1006-E63
E86	rec.boats_20050130.1006-E64
E87	rec.boats_20050130.1006-E65
E88	rec.boats_20050130.1006-E66
E89	rec.boats_20050130.1006-E67
E90	rec.boats_20050130.1006-E68
E92	rec.boats_20050130.1006-E69
E93	rec.boats_20050130.1006-E70
E94	rec.boats_20050130.1006-E71
E96	rec.boats_20050130.1006-E72
E97	rec.boats_20050130.1006-E73
E98	rec.boats_20050130.1006-E74
E99	rec.boats_20050130.1006-E75
E100	rec.boats_20050130.1006-E76
E101	rec.boats_20050130.1006-E77
E102	rec.boats_20050130.1006-E78
E103	rec.boats_20050130.1006-E79
E116	rec.boats_20050130.1006-E80
E117	rec.boats_20050130.1006-E81
E3	rec.boats_20050130.1006-E82
E28	rec.boats_20050130.1006-E83
E5	rec.boats_20050130.1006-E84
E6	rec.boats_20050130.1006-E85
E7	rec.boats_20050130.1006-E86
E8	rec.boats_20050130.1006-E87
E9	rec.boats_20050130.1006-E88
E10	rec.boats_20050130.1006-E89
E106	rec.boats_20050130.1006-E90
EM34	rec.boats_20050130.1006-E83-1
EM15	rec.boats_20050130.1006-E2-2
EM16	rec.boats_20050130.1006-E4-3
EM17	rec.boats_20050130.1006-E5-4
EM4	rec.boats_20050130.1006-E22-5
EM99	rec.boats_20050130.1006-E7-6
EM71	rec.boats_20050130.1006-E8-7
EM72	rec.boats_20050130.1006-E9-8
EM90	rec.boats_20050130.1006-E45-9
EM18	rec.boats_20050130.1006-E3-10
EM19	rec.boats_20050130.1006-E10-11
EM20	rec.boats_20050130.1006-E10-12
EM37	rec.boats_20050130.1006-E12-13
EM21	rec.boats_20050130.1006-E10-14
EM22	rec.boats_20050130.1006-E11-15
EM49	rec.boats_20050130.1006-E15-16
EM24	rec.boats_20050130.1006-E13-17
EM25	rec.boats_20050130.1006-E84-18
EM23	rec.boats_20050130.1006-E14-19
EM26	rec.boats_20050130.1006-E22-20
EM27	rec.boats_20050130.1006-E10-21
EM28	rec.boats_20050130.1006-E10-22
EM29	rec.boats_20050130.1006-E16-23
EM30	rec.boats_20050130.1006-E10-24
EM31	rec.boats_20050130.1006-E84-25
EM157	rec.boats_20050130.1006-E6-26
EM33	rec.boats_20050130.1006-E22-27
EM6	rec.boats_20050130.1006-E17-28
EM38	rec.boats_20050130.1006-E6-29
EM43	rec.boats_20050130.1006-E18-30
EM40	rec.boats_20050130.1006-E22-31
EM41	rec.boats_20050130.1006-E22-32
EM42	rec.boats_20050130.1006-E22-33
EM44	rec.boats_20050130.1006-E18-34
EM45	rec.boats_20050130.1006-E18-35
EM65	rec.boats_20050130.1006-E20-36
EM159	rec.boats_20050130.1006-E6-37
EM46	rec.boats_20050130.1006-E21-38
EM160	rec.boats_20050130.1006-E6-39
EM161	rec.boats_20050130.1006-E6-40
EM47	rec.boats_20050130.1006-E85-41
EM48	rec.boats_20050130.1006-E85-42
EM162	rec.boats_20050130.1006-E6-43
EM50	rec.boats_20050130.1006-E23-44
EM51	rec.boats_20050130.1006-E84-45
EM52	rec.boats_20050130.1006-E23-46
EM53	rec.boats_20050130.1006-E24-47
EM54	rec.boats_20050130.1006-E25-48
EM55	rec.boats_20050130.1006-E26-49
EM56	rec.boats_20050130.1006-E27-50
EM163	rec.boats_20050130.1006-E6-51
EM123	rec.boats_20050130.1006-E28-52
EM57	rec.boats_20050130.1006-E22-53
EM113	rec.boats_20050130.1006-E28-54
EM58	rec.boats_20050130.1006-E3-55
EM59	rec.boats_20050130.1006-E29-56
EM60	rec.boats_20050130.1006-E29-57
EM88	rec.boats_20050130.1006-E49-58
EM91	rec.boats_20050130.1006-E49-59
EM61	rec.boats_20050130.1006-E30-60
EM62	rec.boats_20050130.1006-E31-61
EM63	rec.boats_20050130.1006-E32-62
EM64	rec.boats_20050130.1006-E33-63
EM66	rec.boats_20050130.1006-E31-64
EM67	rec.boats_20050130.1006-E31-65
EM68	rec.boats_20050130.1006-E34-66
EM69	rec.boats_20050130.1006-E34-67
EM70	rec.boats_20050130.1006-E35-68
EM73	rec.boats_20050130.1006-E36-69
EM74	rec.boats_20050130.1006-E37-70
EM75	rec.boats_20050130.1006-E36-71
EM76	rec.boats_20050130.1006-E38-72
EM77	rec.boats_20050130.1006-E82-73
EM78	rec.boats_20050130.1006-E39-74
EM79	rec.boats_20050130.1006-E40-75
EM80	rec.boats_20050130.1006-E41-76
EM81	rec.boats_20050130.1006-E42-77
EM82	rec.boats_20050130.1006-E43-78
EM2	rec.boats_20050130.1006-E60-79
EM83	rec.boats_20050130.1006-E44-80
EM84	rec.boats_20050130.1006-E45-81
EM85	rec.boats_20050130.1006-E46-82
EM86	rec.boats_20050130.1006-E47-83
EM87	rec.boats_20050130.1006-E48-84
EM89	rec.boats_20050130.1006-E45-85
EM92	rec.boats_20050130.1006-E49-86
EM93	rec.boats_20050130.1006-E49-87
EM94	rec.boats_20050130.1006-E50-88
EM95	rec.boats_20050130.1006-E82-89
EM96	rec.boats_20050130.1006-E84-90
EM97	rec.boats_20050130.1006-E49-91
EM98	rec.boats_20050130.1006-E51-92
EM101	rec.boats_20050130.1006-E52-93
EM102	rec.boats_20050130.1006-E53-94
EM103	rec.boats_20050130.1006-E49-95
EM104	rec.boats_20050130.1006-E54-96
EM105	rec.boats_20050130.1006-E55-97
EM106	rec.boats_20050130.1006-E82-98
EM107	rec.boats_20050130.1006-E55-99
EM109	rec.boats_20050130.1006-E56-100
EM110	rec.boats_20050130.1006-E54-101
EM111	rec.boats_20050130.1006-E56-102
EM112	rec.boats_20050130.1006-E57-103
EM114	rec.boats_20050130.1006-E56-104
EM108	rec.boats_20050130.1006-E58-105
EM115	rec.boats_20050130.1006-E19-106
EM116	rec.boats_20050130.1006-E19-107
EM121	rec.boats_20050130.1006-E19-108
EM122	rec.boats_20050130.1006-E19-109
EM117	rec.boats_20050130.1006-E84-110
EM120	rec.boats_20050130.1006-E84-111
EM118	rec.boats_20050130.1006-E59-112
EM119	rec.boats_20050130.1006-E59-113
EM164	rec.boats_20050130.1006-E49-114
EM124	rec.boats_20050130.1006-E61-115
EM125	rec.boats_20050130.1006-E84-116
EM126	rec.boats_20050130.1006-E82-117
EM127	rec.boats_20050130.1006-E82-118
EM128	rec.boats_20050130.1006-E49-119
EM135	rec.boats_20050130.1006-E49-120
EM140	rec.boats_20050130.1006-E49-121
EM137	rec.boats_20050130.1006-E49-122
EM146	rec.boats_20050130.1006-E49-123
EM151	rec.boats_20050130.1006-E49-124
EM152	rec.boats_20050130.1006-E62-125
EM153	rec.boats_20050130.1006-E63-126
EM154	rec.boats_20050130.1006-E64-127
EM155	rec.boats_20050130.1006-E65-128
EM156	rec.boats_20050130.1006-E66-129
EM129	rec.boats_20050130.1006-E55-130
EM131	rec.boats_20050130.1006-E55-131
EM132	rec.boats_20050130.1006-E67-132
EM133	rec.boats_20050130.1006-E68-133
EM165	rec.boats_20050130.1006-E49-134
EM166	rec.boats_20050130.1006-E80-135
EM136	rec.boats_20050130.1006-E69-136
EM138	rec.boats_20050130.1006-E55-137
EM141	rec.boats_20050130.1006-E70-138
EM144	rec.boats_20050130.1006-E71-139
EM147	rec.boats_20050130.1006-E72-140
EM148	rec.boats_20050130.1006-E55-141
EM150	rec.boats_20050130.1006-E73-142
EM130	rec.boats_20050130.1006-E74-143
EM139	rec.boats_20050130.1006-E75-144
EM143	rec.boats_20050130.1006-E76-145
EM149	rec.boats_20050130.1006-E77-146
EM134	rec.boats_20050130.1006-E78-147
EM142	rec.boats_20050130.1006-E79-148
EM145	rec.boats_20050130.1006-E70-149
EM3	rec.boats_20050130.1006-E82-150
EM100	rec.boats_20050130.1006-E31-151
EM167	rec.boats_20050130.1006-E81-152
EM168	rec.boats_20050130.1006-E31-153
EM169	rec.boats_20050130.1006-E81-154
EM35	rec.boats_20050130.1006-E22-155
EM5	rec.boats_20050130.1006-E84-156
EM32	rec.boats_20050130.1006-E22-157
EM7	rec.boats_20050130.1006-E86-158
EM8	rec.boats_20050130.1006-E84-159
EM9	rec.boats_20050130.1006-E87-160
EM10	rec.boats_20050130.1006-E88-161
EM11	rec.boats_20050130.1006-E89-162
EM12	rec.boats_20050130.1006-E22-163
EM36	rec.boats_20050130.1006-E6-164
EM1	rec.boats_20050130.1006-E22-165
EM13	rec.boats_20050130.1006-E22-166
EM39	rec.boats_20050130.1006-E90-167
EM14	rec.boats_20050130.1006-E1-168
R6	rec.boats_20050130.1006-R1
R12	rec.boats_20050130.1006-R2
R23	rec.boats_20050130.1006-R3
R4	rec.boats_20050130.1006-R4
R1	rec.boats_20050130.1006-R5
R2	rec.boats_20050130.1006-R6
R3	rec.boats_20050130.1006-R7
R5	rec.boats_20050130.1006-R8
R7	rec.boats_20050130.1006-R9
R8	rec.boats_20050130.1006-R10
R9	rec.boats_20050130.1006-R11
R10	rec.boats_20050130.1006-R12
R11	rec.boats_20050130.1006-R13
R13	rec.boats_20050130.1006-R14
R14	rec.boats_20050130.1006-R15
R15	rec.boats_20050130.1006-R16
R16	rec.boats_20050130.1006-R17
R17	rec.boats_20050130.1006-R18
R18	rec.boats_20050130.1006-R19
R19	rec.boats_20050130.1006-R20
R20	rec.boats_20050130.1006-R21
