CE10	rec.music.phish_20050217.1804-CE1
CE11	rec.music.phish_20050217.1804-CE2
CE13	rec.music.phish_20050217.1804-CE3
CE12	rec.music.phish_20050217.1804-CE4
CE15	rec.music.phish_20050217.1804-CE5
CE16	rec.music.phish_20050217.1804-CE6
CE18	rec.music.phish_20050217.1804-CE7
CE17	rec.music.phish_20050217.1804-CE8
CE21	rec.music.phish_20050217.1804-CE9
CE19	rec.music.phish_20050217.1804-CE10
CE20	rec.music.phish_20050217.1804-CE11
CE22	rec.music.phish_20050217.1804-CE12
CE24	rec.music.phish_20050217.1804-CE13
CE25	rec.music.phish_20050217.1804-CE14
CE14	rec.music.phish_20050217.1804-CE15
CE29	rec.music.phish_20050217.1804-CE16
CE30	rec.music.phish_20050217.1804-CE17
CE32	rec.music.phish_20050217.1804-CE18
CE33	rec.music.phish_20050217.1804-CE19
CE34	rec.music.phish_20050217.1804-CE20
CE35	rec.music.phish_20050217.1804-CE21
CE36	rec.music.phish_20050217.1804-CE22
CE37	rec.music.phish_20050217.1804-CE23
CE40	rec.music.phish_20050217.1804-CE24
CE41	rec.music.phish_20050217.1804-CE25
CE23	rec.music.phish_20050217.1804-CE26
CE43	rec.music.phish_20050217.1804-CE27
CE44	rec.music.phish_20050217.1804-CE28
CE7	rec.music.phish_20050217.1804-CE29
CE31	rec.music.phish_20050217.1804-CE30
CE3	rec.music.phish_20050217.1804-CE31
CE26	rec.music.phish_20050217.1804-CE32
CE46	rec.music.phish_20050217.1804-CE33
CE27	rec.music.phish_20050217.1804-CE34
CE28	rec.music.phish_20050217.1804-CE35
CE38	rec.music.phish_20050217.1804-CE36
CE42	rec.music.phish_20050217.1804-CE37
CE1	rec.music.phish_20050217.1804-CE38
CE39	rec.music.phish_20050217.1804-CE39
CE4	rec.music.phish_20050217.1804-CE40
CE5	rec.music.phish_20050217.1804-CE41
CE45	rec.music.phish_20050217.1804-CE42
CE2	rec.music.phish_20050217.1804-CE43
CE6	rec.music.phish_20050217.1804-CE44
CE8	rec.music.phish_20050217.1804-CE45
CE9	rec.music.phish_20050217.1804-CE46
E15	rec.music.phish_20050217.1804-E1
E16	rec.music.phish_20050217.1804-E2
E17	rec.music.phish_20050217.1804-E3
E18	rec.music.phish_20050217.1804-E4
E20	rec.music.phish_20050217.1804-E5
E21	rec.music.phish_20050217.1804-E6
E22	rec.music.phish_20050217.1804-E7
E23	rec.music.phish_20050217.1804-E8
E24	rec.music.phish_20050217.1804-E9
E25	rec.music.phish_20050217.1804-E10
E26	rec.music.phish_20050217.1804-E11
E1	rec.music.phish_20050217.1804-E12
E27	rec.music.phish_20050217.1804-E13
E28	rec.music.phish_20050217.1804-E14
E31	rec.music.phish_20050217.1804-E15
E32	rec.music.phish_20050217.1804-E16
E33	rec.music.phish_20050217.1804-E17
