CE59	rec.sport.disc_20050209.2202-CE1
CE13	rec.sport.disc_20050209.2202-CE2
CE17	rec.sport.disc_20050209.2202-CE3
CE18	rec.sport.disc_20050209.2202-CE4
CE19	rec.sport.disc_20050209.2202-CE5
CE20	rec.sport.disc_20050209.2202-CE6
CE21	rec.sport.disc_20050209.2202-CE7
CE22	rec.sport.disc_20050209.2202-CE8
CE23	rec.sport.disc_20050209.2202-CE9
CE24	rec.sport.disc_20050209.2202-CE10
CE25	rec.sport.disc_20050209.2202-CE11
CE26	rec.sport.disc_20050209.2202-CE12
CE27	rec.sport.disc_20050209.2202-CE13
CE60	rec.sport.disc_20050209.2202-CE14
CE28	rec.sport.disc_20050209.2202-CE15
CE29	rec.sport.disc_20050209.2202-CE16
CE30	rec.sport.disc_20050209.2202-CE17
CE31	rec.sport.disc_20050209.2202-CE18
CE32	rec.sport.disc_20050209.2202-CE19
CE33	rec.sport.disc_20050209.2202-CE20
CE34	rec.sport.disc_20050209.2202-CE21
CE4	rec.sport.disc_20050209.2202-CE22
CE35	rec.sport.disc_20050209.2202-CE23
CE37	rec.sport.disc_20050209.2202-CE24
CE38	rec.sport.disc_20050209.2202-CE25
CE39	rec.sport.disc_20050209.2202-CE26
CE1	rec.sport.disc_20050209.2202-CE27
CE2	rec.sport.disc_20050209.2202-CE28
CE16	rec.sport.disc_20050209.2202-CE29
CE40	rec.sport.disc_20050209.2202-CE30
CE41	rec.sport.disc_20050209.2202-CE31
CE42	rec.sport.disc_20050209.2202-CE32
CE43	rec.sport.disc_20050209.2202-CE33
CE3	rec.sport.disc_20050209.2202-CE34
CE45	rec.sport.disc_20050209.2202-CE35
CE46	rec.sport.disc_20050209.2202-CE36
CE49	rec.sport.disc_20050209.2202-CE37
CE5	rec.sport.disc_20050209.2202-CE38
CE52	rec.sport.disc_20050209.2202-CE39
CE53	rec.sport.disc_20050209.2202-CE40
CE54	rec.sport.disc_20050209.2202-CE41
CE55	rec.sport.disc_20050209.2202-CE42
CE56	rec.sport.disc_20050209.2202-CE43
CE57	rec.sport.disc_20050209.2202-CE44
CE58	rec.sport.disc_20050209.2202-CE45
CE6	rec.sport.disc_20050209.2202-CE46
CE44	rec.sport.disc_20050209.2202-CE47
CE50	rec.sport.disc_20050209.2202-CE48
CE51	rec.sport.disc_20050209.2202-CE49
CE47	rec.sport.disc_20050209.2202-CE50
CE48	rec.sport.disc_20050209.2202-CE51
CE7	rec.sport.disc_20050209.2202-CE52
CE8	rec.sport.disc_20050209.2202-CE53
CE9	rec.sport.disc_20050209.2202-CE54
CE10	rec.sport.disc_20050209.2202-CE55
CE11	rec.sport.disc_20050209.2202-CE56
CE12	rec.sport.disc_20050209.2202-CE57
CE36	rec.sport.disc_20050209.2202-CE58
CE14	rec.sport.disc_20050209.2202-CE59
CE15	rec.sport.disc_20050209.2202-CE60
E100	rec.sport.disc_20050209.2202-E1
E17	rec.sport.disc_20050209.2202-E2
E18	rec.sport.disc_20050209.2202-E3
E19	rec.sport.disc_20050209.2202-E4
E20	rec.sport.disc_20050209.2202-E5
E21	rec.sport.disc_20050209.2202-E6
E22	rec.sport.disc_20050209.2202-E7
E23	rec.sport.disc_20050209.2202-E8
E24	rec.sport.disc_20050209.2202-E9
E25	rec.sport.disc_20050209.2202-E10
E26	rec.sport.disc_20050209.2202-E11
E27	rec.sport.disc_20050209.2202-E12
E28	rec.sport.disc_20050209.2202-E13
E29	rec.sport.disc_20050209.2202-E14
E30	rec.sport.disc_20050209.2202-E15
E31	rec.sport.disc_20050209.2202-E16
E101	rec.sport.disc_20050209.2202-E17
E32	rec.sport.disc_20050209.2202-E18
E33	rec.sport.disc_20050209.2202-E19
E35	rec.sport.disc_20050209.2202-E20
E81	rec.sport.disc_20050209.2202-E21
E83	rec.sport.disc_20050209.2202-E22
E82	rec.sport.disc_20050209.2202-E23
E36	rec.sport.disc_20050209.2202-E24
E37	rec.sport.disc_20050209.2202-E25
E38	rec.sport.disc_20050209.2202-E26
E39	rec.sport.disc_20050209.2202-E27
E40	rec.sport.disc_20050209.2202-E28
E41	rec.sport.disc_20050209.2202-E29
E43	rec.sport.disc_20050209.2202-E30
E44	rec.sport.disc_20050209.2202-E31
