CE14	rec.travel.cruises_20050216.1636-CE1
CE15	rec.travel.cruises_20050216.1636-CE2
CE16	rec.travel.cruises_20050216.1636-CE3
CE17	rec.travel.cruises_20050216.1636-CE4
CE18	rec.travel.cruises_20050216.1636-CE5
CE19	rec.travel.cruises_20050216.1636-CE6
CE39	rec.travel.cruises_20050216.1636-CE7
CE20	rec.travel.cruises_20050216.1636-CE8
CE21	rec.travel.cruises_20050216.1636-CE9
CE22	rec.travel.cruises_20050216.1636-CE10
CE23	rec.travel.cruises_20050216.1636-CE11
CE24	rec.travel.cruises_20050216.1636-CE12
CE25	rec.travel.cruises_20050216.1636-CE13
CE26	rec.travel.cruises_20050216.1636-CE14
CE27	rec.travel.cruises_20050216.1636-CE15
CE28	rec.travel.cruises_20050216.1636-CE16
CE29	rec.travel.cruises_20050216.1636-CE17
CE30	rec.travel.cruises_20050216.1636-CE18
CE31	rec.travel.cruises_20050216.1636-CE19
CE32	rec.travel.cruises_20050216.1636-CE20
CE33	rec.travel.cruises_20050216.1636-CE21
CE34	rec.travel.cruises_20050216.1636-CE22
CE35	rec.travel.cruises_20050216.1636-CE23
CE3	rec.travel.cruises_20050216.1636-CE24
CE36	rec.travel.cruises_20050216.1636-CE25
CE37	rec.travel.cruises_20050216.1636-CE26
CE1	rec.travel.cruises_20050216.1636-CE27
CE40	rec.travel.cruises_20050216.1636-CE28
CE38	rec.travel.cruises_20050216.1636-CE29
CE6	rec.travel.cruises_20050216.1636-CE30
CE4	rec.travel.cruises_20050216.1636-CE31
CE5	rec.travel.cruises_20050216.1636-CE32
CE7	rec.travel.cruises_20050216.1636-CE33
CE8	rec.travel.cruises_20050216.1636-CE34
CE9	rec.travel.cruises_20050216.1636-CE35
CE10	rec.travel.cruises_20050216.1636-CE36
CE11	rec.travel.cruises_20050216.1636-CE37
CE12	rec.travel.cruises_20050216.1636-CE38
CE2	rec.travel.cruises_20050216.1636-CE39
CE13	rec.travel.cruises_20050216.1636-CE40
E16	rec.travel.cruises_20050216.1636-E1
E17	rec.travel.cruises_20050216.1636-E2
E18	rec.travel.cruises_20050216.1636-E3
E19	rec.travel.cruises_20050216.1636-E4
E20	rec.travel.cruises_20050216.1636-E5
E21	rec.travel.cruises_20050216.1636-E6
E22	rec.travel.cruises_20050216.1636-E7
E23	rec.travel.cruises_20050216.1636-E8
E59	rec.travel.cruises_20050216.1636-E9
E25	rec.travel.cruises_20050216.1636-E10
E26	rec.travel.cruises_20050216.1636-E11
E28	rec.travel.cruises_20050216.1636-E12
E29	rec.travel.cruises_20050216.1636-E13
E30	rec.travel.cruises_20050216.1636-E14
E31	rec.travel.cruises_20050216.1636-E15
E32	rec.travel.cruises_20050216.1636-E16
E33	rec.travel.cruises_20050216.1636-E17
E34	rec.travel.cruises_20050216.1636-E18
E35	rec.travel.cruises_20050216.1636-E19
E36	rec.travel.cruises_20050216.1636-E20
E37	rec.travel.cruises_20050216.1636-E21
E38	rec.travel.cruises_20050216.1636-E22
E1	rec.travel.cruises_20050216.1636-E23
E39	rec.travel.cruises_20050216.1636-E24
E40	rec.travel.cruises_20050216.1636-E25
E42	rec.travel.cruises_20050216.1636-E26
E43	rec.travel.cruises_20050216.1636-E27
E44	rec.travel.cruises_20050216.1636-E28
E46	rec.travel.cruises_20050216.1636-E29
E48	rec.travel.cruises_20050216.1636-E30
E49	rec.travel.cruises_20050216.1636-E31
E50	rec.travel.cruises_20050216.1636-E32
E51	rec.travel.cruises_20050216.1636-E33
E53	rec.travel.cruises_20050216.1636-E34
E61	rec.travel.cruises_20050216.1636-E35
E54	rec.travel.cruises_20050216.1636-E36
E55	rec.travel.cruises_20050216.1636-E37
E62	rec.travel.cruises_20050216.1636-E38
E63	rec.travel.cruises_20050216.1636-E39
E64	rec.travel.cruises_20050216.1636-E40
E56	rec.travel.cruises_20050216.1636-E41
E58	rec.travel.cruises_20050216.1636-E42
E3	rec.travel.cruises_20050216.1636-E43
E4	rec.travel.cruises_20050216.1636-E44
E5	rec.travel.cruises_20050216.1636-E45
E6	rec.travel.cruises_20050216.1636-E46
E7	rec.travel.cruises_20050216.1636-E47
E8	rec.travel.cruises_20050216.1636-E48
E9	rec.travel.cruises_20050216.1636-E49
E10	rec.travel.cruises_20050216.1636-E50
E12	rec.travel.cruises_20050216.1636-E51
E13	rec.travel.cruises_20050216.1636-E52
EM1	rec.travel.cruises_20050216.1636-E23-1
EM16	rec.travel.cruises_20050216.1636-E1-2
EM17	rec.travel.cruises_20050216.1636-E2-3
EM18	rec.travel.cruises_20050216.1636-E3-4
EM19	rec.travel.cruises_20050216.1636-E4-5
EM20	rec.travel.cruises_20050216.1636-E5-6
EM21	rec.travel.cruises_20050216.1636-E6-7
EM22	rec.travel.cruises_20050216.1636-E8-8
EM87	rec.travel.cruises_20050216.1636-E9-9
EM24	rec.travel.cruises_20050216.1636-E52-10
EM25	rec.travel.cruises_20050216.1636-E7-11
EM26	rec.travel.cruises_20050216.1636-E10-12
EM27	rec.travel.cruises_20050216.1636-E11-13
EM28	rec.travel.cruises_20050216.1636-E11-14
EM29	rec.travel.cruises_20050216.1636-E50-15
EM30	rec.travel.cruises_20050216.1636-E50-16
EM31	rec.travel.cruises_20050216.1636-E45-17
EM88	rec.travel.cruises_20050216.1636-E9-18
EM33	rec.travel.cruises_20050216.1636-E12-19
EM90	rec.travel.cruises_20050216.1636-E9-20
EM35	rec.travel.cruises_20050216.1636-E23-21
EM36	rec.travel.cruises_20050216.1636-E13-22
EM37	rec.travel.cruises_20050216.1636-E13-23
EM38	rec.travel.cruises_20050216.1636-E14-24
EM39	rec.travel.cruises_20050216.1636-E14-25
EM40	rec.travel.cruises_20050216.1636-E15-26
EM41	rec.travel.cruises_20050216.1636-E16-27
EM43	rec.travel.cruises_20050216.1636-E17-28
EM44	rec.travel.cruises_20050216.1636-E18-29
EM45	rec.travel.cruises_20050216.1636-E19-30
