CE20	rec.travel.europe_20050101.1800-CE1
CE1	rec.travel.europe_20050101.1800-CE2
CE21	rec.travel.europe_20050101.1800-CE3
CE22	rec.travel.europe_20050101.1800-CE4
CE63	rec.travel.europe_20050101.1800-CE5
CE24	rec.travel.europe_20050101.1800-CE6
CE64	rec.travel.europe_20050101.1800-CE7
CE26	rec.travel.europe_20050101.1800-CE8
CE27	rec.travel.europe_20050101.1800-CE9
CE28	rec.travel.europe_20050101.1800-CE10
CE30	rec.travel.europe_20050101.1800-CE11
CE31	rec.travel.europe_20050101.1800-CE12
CE32	rec.travel.europe_20050101.1800-CE13
CE33	rec.travel.europe_20050101.1800-CE14
CE19	rec.travel.europe_20050101.1800-CE15
CE34	rec.travel.europe_20050101.1800-CE16
CE35	rec.travel.europe_20050101.1800-CE17
CE36	rec.travel.europe_20050101.1800-CE18
CE37	rec.travel.europe_20050101.1800-CE19
CE10	rec.travel.europe_20050101.1800-CE20
CE38	rec.travel.europe_20050101.1800-CE21
CE39	rec.travel.europe_20050101.1800-CE22
CE40	rec.travel.europe_20050101.1800-CE23
CE41	rec.travel.europe_20050101.1800-CE24
CE6	rec.travel.europe_20050101.1800-CE25
CE42	rec.travel.europe_20050101.1800-CE26
CE44	rec.travel.europe_20050101.1800-CE27
CE45	rec.travel.europe_20050101.1800-CE28
CE46	rec.travel.europe_20050101.1800-CE29
CE47	rec.travel.europe_20050101.1800-CE30
CE48	rec.travel.europe_20050101.1800-CE31
CE49	rec.travel.europe_20050101.1800-CE32
CE50	rec.travel.europe_20050101.1800-CE33
CE51	rec.travel.europe_20050101.1800-CE34
CE52	rec.travel.europe_20050101.1800-CE35
CE53	rec.travel.europe_20050101.1800-CE36
CE4	rec.travel.europe_20050101.1800-CE37
CE55	rec.travel.europe_20050101.1800-CE38
CE57	rec.travel.europe_20050101.1800-CE39
CE58	rec.travel.europe_20050101.1800-CE40
CE65	rec.travel.europe_20050101.1800-CE41
CE59	rec.travel.europe_20050101.1800-CE42
CE60	rec.travel.europe_20050101.1800-CE43
CE62	rec.travel.europe_20050101.1800-CE44
CE9	rec.travel.europe_20050101.1800-CE45
CE11	rec.travel.europe_20050101.1800-CE46
CE66	rec.travel.europe_20050101.1800-CE47
CE67	rec.travel.europe_20050101.1800-CE48
CE68	rec.travel.europe_20050101.1800-CE49
CE69	rec.travel.europe_20050101.1800-CE50
CE70	rec.travel.europe_20050101.1800-CE51
CE71	rec.travel.europe_20050101.1800-CE52
CE72	rec.travel.europe_20050101.1800-CE53
CE73	rec.travel.europe_20050101.1800-CE54
CE74	rec.travel.europe_20050101.1800-CE55
CE25	rec.travel.europe_20050101.1800-CE56
CE75	rec.travel.europe_20050101.1800-CE57
CE8	rec.travel.europe_20050101.1800-CE58
CE7	rec.travel.europe_20050101.1800-CE59
CE76	rec.travel.europe_20050101.1800-CE60
CE77	rec.travel.europe_20050101.1800-CE61
CE2	rec.travel.europe_20050101.1800-CE62
CE12	rec.travel.europe_20050101.1800-CE63
CE29	rec.travel.europe_20050101.1800-CE64
CE43	rec.travel.europe_20050101.1800-CE65
CE23	rec.travel.europe_20050101.1800-CE66
CE54	rec.travel.europe_20050101.1800-CE67
CE56	rec.travel.europe_20050101.1800-CE68
CE61	rec.travel.europe_20050101.1800-CE69
CE78	rec.travel.europe_20050101.1800-CE70
CE13	rec.travel.europe_20050101.1800-CE71
CE3	rec.travel.europe_20050101.1800-CE72
CE14	rec.travel.europe_20050101.1800-CE73
CE15	rec.travel.europe_20050101.1800-CE74
CE16	rec.travel.europe_20050101.1800-CE75
CE5	rec.travel.europe_20050101.1800-CE76
CE17	rec.travel.europe_20050101.1800-CE77
CE18	rec.travel.europe_20050101.1800-CE78
E12	rec.travel.europe_20050101.1800-E1
E14	rec.travel.europe_20050101.1800-E2
E15	rec.travel.europe_20050101.1800-E3
E16	rec.travel.europe_20050101.1800-E4
E18	rec.travel.europe_20050101.1800-E5
E19	rec.travel.europe_20050101.1800-E6
E20	rec.travel.europe_20050101.1800-E7
E21	rec.travel.europe_20050101.1800-E8
E82	rec.travel.europe_20050101.1800-E9
E24	rec.travel.europe_20050101.1800-E10
E25	rec.travel.europe_20050101.1800-E11
E26	rec.travel.europe_20050101.1800-E12
E27	rec.travel.europe_20050101.1800-E13
E83	rec.travel.europe_20050101.1800-E14
E28	rec.travel.europe_20050101.1800-E15
E29	rec.travel.europe_20050101.1800-E16
E30	rec.travel.europe_20050101.1800-E17
E31	rec.travel.europe_20050101.1800-E18
E1	rec.travel.europe_20050101.1800-E19
E34	rec.travel.europe_20050101.1800-E20
E35	rec.travel.europe_20050101.1800-E21
E36	rec.travel.europe_20050101.1800-E22
E37	rec.travel.europe_20050101.1800-E23
E38	rec.travel.europe_20050101.1800-E24
E39	rec.travel.europe_20050101.1800-E25
E40	rec.travel.europe_20050101.1800-E26
E41	rec.travel.europe_20050101.1800-E27
E43	rec.travel.europe_20050101.1800-E28
E44	rec.travel.europe_20050101.1800-E29
E45	rec.travel.europe_20050101.1800-E30
E46	rec.travel.europe_20050101.1800-E31
E47	rec.travel.europe_20050101.1800-E32
E49	rec.travel.europe_20050101.1800-E33
E50	rec.travel.europe_20050101.1800-E34
E51	rec.travel.europe_20050101.1800-E35
E54	rec.travel.europe_20050101.1800-E36
E55	rec.travel.europe_20050101.1800-E37
E56	rec.travel.europe_20050101.1800-E38
E58	rec.travel.europe_20050101.1800-E39
E59	rec.travel.europe_20050101.1800-E40
E60	rec.travel.europe_20050101.1800-E41
E61	rec.travel.europe_20050101.1800-E42
E62	rec.travel.europe_20050101.1800-E43
E63	rec.travel.europe_20050101.1800-E44
E64	rec.travel.europe_20050101.1800-E45
E66	rec.travel.europe_20050101.1800-E46
E67	rec.travel.europe_20050101.1800-E47
E117	rec.travel.europe_20050101.1800-E48
E70	rec.travel.europe_20050101.1800-E49
E84	rec.travel.europe_20050101.1800-E50
