CE18	soc.culture.hmong_20050210.1130-CE1
CE20	soc.culture.hmong_20050210.1130-CE2
CE21	soc.culture.hmong_20050210.1130-CE3
CE22	soc.culture.hmong_20050210.1130-CE4
CE23	soc.culture.hmong_20050210.1130-CE5
CE25	soc.culture.hmong_20050210.1130-CE6
CE26	soc.culture.hmong_20050210.1130-CE7
CE27	soc.culture.hmong_20050210.1130-CE8
CE28	soc.culture.hmong_20050210.1130-CE9
CE29	soc.culture.hmong_20050210.1130-CE10
CE30	soc.culture.hmong_20050210.1130-CE11
CE31	soc.culture.hmong_20050210.1130-CE12
CE32	soc.culture.hmong_20050210.1130-CE13
CE1	soc.culture.hmong_20050210.1130-CE14
CE33	soc.culture.hmong_20050210.1130-CE15
CE34	soc.culture.hmong_20050210.1130-CE16
CE35	soc.culture.hmong_20050210.1130-CE17
CE36	soc.culture.hmong_20050210.1130-CE18
CE6	soc.culture.hmong_20050210.1130-CE19
CE8	soc.culture.hmong_20050210.1130-CE20
CE7	soc.culture.hmong_20050210.1130-CE21
CE38	soc.culture.hmong_20050210.1130-CE22
CE39	soc.culture.hmong_20050210.1130-CE23
CE40	soc.culture.hmong_20050210.1130-CE24
CE41	soc.culture.hmong_20050210.1130-CE25
CE42	soc.culture.hmong_20050210.1130-CE26
CE43	soc.culture.hmong_20050210.1130-CE27
CE4	soc.culture.hmong_20050210.1130-CE28
CE44	soc.culture.hmong_20050210.1130-CE29
CE45	soc.culture.hmong_20050210.1130-CE30
CE46	soc.culture.hmong_20050210.1130-CE31
CE47	soc.culture.hmong_20050210.1130-CE32
CE48	soc.culture.hmong_20050210.1130-CE33
CE49	soc.culture.hmong_20050210.1130-CE34
CE50	soc.culture.hmong_20050210.1130-CE35
CE51	soc.culture.hmong_20050210.1130-CE36
CE52	soc.culture.hmong_20050210.1130-CE37
CE53	soc.culture.hmong_20050210.1130-CE38
CE54	soc.culture.hmong_20050210.1130-CE39
CE2	soc.culture.hmong_20050210.1130-CE40
CE11	soc.culture.hmong_20050210.1130-CE41
CE13	soc.culture.hmong_20050210.1130-CE42
CE55	soc.culture.hmong_20050210.1130-CE43
CE37	soc.culture.hmong_20050210.1130-CE44
CE5	soc.culture.hmong_20050210.1130-CE45
CE3	soc.culture.hmong_20050210.1130-CE46
CE9	soc.culture.hmong_20050210.1130-CE47
CE56	soc.culture.hmong_20050210.1130-CE48
CE10	soc.culture.hmong_20050210.1130-CE49
CE24	soc.culture.hmong_20050210.1130-CE50
CE12	soc.culture.hmong_20050210.1130-CE51
CE14	soc.culture.hmong_20050210.1130-CE52
CE15	soc.culture.hmong_20050210.1130-CE53
CE16	soc.culture.hmong_20050210.1130-CE54
CE17	soc.culture.hmong_20050210.1130-CE55
CE19	soc.culture.hmong_20050210.1130-CE56
E13	soc.culture.hmong_20050210.1130-E1
E14	soc.culture.hmong_20050210.1130-E2
E15	soc.culture.hmong_20050210.1130-E3
E16	soc.culture.hmong_20050210.1130-E4
E17	soc.culture.hmong_20050210.1130-E5
E19	soc.culture.hmong_20050210.1130-E6
E20	soc.culture.hmong_20050210.1130-E7
E22	soc.culture.hmong_20050210.1130-E8
E23	soc.culture.hmong_20050210.1130-E9
E24	soc.culture.hmong_20050210.1130-E10
E25	soc.culture.hmong_20050210.1130-E11
E26	soc.culture.hmong_20050210.1130-E12
E27	soc.culture.hmong_20050210.1130-E13
E28	soc.culture.hmong_20050210.1130-E14
E29	soc.culture.hmong_20050210.1130-E15
E30	soc.culture.hmong_20050210.1130-E16
E31	soc.culture.hmong_20050210.1130-E17
E33	soc.culture.hmong_20050210.1130-E18
E34	soc.culture.hmong_20050210.1130-E19
E35	soc.culture.hmong_20050210.1130-E20
