CE12	soc.culture.indian_20041104.2348-CE1
CE13	soc.culture.indian_20041104.2348-CE2
CE14	soc.culture.indian_20041104.2348-CE3
CE15	soc.culture.indian_20041104.2348-CE4
CE2	soc.culture.indian_20041104.2348-CE5
CE16	soc.culture.indian_20041104.2348-CE6
CE18	soc.culture.indian_20041104.2348-CE7
CE19	soc.culture.indian_20041104.2348-CE8
CE1	soc.culture.indian_20041104.2348-CE9
CE21	soc.culture.indian_20041104.2348-CE10
CE22	soc.culture.indian_20041104.2348-CE11
CE23	soc.culture.indian_20041104.2348-CE12
CE24	soc.culture.indian_20041104.2348-CE13
CE7	soc.culture.indian_20041104.2348-CE14
CE17	soc.culture.indian_20041104.2348-CE15
CE3	soc.culture.indian_20041104.2348-CE16
CE25	soc.culture.indian_20041104.2348-CE17
CE26	soc.culture.indian_20041104.2348-CE18
CE27	soc.culture.indian_20041104.2348-CE19
CE28	soc.culture.indian_20041104.2348-CE20
CE29	soc.culture.indian_20041104.2348-CE21
CE30	soc.culture.indian_20041104.2348-CE22
CE31	soc.culture.indian_20041104.2348-CE23
CE32	soc.culture.indian_20041104.2348-CE24
CE33	soc.culture.indian_20041104.2348-CE25
CE35	soc.culture.indian_20041104.2348-CE26
CE34	soc.culture.indian_20041104.2348-CE27
CE36	soc.culture.indian_20041104.2348-CE28
CE37	soc.culture.indian_20041104.2348-CE29
CE38	soc.culture.indian_20041104.2348-CE30
CE39	soc.culture.indian_20041104.2348-CE31
CE40	soc.culture.indian_20041104.2348-CE32
CE41	soc.culture.indian_20041104.2348-CE33
CE42	soc.culture.indian_20041104.2348-CE34
CE20	soc.culture.indian_20041104.2348-CE35
CE4	soc.culture.indian_20041104.2348-CE36
CE5	soc.culture.indian_20041104.2348-CE37
CE6	soc.culture.indian_20041104.2348-CE38
CE8	soc.culture.indian_20041104.2348-CE39
CE9	soc.culture.indian_20041104.2348-CE40
CE11	soc.culture.indian_20041104.2348-CE41
CE10	soc.culture.indian_20041104.2348-CE42
E15	soc.culture.indian_20041104.2348-E1
E16	soc.culture.indian_20041104.2348-E2
E17	soc.culture.indian_20041104.2348-E3
E18	soc.culture.indian_20041104.2348-E4
E19	soc.culture.indian_20041104.2348-E5
E20	soc.culture.indian_20041104.2348-E6
E21	soc.culture.indian_20041104.2348-E7
E23	soc.culture.indian_20041104.2348-E8
E24	soc.culture.indian_20041104.2348-E9
E25	soc.culture.indian_20041104.2348-E10
E31	soc.culture.indian_20041104.2348-E11
E32	soc.culture.indian_20041104.2348-E12
E27	soc.culture.indian_20041104.2348-E13
E28	soc.culture.indian_20041104.2348-E14
E33	soc.culture.indian_20041104.2348-E15
E34	soc.culture.indian_20041104.2348-E16
E90	soc.culture.indian_20041104.2348-E17
E91	soc.culture.indian_20041104.2348-E18
E37	soc.culture.indian_20041104.2348-E19
E38	soc.culture.indian_20041104.2348-E20
E29	soc.culture.indian_20041104.2348-E21
E39	soc.culture.indian_20041104.2348-E22
E40	soc.culture.indian_20041104.2348-E23
E41	soc.culture.indian_20041104.2348-E24
E42	soc.culture.indian_20041104.2348-E25
E43	soc.culture.indian_20041104.2348-E26
E92	soc.culture.indian_20041104.2348-E27
E45	soc.culture.indian_20041104.2348-E28
E46	soc.culture.indian_20041104.2348-E29
E47	soc.culture.indian_20041104.2348-E30
E48	soc.culture.indian_20041104.2348-E31
E49	soc.culture.indian_20041104.2348-E32
E93	soc.culture.indian_20041104.2348-E33
E50	soc.culture.indian_20041104.2348-E34
E51	soc.culture.indian_20041104.2348-E35
E52	soc.culture.indian_20041104.2348-E36
E69	soc.culture.indian_20041104.2348-E37
E53	soc.culture.indian_20041104.2348-E38
E54	soc.culture.indian_20041104.2348-E39
E55	soc.culture.indian_20041104.2348-E40
E56	soc.culture.indian_20041104.2348-E41
E57	soc.culture.indian_20041104.2348-E42
E58	soc.culture.indian_20041104.2348-E43
E59	soc.culture.indian_20041104.2348-E44
E60	soc.culture.indian_20041104.2348-E45
E61	soc.culture.indian_20041104.2348-E46
E62	soc.culture.indian_20041104.2348-E47
E63	soc.culture.indian_20041104.2348-E48
E64	soc.culture.indian_20041104.2348-E49
E66	soc.culture.indian_20041104.2348-E50
E70	soc.culture.indian_20041104.2348-E51
E71	soc.culture.indian_20041104.2348-E52
E72	soc.culture.indian_20041104.2348-E53
E73	soc.culture.indian_20041104.2348-E54
E74	soc.culture.indian_20041104.2348-E55
E76	soc.culture.indian_20041104.2348-E56
