CE12	soc.culture.iraq_20050211.0445-CE1
CE13	soc.culture.iraq_20050211.0445-CE2
CE14	soc.culture.iraq_20050211.0445-CE3
CE15	soc.culture.iraq_20050211.0445-CE4
CE16	soc.culture.iraq_20050211.0445-CE5
CE17	soc.culture.iraq_20050211.0445-CE6
CE18	soc.culture.iraq_20050211.0445-CE7
CE21	soc.culture.iraq_20050211.0445-CE8
CE22	soc.culture.iraq_20050211.0445-CE9
CE23	soc.culture.iraq_20050211.0445-CE10
CE25	soc.culture.iraq_20050211.0445-CE11
CE26	soc.culture.iraq_20050211.0445-CE12
CE27	soc.culture.iraq_20050211.0445-CE13
CE28	soc.culture.iraq_20050211.0445-CE14
CE29	soc.culture.iraq_20050211.0445-CE15
CE3	soc.culture.iraq_20050211.0445-CE16
CE31	soc.culture.iraq_20050211.0445-CE17
CE30	soc.culture.iraq_20050211.0445-CE18
CE32	soc.culture.iraq_20050211.0445-CE19
CE33	soc.culture.iraq_20050211.0445-CE20
CE34	soc.culture.iraq_20050211.0445-CE21
CE1	soc.culture.iraq_20050211.0445-CE22
CE2	soc.culture.iraq_20050211.0445-CE23
CE37	soc.culture.iraq_20050211.0445-CE24
CE38	soc.culture.iraq_20050211.0445-CE25
CE39	soc.culture.iraq_20050211.0445-CE26
CE40	soc.culture.iraq_20050211.0445-CE27
CE24	soc.culture.iraq_20050211.0445-CE28
CE20	soc.culture.iraq_20050211.0445-CE29
CE36	soc.culture.iraq_20050211.0445-CE30
CE35	soc.culture.iraq_20050211.0445-CE31
CE5	soc.culture.iraq_20050211.0445-CE32
CE19	soc.culture.iraq_20050211.0445-CE33
CE4	soc.culture.iraq_20050211.0445-CE34
CE6	soc.culture.iraq_20050211.0445-CE35
CE7	soc.culture.iraq_20050211.0445-CE36
CE8	soc.culture.iraq_20050211.0445-CE37
CE9	soc.culture.iraq_20050211.0445-CE38
CE10	soc.culture.iraq_20050211.0445-CE39
CE11	soc.culture.iraq_20050211.0445-CE40
E12	soc.culture.iraq_20050211.0445-E1
E13	soc.culture.iraq_20050211.0445-E2
E14	soc.culture.iraq_20050211.0445-E3
E15	soc.culture.iraq_20050211.0445-E4
E16	soc.culture.iraq_20050211.0445-E5
E17	soc.culture.iraq_20050211.0445-E6
E18	soc.culture.iraq_20050211.0445-E7
E19	soc.culture.iraq_20050211.0445-E8
E20	soc.culture.iraq_20050211.0445-E9
E21	soc.culture.iraq_20050211.0445-E10
E22	soc.culture.iraq_20050211.0445-E11
E23	soc.culture.iraq_20050211.0445-E12
E24	soc.culture.iraq_20050211.0445-E13
E25	soc.culture.iraq_20050211.0445-E14
E26	soc.culture.iraq_20050211.0445-E15
E27	soc.culture.iraq_20050211.0445-E16
E1	soc.culture.iraq_20050211.0445-E17
E28	soc.culture.iraq_20050211.0445-E18
E29	soc.culture.iraq_20050211.0445-E19
E30	soc.culture.iraq_20050211.0445-E20
E31	soc.culture.iraq_20050211.0445-E21
E32	soc.culture.iraq_20050211.0445-E22
E33	soc.culture.iraq_20050211.0445-E23
E34	soc.culture.iraq_20050211.0445-E24
E36	soc.culture.iraq_20050211.0445-E25
E38	soc.culture.iraq_20050211.0445-E26
E39	soc.culture.iraq_20050211.0445-E27
E40	soc.culture.iraq_20050211.0445-E28
E41	soc.culture.iraq_20050211.0445-E29
E42	soc.culture.iraq_20050211.0445-E30
E44	soc.culture.iraq_20050211.0445-E31
E46	soc.culture.iraq_20050211.0445-E32
E48	soc.culture.iraq_20050211.0445-E33
E49	soc.culture.iraq_20050211.0445-E34
E50	soc.culture.iraq_20050211.0445-E35
E51	soc.culture.iraq_20050211.0445-E36
E52	soc.culture.iraq_20050211.0445-E37
E53	soc.culture.iraq_20050211.0445-E38
E59	soc.culture.iraq_20050211.0445-E39
E56	soc.culture.iraq_20050211.0445-E40
E2	soc.culture.iraq_20050211.0445-E41
E64	soc.culture.iraq_20050211.0445-E42
E62	soc.culture.iraq_20050211.0445-E43
E63	soc.culture.iraq_20050211.0445-E44
E65	soc.culture.iraq_20050211.0445-E45
E57	soc.culture.iraq_20050211.0445-E46
E3	soc.culture.iraq_20050211.0445-E47
E4	soc.culture.iraq_20050211.0445-E48
E5	soc.culture.iraq_20050211.0445-E49
E6	soc.culture.iraq_20050211.0445-E50
E7	soc.culture.iraq_20050211.0445-E51
E8	soc.culture.iraq_20050211.0445-E52
E9	soc.culture.iraq_20050211.0445-E53
E10	soc.culture.iraq_20050211.0445-E54
E11	soc.culture.iraq_20050211.0445-E55
EM1	soc.culture.iraq_20050211.0445-E17-1
EM20	soc.culture.iraq_20050211.0445-E1-2
EM21	soc.culture.iraq_20050211.0445-E41-3
EM22	soc.culture.iraq_20050211.0445-E52-4
EM23	soc.culture.iraq_20050211.0445-E3-5
EM24	soc.culture.iraq_20050211.0445-E4-6
EM25	soc.culture.iraq_20050211.0445-E52-7
EM26	soc.culture.iraq_20050211.0445-E5-8
EM27	soc.culture.iraq_20050211.0445-E41-9
EM28	soc.culture.iraq_20050211.0445-E51-10
EM29	soc.culture.iraq_20050211.0445-E41-11
EM30	soc.culture.iraq_20050211.0445-E51-12
EM31	soc.culture.iraq_20050211.0445-E41-13
EM32	soc.culture.iraq_20050211.0445-E52-14
EM33	soc.culture.iraq_20050211.0445-E6-15
EM34	soc.culture.iraq_20050211.0445-E7-16
EM35	soc.culture.iraq_20050211.0445-E7-17
EM36	soc.culture.iraq_20050211.0445-E8-18
EM37	soc.culture.iraq_20050211.0445-E5-19
EM38	soc.culture.iraq_20050211.0445-E52-20
EM39	soc.culture.iraq_20050211.0445-E51-21
EM40	soc.culture.iraq_20050211.0445-E51-22
EM41	soc.culture.iraq_20050211.0445-E52-23
EM42	soc.culture.iraq_20050211.0445-E52-24
EM43	soc.culture.iraq_20050211.0445-E41-25
EM44	soc.culture.iraq_20050211.0445-E9-26
EM45	soc.culture.iraq_20050211.0445-E10-27
EM46	soc.culture.iraq_20050211.0445-E11-28
EM47	soc.culture.iraq_20050211.0445-E52-29
EM48	soc.culture.iraq_20050211.0445-E52-30
EM50	soc.culture.iraq_20050211.0445-E12-31
