CE18	soc.culture.jewish_20050130.2105-CE1
CE23	soc.culture.jewish_20050130.2105-CE2
CE20	soc.culture.jewish_20050130.2105-CE3
CE5	soc.culture.jewish_20050130.2105-CE4
CE19	soc.culture.jewish_20050130.2105-CE5
CE36	soc.culture.jewish_20050130.2105-CE6
CE11	soc.culture.jewish_20050130.2105-CE7
CE2	soc.culture.jewish_20050130.2105-CE8
CE21	soc.culture.jewish_20050130.2105-CE9
CE22	soc.culture.jewish_20050130.2105-CE10
CE24	soc.culture.jewish_20050130.2105-CE11
CE25	soc.culture.jewish_20050130.2105-CE12
CE26	soc.culture.jewish_20050130.2105-CE13
CE27	soc.culture.jewish_20050130.2105-CE14
CE28	soc.culture.jewish_20050130.2105-CE15
CE29	soc.culture.jewish_20050130.2105-CE16
CE30	soc.culture.jewish_20050130.2105-CE17
CE31	soc.culture.jewish_20050130.2105-CE18
CE32	soc.culture.jewish_20050130.2105-CE19
CE34	soc.culture.jewish_20050130.2105-CE20
CE4	soc.culture.jewish_20050130.2105-CE21
CE13	soc.culture.jewish_20050130.2105-CE22
CE15	soc.culture.jewish_20050130.2105-CE23
CE3	soc.culture.jewish_20050130.2105-CE24
CE33	soc.culture.jewish_20050130.2105-CE25
CE6	soc.culture.jewish_20050130.2105-CE26
CE7	soc.culture.jewish_20050130.2105-CE27
CE8	soc.culture.jewish_20050130.2105-CE28
CE10	soc.culture.jewish_20050130.2105-CE29
CE9	soc.culture.jewish_20050130.2105-CE30
CE12	soc.culture.jewish_20050130.2105-CE31
CE14	soc.culture.jewish_20050130.2105-CE32
CE16	soc.culture.jewish_20050130.2105-CE33
CE17	soc.culture.jewish_20050130.2105-CE34
CE1	soc.culture.jewish_20050130.2105-CE35
E17	soc.culture.jewish_20050130.2105-E1
E18	soc.culture.jewish_20050130.2105-E2
E19	soc.culture.jewish_20050130.2105-E3
E20	soc.culture.jewish_20050130.2105-E4
E22	soc.culture.jewish_20050130.2105-E5
E23	soc.culture.jewish_20050130.2105-E6
E55	soc.culture.jewish_20050130.2105-E7
E25	soc.culture.jewish_20050130.2105-E8
E27	soc.culture.jewish_20050130.2105-E9
E28	soc.culture.jewish_20050130.2105-E10
E29	soc.culture.jewish_20050130.2105-E11
E30	soc.culture.jewish_20050130.2105-E12
E31	soc.culture.jewish_20050130.2105-E13
E32	soc.culture.jewish_20050130.2105-E14
E33	soc.culture.jewish_20050130.2105-E15
E34	soc.culture.jewish_20050130.2105-E16
E35	soc.culture.jewish_20050130.2105-E17
E37	soc.culture.jewish_20050130.2105-E18
E38	soc.culture.jewish_20050130.2105-E19
E39	soc.culture.jewish_20050130.2105-E20
E40	soc.culture.jewish_20050130.2105-E21
E41	soc.culture.jewish_20050130.2105-E22
E42	soc.culture.jewish_20050130.2105-E23
E43	soc.culture.jewish_20050130.2105-E24
E44	soc.culture.jewish_20050130.2105-E25
E49	soc.culture.jewish_20050130.2105-E26
E46	soc.culture.jewish_20050130.2105-E27
E50	soc.culture.jewish_20050130.2105-E28
E1	soc.culture.jewish_20050130.2105-E29
E52	soc.culture.jewish_20050130.2105-E30
E53	soc.culture.jewish_20050130.2105-E31
E48	soc.culture.jewish_20050130.2105-E32
E5	soc.culture.jewish_20050130.2105-E33
E6	soc.culture.jewish_20050130.2105-E34
E7	soc.culture.jewish_20050130.2105-E35
E8	soc.culture.jewish_20050130.2105-E36
E9	soc.culture.jewish_20050130.2105-E37
E10	soc.culture.jewish_20050130.2105-E38
E11	soc.culture.jewish_20050130.2105-E39
E12	soc.culture.jewish_20050130.2105-E40
E13	soc.culture.jewish_20050130.2105-E41
E15	soc.culture.jewish_20050130.2105-E42
EM17	soc.culture.jewish_20050130.2105-E2-1
EM72	soc.culture.jewish_20050130.2105-E39-2
EM62	soc.culture.jewish_20050130.2105-E7-3
EM21	soc.culture.jewish_20050130.2105-E29-4
EM22	soc.culture.jewish_20050130.2105-E4-5
EM23	soc.culture.jewish_20050130.2105-E5-6
EM20	soc.culture.jewish_20050130.2105-E6-7
EM24	soc.culture.jewish_20050130.2105-E40-8
EM63	soc.culture.jewish_20050130.2105-E40-9
EM27	soc.culture.jewish_20050130.2105-E8-10
EM28	soc.culture.jewish_20050130.2105-E9-11
EM64	soc.culture.jewish_20050130.2105-E7-12
EM26	soc.culture.jewish_20050130.2105-E10-13
EM29	soc.culture.jewish_20050130.2105-E11-14
EM30	soc.culture.jewish_20050130.2105-E3-15
EM9	soc.culture.jewish_20050130.2105-E26-16
EM31	soc.culture.jewish_20050130.2105-E12-17
EM32	soc.culture.jewish_20050130.2105-E14-18
EM33	soc.culture.jewish_20050130.2105-E29-19
EM34	soc.culture.jewish_20050130.2105-E13-20
EM35	soc.culture.jewish_20050130.2105-E15-21
EM36	soc.culture.jewish_20050130.2105-E16-22
EM37	soc.culture.jewish_20050130.2105-E13-23
EM38	soc.culture.jewish_20050130.2105-E13-24
EM39	soc.culture.jewish_20050130.2105-E29-25
EM40	soc.culture.jewish_20050130.2105-E29-26
EM41	soc.culture.jewish_20050130.2105-E17-27
EM42	soc.culture.jewish_20050130.2105-E38-28
EM65	soc.culture.jewish_20050130.2105-E40-29
EM44	soc.culture.jewish_20050130.2105-E18-30
EM45	soc.culture.jewish_20050130.2105-E19-31
EM46	soc.culture.jewish_20050130.2105-E20-32
EM47	soc.culture.jewish_20050130.2105-E21-33
EM48	soc.culture.jewish_20050130.2105-E22-34
EM49	soc.culture.jewish_20050130.2105-E23-35
EM73	soc.culture.jewish_20050130.2105-E11-36
EM67	soc.culture.jewish_20050130.2105-E7-37
EM51	soc.culture.jewish_20050130.2105-E29-38
EM52	soc.culture.jewish_20050130.2105-E24-39
EM53	soc.culture.jewish_20050130.2105-E25-40
EM1	soc.culture.jewish_20050130.2105-E29-41
EM55	soc.culture.jewish_20050130.2105-E34-42
EM56	soc.culture.jewish_20050130.2105-E27-43
EM57	soc.culture.jewish_20050130.2105-E3-44
EM58	soc.culture.jewish_20050130.2105-E40-45
EM60	soc.culture.jewish_20050130.2105-E39-46
EM68	soc.culture.jewish_20050130.2105-E40-47
EM69	soc.culture.jewish_20050130.2105-E7-48
EM70	soc.culture.jewish_20050130.2105-E40-49
EM11	soc.culture.jewish_20050130.2105-E28-50
EM59	soc.culture.jewish_20050130.2105-E40-51
EM74	soc.culture.jewish_20050130.2105-E28-52
EM19	soc.culture.jewish_20050130.2105-E28-53
EM12	soc.culture.jewish_20050130.2105-E40-54
EM25	soc.culture.jewish_20050130.2105-E40-55
EM5	soc.culture.jewish_20050130.2105-E30-56
EM54	soc.culture.jewish_20050130.2105-E29-57
EM43	soc.culture.jewish_20050130.2105-E35-58
EM50	soc.culture.jewish_20050130.2105-E31-59
EM7	soc.culture.jewish_20050130.2105-E32-60
EM2	soc.culture.jewish_20050130.2105-E33-61
EM3	soc.culture.jewish_20050130.2105-E34-62
EM6	soc.culture.jewish_20050130.2105-E36-63
EM4	soc.culture.jewish_20050130.2105-E37-64
EM8	soc.culture.jewish_20050130.2105-E38-65
EM10	soc.culture.jewish_20050130.2105-E39-66
EM13	soc.culture.jewish_20050130.2105-E41-67
EM71	soc.culture.jewish_20050130.2105-E39-68
EM14	soc.culture.jewish_20050130.2105-E29-69
EM15	soc.culture.jewish_20050130.2105-E29-70
EM16	soc.culture.jewish_20050130.2105-E42-71
EM18	soc.culture.jewish_20050130.2105-E1-72
R4	soc.culture.jewish_20050130.2105-R1
R5	soc.culture.jewish_20050130.2105-R2
R7	soc.culture.jewish_20050130.2105-R3
R8	soc.culture.jewish_20050130.2105-R4
R9	soc.culture.jewish_20050130.2105-R5
R12	soc.culture.jewish_20050130.2105-R6
R13	soc.culture.jewish_20050130.2105-R7
R1	soc.culture.jewish_20050130.2105-R8
R2	soc.culture.jewish_20050130.2105-R9
R3	soc.culture.jewish_20050130.2105-R10
R6	soc.culture.jewish_20050130.2105-R11
R10	soc.culture.jewish_20050130.2105-R12
R11	soc.culture.jewish_20050130.2105-R13
RM4	soc.culture.jewish_20050130.2105-R1-1
RM5	soc.culture.jewish_20050130.2105-R2-1
RM7	soc.culture.jewish_20050130.2105-R3-1
RM8	soc.culture.jewish_20050130.2105-R4-1
RM9	soc.culture.jewish_20050130.2105-R5-1
RM12	soc.culture.jewish_20050130.2105-R6-1
RM13	soc.culture.jewish_20050130.2105-R7-1
RM1	soc.culture.jewish_20050130.2105-R8-1
RM2	soc.culture.jewish_20050130.2105-R9-1
RM3	soc.culture.jewish_20050130.2105-R10-1
RM6	soc.culture.jewish_20050130.2105-R11-1
