CE17	talk.politics.misc_20050216.1337-CE1
CE19	talk.politics.misc_20050216.1337-CE2
CE1	talk.politics.misc_20050216.1337-CE3
CE28	talk.politics.misc_20050216.1337-CE4
CE20	talk.politics.misc_20050216.1337-CE5
CE21	talk.politics.misc_20050216.1337-CE6
CE22	talk.politics.misc_20050216.1337-CE7
CE23	talk.politics.misc_20050216.1337-CE8
CE24	talk.politics.misc_20050216.1337-CE9
CE25	talk.politics.misc_20050216.1337-CE10
CE2	talk.politics.misc_20050216.1337-CE11
CE26	talk.politics.misc_20050216.1337-CE12
CE29	talk.politics.misc_20050216.1337-CE13
CE7	talk.politics.misc_20050216.1337-CE14
CE8	talk.politics.misc_20050216.1337-CE15
CE9	talk.politics.misc_20050216.1337-CE16
CE13	talk.politics.misc_20050216.1337-CE17
CE27	talk.politics.misc_20050216.1337-CE18
CE6	talk.politics.misc_20050216.1337-CE19
CE18	talk.politics.misc_20050216.1337-CE20
CE30	talk.politics.misc_20050216.1337-CE21
CE31	talk.politics.misc_20050216.1337-CE22
CE10	talk.politics.misc_20050216.1337-CE23
CE11	talk.politics.misc_20050216.1337-CE24
CE12	talk.politics.misc_20050216.1337-CE25
CE14	talk.politics.misc_20050216.1337-CE26
CE5	talk.politics.misc_20050216.1337-CE27
CE3	talk.politics.misc_20050216.1337-CE28
CE15	talk.politics.misc_20050216.1337-CE29
CE16	talk.politics.misc_20050216.1337-CE30
E18	talk.politics.misc_20050216.1337-E1
E21	talk.politics.misc_20050216.1337-E2
E22	talk.politics.misc_20050216.1337-E3
E24	talk.politics.misc_20050216.1337-E4
E50	talk.politics.misc_20050216.1337-E5
E27	talk.politics.misc_20050216.1337-E6
E28	talk.politics.misc_20050216.1337-E7
E29	talk.politics.misc_20050216.1337-E8
E30	talk.politics.misc_20050216.1337-E9
E31	talk.politics.misc_20050216.1337-E10
E32	talk.politics.misc_20050216.1337-E11
E33	talk.politics.misc_20050216.1337-E12
E35	talk.politics.misc_20050216.1337-E13
E36	talk.politics.misc_20050216.1337-E14
E1	talk.politics.misc_20050216.1337-E15
E56	talk.politics.misc_20050216.1337-E16
E51	talk.politics.misc_20050216.1337-E17
E40	talk.politics.misc_20050216.1337-E18
E41	talk.politics.misc_20050216.1337-E19
E42	talk.politics.misc_20050216.1337-E20
E43	talk.politics.misc_20050216.1337-E21
E44	talk.politics.misc_20050216.1337-E22
E52	talk.politics.misc_20050216.1337-E23
E49	talk.politics.misc_20050216.1337-E24
E54	talk.politics.misc_20050216.1337-E25
E55	talk.politics.misc_20050216.1337-E26
E57	talk.politics.misc_20050216.1337-E27
E58	talk.politics.misc_20050216.1337-E28
E59	talk.politics.misc_20050216.1337-E29
E60	talk.politics.misc_20050216.1337-E30
E61	talk.politics.misc_20050216.1337-E31
E62	talk.politics.misc_20050216.1337-E32
E2	talk.politics.misc_20050216.1337-E33
E9	talk.politics.misc_20050216.1337-E34
E10	talk.politics.misc_20050216.1337-E35
E11	talk.politics.misc_20050216.1337-E36
E12	talk.politics.misc_20050216.1337-E37
E13	talk.politics.misc_20050216.1337-E38
E14	talk.politics.misc_20050216.1337-E39
E15	talk.politics.misc_20050216.1337-E40
E16	talk.politics.misc_20050216.1337-E41
E17	talk.politics.misc_20050216.1337-E42
EM4	talk.politics.misc_20050216.1337-E15-1
EM19	talk.politics.misc_20050216.1337-E39-2
EM20	talk.politics.misc_20050216.1337-E1-3
EM50	talk.politics.misc_20050216.1337-E39-4
EM22	talk.politics.misc_20050216.1337-E38-5
EM23	talk.politics.misc_20050216.1337-E2-6
EM24	talk.politics.misc_20050216.1337-E3-7
EM25	talk.politics.misc_20050216.1337-E4-8
EM51	talk.politics.misc_20050216.1337-E5-9
EM28	talk.politics.misc_20050216.1337-E38-10
EM65	talk.politics.misc_20050216.1337-E16-11
EM53	talk.politics.misc_20050216.1337-E37-12
EM29	talk.politics.misc_20050216.1337-E6-13
EM30	talk.politics.misc_20050216.1337-E38-14
EM31	talk.politics.misc_20050216.1337-E7-15
EM32	talk.politics.misc_20050216.1337-E8-16
EM33	talk.politics.misc_20050216.1337-E8-17
EM34	talk.politics.misc_20050216.1337-E9-18
EM35	talk.politics.misc_20050216.1337-E10-19
EM36	talk.politics.misc_20050216.1337-E9-20
EM37	talk.politics.misc_20050216.1337-E9-21
EM38	talk.politics.misc_20050216.1337-E11-22
EM39	talk.politics.misc_20050216.1337-E12-23
EM40	talk.politics.misc_20050216.1337-E11-24
EM43	talk.politics.misc_20050216.1337-E13-25
EM41	talk.politics.misc_20050216.1337-E38-26
EM42	talk.politics.misc_20050216.1337-E38-27
EM44	talk.politics.misc_20050216.1337-E14-28
EM45	talk.politics.misc_20050216.1337-E38-29
EM47	talk.politics.misc_20050216.1337-E1-30
EM48	talk.politics.misc_20050216.1337-E39-31
EM54	talk.politics.misc_20050216.1337-E39-32
EM55	talk.politics.misc_20050216.1337-E5-33
EM66	talk.politics.misc_20050216.1337-E39-34
EM57	talk.politics.misc_20050216.1337-E15-35
EM58	talk.politics.misc_20050216.1337-E17-36
EM59	talk.politics.misc_20050216.1337-E39-37
EM5	talk.politics.misc_20050216.1337-E18-38
EM6	talk.politics.misc_20050216.1337-E19-39
EM7	talk.politics.misc_20050216.1337-E20-40
EM12	talk.politics.misc_20050216.1337-E21-41
EM46	talk.politics.misc_20050216.1337-E22-42
EM60	talk.politics.misc_20050216.1337-E5-43
EM61	talk.politics.misc_20050216.1337-E37-44
EM62	talk.politics.misc_20050216.1337-E39-45
EM63	talk.politics.misc_20050216.1337-E5-46
EM64	talk.politics.misc_20050216.1337-E23-47
EM27	talk.politics.misc_20050216.1337-E39-48
EM26	talk.politics.misc_20050216.1337-E39-49
EM67	talk.politics.misc_20050216.1337-E5-50
EM21	talk.politics.misc_20050216.1337-E24-51
EM68	talk.politics.misc_20050216.1337-E27-52
EM56	talk.politics.misc_20050216.1337-E25-53
EM52	talk.politics.misc_20050216.1337-E26-54
EM69	talk.politics.misc_20050216.1337-E39-55
EM70	talk.politics.misc_20050216.1337-E5-56
EM71	talk.politics.misc_20050216.1337-E28-57
EM72	talk.politics.misc_20050216.1337-E39-58
EM73	talk.politics.misc_20050216.1337-E5-59
EM74	talk.politics.misc_20050216.1337-E29-60
EM75	talk.politics.misc_20050216.1337-E39-61
EM76	talk.politics.misc_20050216.1337-E5-62
EM77	talk.politics.misc_20050216.1337-E30-63
EM78	talk.politics.misc_20050216.1337-E31-64
EM79	talk.politics.misc_20050216.1337-E31-65
EM80	talk.politics.misc_20050216.1337-E37-66
EM81	talk.politics.misc_20050216.1337-E32-67
EM82	talk.politics.misc_20050216.1337-E37-68
EM8	talk.politics.misc_20050216.1337-E33-69
EM49	talk.politics.misc_20050216.1337-E15-70
EM9	talk.politics.misc_20050216.1337-E34-71
EM10	talk.politics.misc_20050216.1337-E35-72
EM11	talk.politics.misc_20050216.1337-E36-73
EM13	talk.politics.misc_20050216.1337-E37-74
EM14	talk.politics.misc_20050216.1337-E38-75
EM15	talk.politics.misc_20050216.1337-E40-76
EM16	talk.politics.misc_20050216.1337-E41-77
EM17	talk.politics.misc_20050216.1337-E42-78
EM18	talk.politics.misc_20050216.1337-E39-79
R3	talk.politics.misc_20050216.1337-R1
R4	talk.politics.misc_20050216.1337-R2
R5	talk.politics.misc_20050216.1337-R3
R6	talk.politics.misc_20050216.1337-R4
R4	talk.politics.misc_20050216.1337-R5
R1	talk.politics.misc_20050216.1337-R6
R2	talk.politics.misc_20050216.1337-R7
R7	talk.politics.misc_20050216.1337-R8
RM3	talk.politics.misc_20050216.1337-R1-1
RM4	talk.politics.misc_20050216.1337-R2-1
RM5	talk.politics.misc_20050216.1337-R3-1
RM6	talk.politics.misc_20050216.1337-R4-1
RM8	talk.politics.misc_20050216.1337-R2-2
RM1	talk.politics.misc_20050216.1337-R6-1
RM2	talk.politics.misc_20050216.1337-R7-1
RM7	talk.politics.misc_20050216.1337-R8-1
V1	talk.politics.misc_20050216.1337-EV1
VM1	talk.politics.misc_20050216.1337-EV1-1
Q10	talk.politics.misc_20050216.1337-T1
Q12	talk.politics.misc_20050216.1337-T2
Q13	talk.politics.misc_20050216.1337-T3
Q1	talk.politics.misc_20050216.1337-T4
Q2	talk.politics.misc_20050216.1337-T5
Q4	talk.politics.misc_20050216.1337-T6
Q5	talk.politics.misc_20050216.1337-T7
Q6	talk.politics.misc_20050216.1337-T8
Q7	talk.politics.misc_20050216.1337-T9
Q8	talk.politics.misc_20050216.1337-T10
Q9	talk.politics.misc_20050216.1337-T11
Q3	talk.politics.misc_20050216.1337-T12
