CE8	FLOPPINGACES_20050203.1953.038-CE1
CE50	FLOPPINGACES_20050203.1953.038-CE2
CE9	FLOPPINGACES_20050203.1953.038-CE3
CE11	FLOPPINGACES_20050203.1953.038-CE4
CE10	FLOPPINGACES_20050203.1953.038-CE5
CE12	FLOPPINGACES_20050203.1953.038-CE6
CE14	FLOPPINGACES_20050203.1953.038-CE7
CE15	FLOPPINGACES_20050203.1953.038-CE8
CE16	FLOPPINGACES_20050203.1953.038-CE9
CE17	FLOPPINGACES_20050203.1953.038-CE10
CE18	FLOPPINGACES_20050203.1953.038-CE11
CE19	FLOPPINGACES_20050203.1953.038-CE12
CE20	FLOPPINGACES_20050203.1953.038-CE13
CE2	FLOPPINGACES_20050203.1953.038-CE14
CE21	FLOPPINGACES_20050203.1953.038-CE15
CE22	FLOPPINGACES_20050203.1953.038-CE16
CE23	FLOPPINGACES_20050203.1953.038-CE17
CE24	FLOPPINGACES_20050203.1953.038-CE18
CE25	FLOPPINGACES_20050203.1953.038-CE19
CE26	FLOPPINGACES_20050203.1953.038-CE20
CE41	FLOPPINGACES_20050203.1953.038-CE21
CE27	FLOPPINGACES_20050203.1953.038-CE22
CE28	FLOPPINGACES_20050203.1953.038-CE23
CE30	FLOPPINGACES_20050203.1953.038-CE24
CE29	FLOPPINGACES_20050203.1953.038-CE25
CE31	FLOPPINGACES_20050203.1953.038-CE26
CE32	FLOPPINGACES_20050203.1953.038-CE27
CE33	FLOPPINGACES_20050203.1953.038-CE28
CE34	FLOPPINGACES_20050203.1953.038-CE29
CE35	FLOPPINGACES_20050203.1953.038-CE30
CE36	FLOPPINGACES_20050203.1953.038-CE31
CE37	FLOPPINGACES_20050203.1953.038-CE32
CE39	FLOPPINGACES_20050203.1953.038-CE33
CE40	FLOPPINGACES_20050203.1953.038-CE34
CE13	FLOPPINGACES_20050203.1953.038-CE35
CE42	FLOPPINGACES_20050203.1953.038-CE36
CE1	FLOPPINGACES_20050203.1953.038-CE37
CE43	FLOPPINGACES_20050203.1953.038-CE38
CE44	FLOPPINGACES_20050203.1953.038-CE39
CE45	FLOPPINGACES_20050203.1953.038-CE40
CE46	FLOPPINGACES_20050203.1953.038-CE41
CE47	FLOPPINGACES_20050203.1953.038-CE42
CE48	FLOPPINGACES_20050203.1953.038-CE43
CE49	FLOPPINGACES_20050203.1953.038-CE44
CE5	FLOPPINGACES_20050203.1953.038-CE45
CE38	FLOPPINGACES_20050203.1953.038-CE46
CE6	FLOPPINGACES_20050203.1953.038-CE47
CE3	FLOPPINGACES_20050203.1953.038-CE48
CE7	FLOPPINGACES_20050203.1953.038-CE49
CE4	FLOPPINGACES_20050203.1953.038-CE50
E129	FLOPPINGACES_20050203.1953.038-E1
E18	FLOPPINGACES_20050203.1953.038-E2
E19	FLOPPINGACES_20050203.1953.038-E3
E21	FLOPPINGACES_20050203.1953.038-E4
E22	FLOPPINGACES_20050203.1953.038-E5
E23	FLOPPINGACES_20050203.1953.038-E6
E24	FLOPPINGACES_20050203.1953.038-E7
E25	FLOPPINGACES_20050203.1953.038-E8
E26	FLOPPINGACES_20050203.1953.038-E9
E27	FLOPPINGACES_20050203.1953.038-E10
E28	FLOPPINGACES_20050203.1953.038-E11
E29	FLOPPINGACES_20050203.1953.038-E12
E30	FLOPPINGACES_20050203.1953.038-E13
E31	FLOPPINGACES_20050203.1953.038-E14
E32	FLOPPINGACES_20050203.1953.038-E15
E33	FLOPPINGACES_20050203.1953.038-E16
E34	FLOPPINGACES_20050203.1953.038-E17
E35	FLOPPINGACES_20050203.1953.038-E18
E37	FLOPPINGACES_20050203.1953.038-E19
E38	FLOPPINGACES_20050203.1953.038-E20
E39	FLOPPINGACES_20050203.1953.038-E21
E40	FLOPPINGACES_20050203.1953.038-E22
E41	FLOPPINGACES_20050203.1953.038-E23
E42	FLOPPINGACES_20050203.1953.038-E24
E43	FLOPPINGACES_20050203.1953.038-E25
E44	FLOPPINGACES_20050203.1953.038-E26
E45	FLOPPINGACES_20050203.1953.038-E27
E46	FLOPPINGACES_20050203.1953.038-E28
E47	FLOPPINGACES_20050203.1953.038-E29
E48	FLOPPINGACES_20050203.1953.038-E30
E114	FLOPPINGACES_20050203.1953.038-E31
E49	FLOPPINGACES_20050203.1953.038-E32
E52	FLOPPINGACES_20050203.1953.038-E33
E128	FLOPPINGACES_20050203.1953.038-E34
E53	FLOPPINGACES_20050203.1953.038-E35
E54	FLOPPINGACES_20050203.1953.038-E36
E55	FLOPPINGACES_20050203.1953.038-E37
E56	FLOPPINGACES_20050203.1953.038-E38
E57	FLOPPINGACES_20050203.1953.038-E39
E58	FLOPPINGACES_20050203.1953.038-E40
E59	FLOPPINGACES_20050203.1953.038-E41
E61	FLOPPINGACES_20050203.1953.038-E42
E62	FLOPPINGACES_20050203.1953.038-E43
E63	FLOPPINGACES_20050203.1953.038-E44
E64	FLOPPINGACES_20050203.1953.038-E45
E65	FLOPPINGACES_20050203.1953.038-E46
E66	FLOPPINGACES_20050203.1953.038-E47
E67	FLOPPINGACES_20050203.1953.038-E48
E68	FLOPPINGACES_20050203.1953.038-E49
E69	FLOPPINGACES_20050203.1953.038-E50
E70	FLOPPINGACES_20050203.1953.038-E51
E71	FLOPPINGACES_20050203.1953.038-E52
E72	FLOPPINGACES_20050203.1953.038-E53
E73	FLOPPINGACES_20050203.1953.038-E54
E74	FLOPPINGACES_20050203.1953.038-E55
E75	FLOPPINGACES_20050203.1953.038-E56
E76	FLOPPINGACES_20050203.1953.038-E57
E77	FLOPPINGACES_20050203.1953.038-E58
E78	FLOPPINGACES_20050203.1953.038-E59
E82	FLOPPINGACES_20050203.1953.038-E60
E85	FLOPPINGACES_20050203.1953.038-E61
E86	FLOPPINGACES_20050203.1953.038-E62
E117	FLOPPINGACES_20050203.1953.038-E63
E87	FLOPPINGACES_20050203.1953.038-E64
E88	FLOPPINGACES_20050203.1953.038-E65
E89	FLOPPINGACES_20050203.1953.038-E66
E91	FLOPPINGACES_20050203.1953.038-E67
E92	FLOPPINGACES_20050203.1953.038-E68
E93	FLOPPINGACES_20050203.1953.038-E69
E94	FLOPPINGACES_20050203.1953.038-E70
E95	FLOPPINGACES_20050203.1953.038-E71
E96	FLOPPINGACES_20050203.1953.038-E72
E98	FLOPPINGACES_20050203.1953.038-E73
E99	FLOPPINGACES_20050203.1953.038-E74
E102	FLOPPINGACES_20050203.1953.038-E75
E103	FLOPPINGACES_20050203.1953.038-E76
E104	FLOPPINGACES_20050203.1953.038-E77
E105	FLOPPINGACES_20050203.1953.038-E78
E106	FLOPPINGACES_20050203.1953.038-E79
E107	FLOPPINGACES_20050203.1953.038-E80
E108	FLOPPINGACES_20050203.1953.038-E81
E120	FLOPPINGACES_20050203.1953.038-E82
E3	FLOPPINGACES_20050203.1953.038-E83
E121	FLOPPINGACES_20050203.1953.038-E84
E122	FLOPPINGACES_20050203.1953.038-E85
E123	FLOPPINGACES_20050203.1953.038-E86
E124	FLOPPINGACES_20050203.1953.038-E87
E125	FLOPPINGACES_20050203.1953.038-E88
E126	FLOPPINGACES_20050203.1953.038-E89
E127	FLOPPINGACES_20050203.1953.038-E90
E5	FLOPPINGACES_20050203.1953.038-E91
E110	FLOPPINGACES_20050203.1953.038-E92
E7	FLOPPINGACES_20050203.1953.038-E93
E8	FLOPPINGACES_20050203.1953.038-E94
E9	FLOPPINGACES_20050203.1953.038-E95
E10	FLOPPINGACES_20050203.1953.038-E96
E11	FLOPPINGACES_20050203.1953.038-E97
E12	FLOPPINGACES_20050203.1953.038-E98
E13	FLOPPINGACES_20050203.1953.038-E99
E14	FLOPPINGACES_20050203.1953.038-E100
E15	FLOPPINGACES_20050203.1953.038-E101
EM19	FLOPPINGACES_20050203.1953.038-E91-1
EM18	FLOPPINGACES_20050203.1953.038-E2-2
EM20	FLOPPINGACES_20050203.1953.038-E91-3
EM21	FLOPPINGACES_20050203.1953.038-E95-4
EM22	FLOPPINGACES_20050203.1953.038-E3-5
EM23	FLOPPINGACES_20050203.1953.038-E97-6
EM24	FLOPPINGACES_20050203.1953.038-E97-7
EM1	FLOPPINGACES_20050203.1953.038-E97-8
EM25	FLOPPINGACES_20050203.1953.038-E4-9
EM26	FLOPPINGACES_20050203.1953.038-E5-10
EM28	FLOPPINGACES_20050203.1953.038-E6-11
EM30	FLOPPINGACES_20050203.1953.038-E97-12
EM31	FLOPPINGACES_20050203.1953.038-E97-13
EM32	FLOPPINGACES_20050203.1953.038-E7-14
EM33	FLOPPINGACES_20050203.1953.038-E91-15
EM34	FLOPPINGACES_20050203.1953.038-E97-16
EM35	FLOPPINGACES_20050203.1953.038-E8-17
EM36	FLOPPINGACES_20050203.1953.038-E9-18
EM37	FLOPPINGACES_20050203.1953.038-E97-19
EM38	FLOPPINGACES_20050203.1953.038-E10-20
EM39	FLOPPINGACES_20050203.1953.038-E11-21
EM40	FLOPPINGACES_20050203.1953.038-E11-22
EM41	FLOPPINGACES_20050203.1953.038-E8-23
EM42	FLOPPINGACES_20050203.1953.038-E12-24
EM43	FLOPPINGACES_20050203.1953.038-E97-25
EM44	FLOPPINGACES_20050203.1953.038-E8-26
EM45	FLOPPINGACES_20050203.1953.038-E97-27
EM46	FLOPPINGACES_20050203.1953.038-E8-28
EM47	FLOPPINGACES_20050203.1953.038-E13-29
EM48	FLOPPINGACES_20050203.1953.038-E15-30
EM49	FLOPPINGACES_20050203.1953.038-E16-31
EM50	FLOPPINGACES_20050203.1953.038-E8-32
EM51	FLOPPINGACES_20050203.1953.038-E17-33
EM52	FLOPPINGACES_20050203.1953.038-E8-34
EM53	FLOPPINGACES_20050203.1953.038-E18-35
EM54	FLOPPINGACES_20050203.1953.038-E18-36
EM55	FLOPPINGACES_20050203.1953.038-E18-37
EM56	FLOPPINGACES_20050203.1953.038-E19-38
EM57	FLOPPINGACES_20050203.1953.038-E97-39
EM58	FLOPPINGACES_20050203.1953.038-E20-40
EM59	FLOPPINGACES_20050203.1953.038-E97-41
EM60	FLOPPINGACES_20050203.1953.038-E91-42
EM61	FLOPPINGACES_20050203.1953.038-E21-43
EM62	FLOPPINGACES_20050203.1953.038-E95-44
EM63	FLOPPINGACES_20050203.1953.038-E22-45
EM64	FLOPPINGACES_20050203.1953.038-E23-46
EM65	FLOPPINGACES_20050203.1953.038-E24-47
EM138	FLOPPINGACES_20050203.1953.038-E31-48
EM66	FLOPPINGACES_20050203.1953.038-E25-49
EM67	FLOPPINGACES_20050203.1953.038-E23-50
EM68	FLOPPINGACES_20050203.1953.038-E26-51
