CE11	GETTINGPOLITICAL_20050105.0127.001-CE1
CE12	GETTINGPOLITICAL_20050105.0127.001-CE2
CE13	GETTINGPOLITICAL_20050105.0127.001-CE3
CE10	GETTINGPOLITICAL_20050105.0127.001-CE4
CE2	GETTINGPOLITICAL_20050105.0127.001-CE5
CE15	GETTINGPOLITICAL_20050105.0127.001-CE6
CE9	GETTINGPOLITICAL_20050105.0127.001-CE7
CE16	GETTINGPOLITICAL_20050105.0127.001-CE8
CE18	GETTINGPOLITICAL_20050105.0127.001-CE9
CE19	GETTINGPOLITICAL_20050105.0127.001-CE10
CE20	GETTINGPOLITICAL_20050105.0127.001-CE11
CE21	GETTINGPOLITICAL_20050105.0127.001-CE12
CE22	GETTINGPOLITICAL_20050105.0127.001-CE13
CE23	GETTINGPOLITICAL_20050105.0127.001-CE14
CE1	GETTINGPOLITICAL_20050105.0127.001-CE15
CE24	GETTINGPOLITICAL_20050105.0127.001-CE16
CE25	GETTINGPOLITICAL_20050105.0127.001-CE17
CE26	GETTINGPOLITICAL_20050105.0127.001-CE18
CE27	GETTINGPOLITICAL_20050105.0127.001-CE19
CE28	GETTINGPOLITICAL_20050105.0127.001-CE20
CE30	GETTINGPOLITICAL_20050105.0127.001-CE21
CE3	GETTINGPOLITICAL_20050105.0127.001-CE22
CE31	GETTINGPOLITICAL_20050105.0127.001-CE23
CE32	GETTINGPOLITICAL_20050105.0127.001-CE24
CE14	GETTINGPOLITICAL_20050105.0127.001-CE25
CE17	GETTINGPOLITICAL_20050105.0127.001-CE26
CE4	GETTINGPOLITICAL_20050105.0127.001-CE27
CE6	GETTINGPOLITICAL_20050105.0127.001-CE28
CE5	GETTINGPOLITICAL_20050105.0127.001-CE29
CE7	GETTINGPOLITICAL_20050105.0127.001-CE30
CE8	GETTINGPOLITICAL_20050105.0127.001-CE31
E15	GETTINGPOLITICAL_20050105.0127.001-E1
E16	GETTINGPOLITICAL_20050105.0127.001-E2
E17	GETTINGPOLITICAL_20050105.0127.001-E3
E19	GETTINGPOLITICAL_20050105.0127.001-E4
E20	GETTINGPOLITICAL_20050105.0127.001-E5
E21	GETTINGPOLITICAL_20050105.0127.001-E6
E23	GETTINGPOLITICAL_20050105.0127.001-E7
E24	GETTINGPOLITICAL_20050105.0127.001-E8
E25	GETTINGPOLITICAL_20050105.0127.001-E9
E26	GETTINGPOLITICAL_20050105.0127.001-E10
E27	GETTINGPOLITICAL_20050105.0127.001-E11
E28	GETTINGPOLITICAL_20050105.0127.001-E12
E29	GETTINGPOLITICAL_20050105.0127.001-E13
E30	GETTINGPOLITICAL_20050105.0127.001-E14
E31	GETTINGPOLITICAL_20050105.0127.001-E15
E32	GETTINGPOLITICAL_20050105.0127.001-E16
E33	GETTINGPOLITICAL_20050105.0127.001-E17
E1	GETTINGPOLITICAL_20050105.0127.001-E18
E35	GETTINGPOLITICAL_20050105.0127.001-E19
E36	GETTINGPOLITICAL_20050105.0127.001-E20
E37	GETTINGPOLITICAL_20050105.0127.001-E21
E38	GETTINGPOLITICAL_20050105.0127.001-E22
E39	GETTINGPOLITICAL_20050105.0127.001-E23
E40	GETTINGPOLITICAL_20050105.0127.001-E24
E41	GETTINGPOLITICAL_20050105.0127.001-E25
E42	GETTINGPOLITICAL_20050105.0127.001-E26
E43	GETTINGPOLITICAL_20050105.0127.001-E27
E44	GETTINGPOLITICAL_20050105.0127.001-E28
E45	GETTINGPOLITICAL_20050105.0127.001-E29
E46	GETTINGPOLITICAL_20050105.0127.001-E30
E47	GETTINGPOLITICAL_20050105.0127.001-E31
E48	GETTINGPOLITICAL_20050105.0127.001-E32
E55	GETTINGPOLITICAL_20050105.0127.001-E33
E2	GETTINGPOLITICAL_20050105.0127.001-E34
E3	GETTINGPOLITICAL_20050105.0127.001-E35
E5	GETTINGPOLITICAL_20050105.0127.001-E36
E6	GETTINGPOLITICAL_20050105.0127.001-E37
E57	GETTINGPOLITICAL_20050105.0127.001-E38
E8	GETTINGPOLITICAL_20050105.0127.001-E39
E9	GETTINGPOLITICAL_20050105.0127.001-E40
EM1	GETTINGPOLITICAL_20050105.0127.001-E18-1
EM20	GETTINGPOLITICAL_20050105.0127.001-E18-2
EM21	GETTINGPOLITICAL_20050105.0127.001-E18-3
EM23	GETTINGPOLITICAL_20050105.0127.001-E18-4
EM24	GETTINGPOLITICAL_20050105.0127.001-E1-5
EM25	GETTINGPOLITICAL_20050105.0127.001-E18-6
EM26	GETTINGPOLITICAL_20050105.0127.001-E2-7
EM27	GETTINGPOLITICAL_20050105.0127.001-E2-8
EM28	GETTINGPOLITICAL_20050105.0127.001-E18-9
EM29	GETTINGPOLITICAL_20050105.0127.001-E1-10
EM30	GETTINGPOLITICAL_20050105.0127.001-E18-11
EM31	GETTINGPOLITICAL_20050105.0127.001-E18-12
EM32	GETTINGPOLITICAL_20050105.0127.001-E18-13
EM33	GETTINGPOLITICAL_20050105.0127.001-E18-14
EM34	GETTINGPOLITICAL_20050105.0127.001-E1-15
EM35	GETTINGPOLITICAL_20050105.0127.001-E18-16
EM36	GETTINGPOLITICAL_20050105.0127.001-E3-17
EM38	GETTINGPOLITICAL_20050105.0127.001-E4-18
EM39	GETTINGPOLITICAL_20050105.0127.001-E18-19
EM40	GETTINGPOLITICAL_20050105.0127.001-E5-20
EM41	GETTINGPOLITICAL_20050105.0127.001-E18-21
EM42	GETTINGPOLITICAL_20050105.0127.001-E6-22
EM43	GETTINGPOLITICAL_20050105.0127.001-E7-23
EM44	GETTINGPOLITICAL_20050105.0127.001-E18-24
EM45	GETTINGPOLITICAL_20050105.0127.001-E8-25
EM46	GETTINGPOLITICAL_20050105.0127.001-E8-26
EM48	GETTINGPOLITICAL_20050105.0127.001-E36-27
EM49	GETTINGPOLITICAL_20050105.0127.001-E9-28
EM50	GETTINGPOLITICAL_20050105.0127.001-E9-29
EM51	GETTINGPOLITICAL_20050105.0127.001-E10-30
EM54	GETTINGPOLITICAL_20050105.0127.001-E12-31
EM55	GETTINGPOLITICAL_20050105.0127.001-E13-32
EM56	GETTINGPOLITICAL_20050105.0127.001-E37-33
EM57	GETTINGPOLITICAL_20050105.0127.001-E37-34
EM58	GETTINGPOLITICAL_20050105.0127.001-E14-35
EM59	GETTINGPOLITICAL_20050105.0127.001-E15-36
EM60	GETTINGPOLITICAL_20050105.0127.001-E16-37
EM61	GETTINGPOLITICAL_20050105.0127.001-E17-38
EM62	GETTINGPOLITICAL_20050105.0127.001-E19-39
EM63	GETTINGPOLITICAL_20050105.0127.001-E11-40
EM64	GETTINGPOLITICAL_20050105.0127.001-E20-41
EM65	GETTINGPOLITICAL_20050105.0127.001-E20-42
EM66	GETTINGPOLITICAL_20050105.0127.001-E37-43
EM67	GETTINGPOLITICAL_20050105.0127.001-E21-44
EM68	GETTINGPOLITICAL_20050105.0127.001-E22-45
EM69	GETTINGPOLITICAL_20050105.0127.001-E18-46
EM70	GETTINGPOLITICAL_20050105.0127.001-E10-47
EM71	GETTINGPOLITICAL_20050105.0127.001-E37-48
EM72	GETTINGPOLITICAL_20050105.0127.001-E18-49
EM73	GETTINGPOLITICAL_20050105.0127.001-E23-50
EM74	GETTINGPOLITICAL_20050105.0127.001-E18-51
EM75	GETTINGPOLITICAL_20050105.0127.001-E18-52
EM76	GETTINGPOLITICAL_20050105.0127.001-E24-53
EM77	GETTINGPOLITICAL_20050105.0127.001-E24-54
