CE21	HEALINGIRAQ_20041108.1942.05-CE1
CE22	HEALINGIRAQ_20041108.1942.05-CE2
CE25	HEALINGIRAQ_20041108.1942.05-CE3
CE23	HEALINGIRAQ_20041108.1942.05-CE4
CE24	HEALINGIRAQ_20041108.1942.05-CE5
CE28	HEALINGIRAQ_20041108.1942.05-CE6
CE29	HEALINGIRAQ_20041108.1942.05-CE7
CE31	HEALINGIRAQ_20041108.1942.05-CE8
CE30	HEALINGIRAQ_20041108.1942.05-CE9
CE9	HEALINGIRAQ_20041108.1942.05-CE10
CE32	HEALINGIRAQ_20041108.1942.05-CE11
CE33	HEALINGIRAQ_20041108.1942.05-CE12
CE34	HEALINGIRAQ_20041108.1942.05-CE13
CE35	HEALINGIRAQ_20041108.1942.05-CE14
CE10	HEALINGIRAQ_20041108.1942.05-CE15
CE36	HEALINGIRAQ_20041108.1942.05-CE16
CE11	HEALINGIRAQ_20041108.1942.05-CE17
CE38	HEALINGIRAQ_20041108.1942.05-CE18
CE39	HEALINGIRAQ_20041108.1942.05-CE19
CE27	HEALINGIRAQ_20041108.1942.05-CE20
CE40	HEALINGIRAQ_20041108.1942.05-CE21
CE41	HEALINGIRAQ_20041108.1942.05-CE22
CE42	HEALINGIRAQ_20041108.1942.05-CE23
CE4	HEALINGIRAQ_20041108.1942.05-CE24
CE12	HEALINGIRAQ_20041108.1942.05-CE25
CE96	HEALINGIRAQ_20041108.1942.05-CE26
CE47	HEALINGIRAQ_20041108.1942.05-CE27
CE2	HEALINGIRAQ_20041108.1942.05-CE28
CE46	HEALINGIRAQ_20041108.1942.05-CE29
CE45	HEALINGIRAQ_20041108.1942.05-CE30
CE48	HEALINGIRAQ_20041108.1942.05-CE31
CE49	HEALINGIRAQ_20041108.1942.05-CE32
CE50	HEALINGIRAQ_20041108.1942.05-CE33
CE51	HEALINGIRAQ_20041108.1942.05-CE34
CE1	HEALINGIRAQ_20041108.1942.05-CE35
CE52	HEALINGIRAQ_20041108.1942.05-CE36
CE54	HEALINGIRAQ_20041108.1942.05-CE37
CE55	HEALINGIRAQ_20041108.1942.05-CE38
CE56	HEALINGIRAQ_20041108.1942.05-CE39
CE57	HEALINGIRAQ_20041108.1942.05-CE40
CE58	HEALINGIRAQ_20041108.1942.05-CE41
CE59	HEALINGIRAQ_20041108.1942.05-CE42
CE60	HEALINGIRAQ_20041108.1942.05-CE43
CE37	HEALINGIRAQ_20041108.1942.05-CE44
CE61	HEALINGIRAQ_20041108.1942.05-CE45
CE62	HEALINGIRAQ_20041108.1942.05-CE46
CE63	HEALINGIRAQ_20041108.1942.05-CE47
CE64	HEALINGIRAQ_20041108.1942.05-CE48
CE66	HEALINGIRAQ_20041108.1942.05-CE49
CE67	HEALINGIRAQ_20041108.1942.05-CE50
CE68	HEALINGIRAQ_20041108.1942.05-CE51
CE69	HEALINGIRAQ_20041108.1942.05-CE52
CE70	HEALINGIRAQ_20041108.1942.05-CE53
CE72	HEALINGIRAQ_20041108.1942.05-CE54
CE73	HEALINGIRAQ_20041108.1942.05-CE55
CE74	HEALINGIRAQ_20041108.1942.05-CE56
CE75	HEALINGIRAQ_20041108.1942.05-CE57
CE76	HEALINGIRAQ_20041108.1942.05-CE58
CE13	HEALINGIRAQ_20041108.1942.05-CE59
CE77	HEALINGIRAQ_20041108.1942.05-CE60
CE78	HEALINGIRAQ_20041108.1942.05-CE61
CE79	HEALINGIRAQ_20041108.1942.05-CE62
CE81	HEALINGIRAQ_20041108.1942.05-CE63
CE82	HEALINGIRAQ_20041108.1942.05-CE64
CE83	HEALINGIRAQ_20041108.1942.05-CE65
CE84	HEALINGIRAQ_20041108.1942.05-CE66
CE85	HEALINGIRAQ_20041108.1942.05-CE67
CE86	HEALINGIRAQ_20041108.1942.05-CE68
CE87	HEALINGIRAQ_20041108.1942.05-CE69
CE88	HEALINGIRAQ_20041108.1942.05-CE70
CE89	HEALINGIRAQ_20041108.1942.05-CE71
CE90	HEALINGIRAQ_20041108.1942.05-CE72
CE91	HEALINGIRAQ_20041108.1942.05-CE73
CE92	HEALINGIRAQ_20041108.1942.05-CE74
CE8	HEALINGIRAQ_20041108.1942.05-CE75
CE7	HEALINGIRAQ_20041108.1942.05-CE76
CE93	HEALINGIRAQ_20041108.1942.05-CE77
CE94	HEALINGIRAQ_20041108.1942.05-CE78
CE95	HEALINGIRAQ_20041108.1942.05-CE79
CE43	HEALINGIRAQ_20041108.1942.05-CE80
CE44	HEALINGIRAQ_20041108.1942.05-CE81
CE65	HEALINGIRAQ_20041108.1942.05-CE82
CE14	HEALINGIRAQ_20041108.1942.05-CE83
CE80	HEALINGIRAQ_20041108.1942.05-CE84
CE26	HEALINGIRAQ_20041108.1942.05-CE85
CE19	HEALINGIRAQ_20041108.1942.05-CE86
CE71	HEALINGIRAQ_20041108.1942.05-CE87
CE53	HEALINGIRAQ_20041108.1942.05-CE88
CE3	HEALINGIRAQ_20041108.1942.05-CE89
CE5	HEALINGIRAQ_20041108.1942.05-CE90
CE15	HEALINGIRAQ_20041108.1942.05-CE91
CE16	HEALINGIRAQ_20041108.1942.05-CE92
CE17	HEALINGIRAQ_20041108.1942.05-CE93
CE18	HEALINGIRAQ_20041108.1942.05-CE94
CE20	HEALINGIRAQ_20041108.1942.05-CE95
CE6	HEALINGIRAQ_20041108.1942.05-CE96
E16	HEALINGIRAQ_20041108.1942.05-E1
E17	HEALINGIRAQ_20041108.1942.05-E2
E19	HEALINGIRAQ_20041108.1942.05-E3
E20	HEALINGIRAQ_20041108.1942.05-E4
E21	HEALINGIRAQ_20041108.1942.05-E5
E26	HEALINGIRAQ_20041108.1942.05-E6
E27	HEALINGIRAQ_20041108.1942.05-E7
E28	HEALINGIRAQ_20041108.1942.05-E8
E29	HEALINGIRAQ_20041108.1942.05-E9
E31	HEALINGIRAQ_20041108.1942.05-E10
E32	HEALINGIRAQ_20041108.1942.05-E11
E33	HEALINGIRAQ_20041108.1942.05-E12
E34	HEALINGIRAQ_20041108.1942.05-E13
E35	HEALINGIRAQ_20041108.1942.05-E14
E36	HEALINGIRAQ_20041108.1942.05-E15
E38	HEALINGIRAQ_20041108.1942.05-E16
E40	HEALINGIRAQ_20041108.1942.05-E17
E42	HEALINGIRAQ_20041108.1942.05-E18
E43	HEALINGIRAQ_20041108.1942.05-E19
E44	HEALINGIRAQ_20041108.1942.05-E20
E1	HEALINGIRAQ_20041108.1942.05-E21
E45	HEALINGIRAQ_20041108.1942.05-E22
E46	HEALINGIRAQ_20041108.1942.05-E23
E135	HEALINGIRAQ_20041108.1942.05-E24
E48	HEALINGIRAQ_20041108.1942.05-E25
E136	HEALINGIRAQ_20041108.1942.05-E26
E51	HEALINGIRAQ_20041108.1942.05-E27
E52	HEALINGIRAQ_20041108.1942.05-E28
E53	HEALINGIRAQ_20041108.1942.05-E29
E55	HEALINGIRAQ_20041108.1942.05-E30
E140	HEALINGIRAQ_20041108.1942.05-E31
E56	HEALINGIRAQ_20041108.1942.05-E32
E57	HEALINGIRAQ_20041108.1942.05-E33
E58	HEALINGIRAQ_20041108.1942.05-E34
E59	HEALINGIRAQ_20041108.1942.05-E35
E61	HEALINGIRAQ_20041108.1942.05-E36
E62	HEALINGIRAQ_20041108.1942.05-E37
E63	HEALINGIRAQ_20041108.1942.05-E38
E65	HEALINGIRAQ_20041108.1942.05-E39
E66	HEALINGIRAQ_20041108.1942.05-E40
E67	HEALINGIRAQ_20041108.1942.05-E41
E68	HEALINGIRAQ_20041108.1942.05-E42
E69	HEALINGIRAQ_20041108.1942.05-E43
E70	HEALINGIRAQ_20041108.1942.05-E44
E71	HEALINGIRAQ_20041108.1942.05-E45
E72	HEALINGIRAQ_20041108.1942.05-E46
E73	HEALINGIRAQ_20041108.1942.05-E47
E75	HEALINGIRAQ_20041108.1942.05-E48
E76	HEALINGIRAQ_20041108.1942.05-E49
E78	HEALINGIRAQ_20041108.1942.05-E50
E79	HEALINGIRAQ_20041108.1942.05-E51
E80	HEALINGIRAQ_20041108.1942.05-E52
E81	HEALINGIRAQ_20041108.1942.05-E53
E82	HEALINGIRAQ_20041108.1942.05-E54
E83	HEALINGIRAQ_20041108.1942.05-E55
E84	HEALINGIRAQ_20041108.1942.05-E56
E85	HEALINGIRAQ_20041108.1942.05-E57
E87	HEALINGIRAQ_20041108.1942.05-E58
E88	HEALINGIRAQ_20041108.1942.05-E59
E89	HEALINGIRAQ_20041108.1942.05-E60
E90	HEALINGIRAQ_20041108.1942.05-E61
E91	HEALINGIRAQ_20041108.1942.05-E62
E92	HEALINGIRAQ_20041108.1942.05-E63
E93	HEALINGIRAQ_20041108.1942.05-E64
E94	HEALINGIRAQ_20041108.1942.05-E65
E95	HEALINGIRAQ_20041108.1942.05-E66
E2	HEALINGIRAQ_20041108.1942.05-E67
E96	HEALINGIRAQ_20041108.1942.05-E68
E98	HEALINGIRAQ_20041108.1942.05-E69
E99	HEALINGIRAQ_20041108.1942.05-E70
E100	HEALINGIRAQ_20041108.1942.05-E71
E101	HEALINGIRAQ_20041108.1942.05-E72
E102	HEALINGIRAQ_20041108.1942.05-E73
E103	HEALINGIRAQ_20041108.1942.05-E74
E104	HEALINGIRAQ_20041108.1942.05-E75
E105	HEALINGIRAQ_20041108.1942.05-E76
E106	HEALINGIRAQ_20041108.1942.05-E77
E107	HEALINGIRAQ_20041108.1942.05-E78
E108	HEALINGIRAQ_20041108.1942.05-E79
E109	HEALINGIRAQ_20041108.1942.05-E80
E110	HEALINGIRAQ_20041108.1942.05-E81
E111	HEALINGIRAQ_20041108.1942.05-E82
E112	HEALINGIRAQ_20041108.1942.05-E83
E113	HEALINGIRAQ_20041108.1942.05-E84
E114	HEALINGIRAQ_20041108.1942.05-E85
E115	HEALINGIRAQ_20041108.1942.05-E86
E116	HEALINGIRAQ_20041108.1942.05-E87
E117	HEALINGIRAQ_20041108.1942.05-E88
E118	HEALINGIRAQ_20041108.1942.05-E89
E119	HEALINGIRAQ_20041108.1942.05-E90
E120	HEALINGIRAQ_20041108.1942.05-E91
E121	HEALINGIRAQ_20041108.1942.05-E92
E122	HEALINGIRAQ_20041108.1942.05-E93
E123	HEALINGIRAQ_20041108.1942.05-E94
E125	HEALINGIRAQ_20041108.1942.05-E95
E127	HEALINGIRAQ_20041108.1942.05-E96
E128	HEALINGIRAQ_20041108.1942.05-E97
E129	HEALINGIRAQ_20041108.1942.05-E98
E130	HEALINGIRAQ_20041108.1942.05-E99
E131	HEALINGIRAQ_20041108.1942.05-E100
E132	HEALINGIRAQ_20041108.1942.05-E101
