CE10	OIADVANTAGE_20050110.1009-CE1
CE11	OIADVANTAGE_20050110.1009-CE2
CE13	OIADVANTAGE_20050110.1009-CE3
CE14	OIADVANTAGE_20050110.1009-CE4
CE15	OIADVANTAGE_20050110.1009-CE5
CE6	OIADVANTAGE_20050110.1009-CE6
CE7	OIADVANTAGE_20050110.1009-CE7
CE9	OIADVANTAGE_20050110.1009-CE8
CE1	OIADVANTAGE_20050110.1009-CE9
CE12	OIADVANTAGE_20050110.1009-CE10
CE3	OIADVANTAGE_20050110.1009-CE11
CE4	OIADVANTAGE_20050110.1009-CE12
CE5	OIADVANTAGE_20050110.1009-CE13
CE8	OIADVANTAGE_20050110.1009-CE14
CE16	OIADVANTAGE_20050110.1009-CE15
CE2	OIADVANTAGE_20050110.1009-CE16
E8	OIADVANTAGE_20050110.1009-E1
E11	OIADVANTAGE_20050110.1009-E2
E13	OIADVANTAGE_20050110.1009-E3
E14	OIADVANTAGE_20050110.1009-E4
E15	OIADVANTAGE_20050110.1009-E5
E21	OIADVANTAGE_20050110.1009-E6
E23	OIADVANTAGE_20050110.1009-E7
E33	OIADVANTAGE_20050110.1009-E8
E34	OIADVANTAGE_20050110.1009-E9
E35	OIADVANTAGE_20050110.1009-E10
E1	OIADVANTAGE_20050110.1009-E11
E2	OIADVANTAGE_20050110.1009-E12
E3	OIADVANTAGE_20050110.1009-E13
E4	OIADVANTAGE_20050110.1009-E14
E19	OIADVANTAGE_20050110.1009-E15
E17	OIADVANTAGE_20050110.1009-E16
E7	OIADVANTAGE_20050110.1009-E17
EM26	OIADVANTAGE_20050110.1009-E11-1
EM27	OIADVANTAGE_20050110.1009-E1-2
EM28	OIADVANTAGE_20050110.1009-E11-3
EM29	OIADVANTAGE_20050110.1009-E1-4
EM32	OIADVANTAGE_20050110.1009-E12-5
EM33	OIADVANTAGE_20050110.1009-E2-6
EM34	OIADVANTAGE_20050110.1009-E11-7
EM37	OIADVANTAGE_20050110.1009-E3-8
EM38	OIADVANTAGE_20050110.1009-E4-9
EM39	OIADVANTAGE_20050110.1009-E5-10
EM40	OIADVANTAGE_20050110.1009-E5-11
EM41	OIADVANTAGE_20050110.1009-E5-12
EM44	OIADVANTAGE_20050110.1009-E5-13
EM15	OIADVANTAGE_20050110.1009-E6-14
EM23	OIADVANTAGE_20050110.1009-E7-15
EM1	OIADVANTAGE_20050110.1009-E11-16
EM4	OIADVANTAGE_20050110.1009-E12-17
EM42	OIADVANTAGE_20050110.1009-E5-18
EM45	OIADVANTAGE_20050110.1009-E5-19
EM46	OIADVANTAGE_20050110.1009-E5-20
EM47	OIADVANTAGE_20050110.1009-E5-21
EM30	OIADVANTAGE_20050110.1009-E8-22
EM10	OIADVANTAGE_20050110.1009-E15-23
EM12	OIADVANTAGE_20050110.1009-E15-24
EM13	OIADVANTAGE_20050110.1009-E15-25
EM24	OIADVANTAGE_20050110.1009-E9-26
EM31	OIADVANTAGE_20050110.1009-E7-27
EM22	OIADVANTAGE_20050110.1009-E7-28
EM36	OIADVANTAGE_20050110.1009-E3-29
EM35	OIADVANTAGE_20050110.1009-E10-30
EM2	OIADVANTAGE_20050110.1009-E12-31
EM3	OIADVANTAGE_20050110.1009-E12-32
EM5	OIADVANTAGE_20050110.1009-E12-33
EM6	OIADVANTAGE_20050110.1009-E12-34
EM7	OIADVANTAGE_20050110.1009-E13-35
EM8	OIADVANTAGE_20050110.1009-E13-36
EM9	OIADVANTAGE_20050110.1009-E15-37
EM11	OIADVANTAGE_20050110.1009-E13-38
EM14	OIADVANTAGE_20050110.1009-E13-39
EM16	OIADVANTAGE_20050110.1009-E13-40
EM43	OIADVANTAGE_20050110.1009-E16-41
EM18	OIADVANTAGE_20050110.1009-E14-42
EM17	OIADVANTAGE_20050110.1009-E17-43
EM19	OIADVANTAGE_20050110.1009-E13-44
EM20	OIADVANTAGE_20050110.1009-E12-45
EM21	OIADVANTAGE_20050110.1009-E12-46
EM25	OIADVANTAGE_20050110.1009-E13-47
R1	OIADVANTAGE_20050110.1009-R1
RM1	OIADVANTAGE_20050110.1009-R1-1
V1	OIADVANTAGE_20050110.1009-EV1
VM1	OIADVANTAGE_20050110.1009-EV1-1
Q1	OIADVANTAGE_20050110.1009-T1
Q6	OIADVANTAGE_20050110.1009-T2
Q7	OIADVANTAGE_20050110.1009-T3
Q8	OIADVANTAGE_20050110.1009-T4
Q13	OIADVANTAGE_20050110.1009-T5
Q2	OIADVANTAGE_20050110.1009-T6
Q5	OIADVANTAGE_20050110.1009-T7
Q3	OIADVANTAGE_20050110.1009-T8
Q4	OIADVANTAGE_20050110.1009-T9
Q9	OIADVANTAGE_20050110.1009-T10
Q10	OIADVANTAGE_20050110.1009-T11
Q11	OIADVANTAGE_20050110.1009-T12
Q12	OIADVANTAGE_20050110.1009-T13
