CE14	AGGRESSIVEVOICEDAILY_20050125.0136-CE1
CE15	AGGRESSIVEVOICEDAILY_20050125.0136-CE2
CE16	AGGRESSIVEVOICEDAILY_20050125.0136-CE3
CE17	AGGRESSIVEVOICEDAILY_20050125.0136-CE4
CE18	AGGRESSIVEVOICEDAILY_20050125.0136-CE5
CE19	AGGRESSIVEVOICEDAILY_20050125.0136-CE6
CE20	AGGRESSIVEVOICEDAILY_20050125.0136-CE7
CE1	AGGRESSIVEVOICEDAILY_20050125.0136-CE8
CE2	AGGRESSIVEVOICEDAILY_20050125.0136-CE9
CE3	AGGRESSIVEVOICEDAILY_20050125.0136-CE10
CE4	AGGRESSIVEVOICEDAILY_20050125.0136-CE11
CE5	AGGRESSIVEVOICEDAILY_20050125.0136-CE12
CE6	AGGRESSIVEVOICEDAILY_20050125.0136-CE13
CE7	AGGRESSIVEVOICEDAILY_20050125.0136-CE14
CE8	AGGRESSIVEVOICEDAILY_20050125.0136-CE15
CE9	AGGRESSIVEVOICEDAILY_20050125.0136-CE16
CE10	AGGRESSIVEVOICEDAILY_20050125.0136-CE17
CE11	AGGRESSIVEVOICEDAILY_20050125.0136-CE18
CE12	AGGRESSIVEVOICEDAILY_20050125.0136-CE19
CE13	AGGRESSIVEVOICEDAILY_20050125.0136-CE20
E15	AGGRESSIVEVOICEDAILY_20050125.0136-E1
E16	AGGRESSIVEVOICEDAILY_20050125.0136-E2
E17	AGGRESSIVEVOICEDAILY_20050125.0136-E3
E18	AGGRESSIVEVOICEDAILY_20050125.0136-E4
E19	AGGRESSIVEVOICEDAILY_20050125.0136-E5
E21	AGGRESSIVEVOICEDAILY_20050125.0136-E6
E22	AGGRESSIVEVOICEDAILY_20050125.0136-E7
E1	AGGRESSIVEVOICEDAILY_20050125.0136-E8
E2	AGGRESSIVEVOICEDAILY_20050125.0136-E9
E3	AGGRESSIVEVOICEDAILY_20050125.0136-E10
E4	AGGRESSIVEVOICEDAILY_20050125.0136-E11
E5	AGGRESSIVEVOICEDAILY_20050125.0136-E12
E6	AGGRESSIVEVOICEDAILY_20050125.0136-E13
E7	AGGRESSIVEVOICEDAILY_20050125.0136-E14
E8	AGGRESSIVEVOICEDAILY_20050125.0136-E15
E9	AGGRESSIVEVOICEDAILY_20050125.0136-E16
E10	AGGRESSIVEVOICEDAILY_20050125.0136-E17
E11	AGGRESSIVEVOICEDAILY_20050125.0136-E18
E12	AGGRESSIVEVOICEDAILY_20050125.0136-E19
E13	AGGRESSIVEVOICEDAILY_20050125.0136-E20
E14	AGGRESSIVEVOICEDAILY_20050125.0136-E21
EM1	AGGRESSIVEVOICEDAILY_20050125.0136-E8-1
EM17	AGGRESSIVEVOICEDAILY_20050125.0136-E1-2
EM18	AGGRESSIVEVOICEDAILY_20050125.0136-E2-3
EM19	AGGRESSIVEVOICEDAILY_20050125.0136-E3-4
EM20	AGGRESSIVEVOICEDAILY_20050125.0136-E4-5
EM21	AGGRESSIVEVOICEDAILY_20050125.0136-E5-6
EM22	AGGRESSIVEVOICEDAILY_20050125.0136-E6-7
EM23	AGGRESSIVEVOICEDAILY_20050125.0136-E7-8
EM2	AGGRESSIVEVOICEDAILY_20050125.0136-E9-9
EM3	AGGRESSIVEVOICEDAILY_20050125.0136-E10-10
EM4	AGGRESSIVEVOICEDAILY_20050125.0136-E11-11
EM5	AGGRESSIVEVOICEDAILY_20050125.0136-E12-12
EM6	AGGRESSIVEVOICEDAILY_20050125.0136-E13-13
EM7	AGGRESSIVEVOICEDAILY_20050125.0136-E14-14
EM8	AGGRESSIVEVOICEDAILY_20050125.0136-E15-15
EM9	AGGRESSIVEVOICEDAILY_20050125.0136-E16-16
EM10	AGGRESSIVEVOICEDAILY_20050125.0136-E16-17
EM11	AGGRESSIVEVOICEDAILY_20050125.0136-E17-18
EM12	AGGRESSIVEVOICEDAILY_20050125.0136-E18-19
EM13	AGGRESSIVEVOICEDAILY_20050125.0136-E19-20
EM14	AGGRESSIVEVOICEDAILY_20050125.0136-E20-21
EM15	AGGRESSIVEVOICEDAILY_20050125.0136-E21-22
EM16	AGGRESSIVEVOICEDAILY_20050125.0136-E1-23
R1	AGGRESSIVEVOICEDAILY_20050125.0136-R1
R2	AGGRESSIVEVOICEDAILY_20050125.0136-R2
R3	AGGRESSIVEVOICEDAILY_20050125.0136-R3
RM1	AGGRESSIVEVOICEDAILY_20050125.0136-R1-1
RM2	AGGRESSIVEVOICEDAILY_20050125.0136-R2-1
RM3	AGGRESSIVEVOICEDAILY_20050125.0136-R3-1
Q1	AGGRESSIVEVOICEDAILY_20050125.0136-T1
Q2	AGGRESSIVEVOICEDAILY_20050125.0136-T2
Q3	AGGRESSIVEVOICEDAILY_20050125.0136-T3
Q4	AGGRESSIVEVOICEDAILY_20050125.0136-V1
QM4	AGGRESSIVEVOICEDAILY_20050125.0136-V1-1
