CE10	GETTINGPOLITICAL_20050105.0127.001-CE1
CE11	GETTINGPOLITICAL_20050105.0127.001-CE2
CE12	GETTINGPOLITICAL_20050105.0127.001-CE3
CE13	GETTINGPOLITICAL_20050105.0127.001-CE4
CE14	GETTINGPOLITICAL_20050105.0127.001-CE5
CE15	GETTINGPOLITICAL_20050105.0127.001-CE6
CE16	GETTINGPOLITICAL_20050105.0127.001-CE7
CE17	GETTINGPOLITICAL_20050105.0127.001-CE8
CE18	GETTINGPOLITICAL_20050105.0127.001-CE9
CE19	GETTINGPOLITICAL_20050105.0127.001-CE10
CE20	GETTINGPOLITICAL_20050105.0127.001-CE11
CE21	GETTINGPOLITICAL_20050105.0127.001-CE12
CE22	GETTINGPOLITICAL_20050105.0127.001-CE13
CE23	GETTINGPOLITICAL_20050105.0127.001-CE14
CE24	GETTINGPOLITICAL_20050105.0127.001-CE15
CE25	GETTINGPOLITICAL_20050105.0127.001-CE16
CE26	GETTINGPOLITICAL_20050105.0127.001-CE17
CE27	GETTINGPOLITICAL_20050105.0127.001-CE18
CE28	GETTINGPOLITICAL_20050105.0127.001-CE19
CE29	GETTINGPOLITICAL_20050105.0127.001-CE20
CE30	GETTINGPOLITICAL_20050105.0127.001-CE21
CE31	GETTINGPOLITICAL_20050105.0127.001-CE22
CE32	GETTINGPOLITICAL_20050105.0127.001-CE23
CE1	GETTINGPOLITICAL_20050105.0127.001-CE24
CE33	GETTINGPOLITICAL_20050105.0127.001-CE25
CE35	GETTINGPOLITICAL_20050105.0127.001-CE26
CE2	GETTINGPOLITICAL_20050105.0127.001-CE27
CE4	GETTINGPOLITICAL_20050105.0127.001-CE28
CE5	GETTINGPOLITICAL_20050105.0127.001-CE29
CE6	GETTINGPOLITICAL_20050105.0127.001-CE30
CE7	GETTINGPOLITICAL_20050105.0127.001-CE31
CE8	GETTINGPOLITICAL_20050105.0127.001-CE32
CE9	GETTINGPOLITICAL_20050105.0127.001-CE33
E12	GETTINGPOLITICAL_20050105.0127.001-E1
E13	GETTINGPOLITICAL_20050105.0127.001-E2
E14	GETTINGPOLITICAL_20050105.0127.001-E3
E15	GETTINGPOLITICAL_20050105.0127.001-E4
E16	GETTINGPOLITICAL_20050105.0127.001-E5
E17	GETTINGPOLITICAL_20050105.0127.001-E6
E18	GETTINGPOLITICAL_20050105.0127.001-E7
E19	GETTINGPOLITICAL_20050105.0127.001-E8
E20	GETTINGPOLITICAL_20050105.0127.001-E9
E21	GETTINGPOLITICAL_20050105.0127.001-E10
E22	GETTINGPOLITICAL_20050105.0127.001-E11
E23	GETTINGPOLITICAL_20050105.0127.001-E12
E24	GETTINGPOLITICAL_20050105.0127.001-E13
E25	GETTINGPOLITICAL_20050105.0127.001-E14
E26	GETTINGPOLITICAL_20050105.0127.001-E15
E27	GETTINGPOLITICAL_20050105.0127.001-E16
E28	GETTINGPOLITICAL_20050105.0127.001-E17
E30	GETTINGPOLITICAL_20050105.0127.001-E18
E1	GETTINGPOLITICAL_20050105.0127.001-E19
E31	GETTINGPOLITICAL_20050105.0127.001-E20
E32	GETTINGPOLITICAL_20050105.0127.001-E21
