CE9	OIADVANTAGE_20050103.0944-CE1
CE10	OIADVANTAGE_20050103.0944-CE2
CE11	OIADVANTAGE_20050103.0944-CE3
CE12	OIADVANTAGE_20050103.0944-CE4
CE13	OIADVANTAGE_20050103.0944-CE5
CE14	OIADVANTAGE_20050103.0944-CE6
CE15	OIADVANTAGE_20050103.0944-CE7
CE16	OIADVANTAGE_20050103.0944-CE8
CE17	OIADVANTAGE_20050103.0944-CE9
CE18	OIADVANTAGE_20050103.0944-CE10
CE19	OIADVANTAGE_20050103.0944-CE11
CE20	OIADVANTAGE_20050103.0944-CE12
CE21	OIADVANTAGE_20050103.0944-CE13
CE1	OIADVANTAGE_20050103.0944-CE14
CE2	OIADVANTAGE_20050103.0944-CE15
CE3	OIADVANTAGE_20050103.0944-CE16
CE4	OIADVANTAGE_20050103.0944-CE17
CE5	OIADVANTAGE_20050103.0944-CE18
CE6	OIADVANTAGE_20050103.0944-CE19
CE7	OIADVANTAGE_20050103.0944-CE20
CE8	OIADVANTAGE_20050103.0944-CE21
E12	OIADVANTAGE_20050103.0944-E1
E13	OIADVANTAGE_20050103.0944-E2
E14	OIADVANTAGE_20050103.0944-E3
E15	OIADVANTAGE_20050103.0944-E4
E16	OIADVANTAGE_20050103.0944-E5
E17	OIADVANTAGE_20050103.0944-E6
E18	OIADVANTAGE_20050103.0944-E7
E19	OIADVANTAGE_20050103.0944-E8
E20	OIADVANTAGE_20050103.0944-E9
E21	OIADVANTAGE_20050103.0944-E10
E22	OIADVANTAGE_20050103.0944-E11
E23	OIADVANTAGE_20050103.0944-E12
E24	OIADVANTAGE_20050103.0944-E13
E25	OIADVANTAGE_20050103.0944-E14
E26	OIADVANTAGE_20050103.0944-E15
E27	OIADVANTAGE_20050103.0944-E16
E1	OIADVANTAGE_20050103.0944-E17
E2	OIADVANTAGE_20050103.0944-E18
E3	OIADVANTAGE_20050103.0944-E19
E4	OIADVANTAGE_20050103.0944-E20
E5	OIADVANTAGE_20050103.0944-E21
E6	OIADVANTAGE_20050103.0944-E22
E7	OIADVANTAGE_20050103.0944-E23
E8	OIADVANTAGE_20050103.0944-E24
E9	OIADVANTAGE_20050103.0944-E25
E10	OIADVANTAGE_20050103.0944-E26
E11	OIADVANTAGE_20050103.0944-E27
EM1	OIADVANTAGE_20050103.0944-E17-1
EM20	OIADVANTAGE_20050103.0944-E21-2
EM21	OIADVANTAGE_20050103.0944-E27-3
EM22	OIADVANTAGE_20050103.0944-E1-4
EM23	OIADVANTAGE_20050103.0944-E2-5
EM24	OIADVANTAGE_20050103.0944-E3-6
EM25	OIADVANTAGE_20050103.0944-E21-7
EM26	OIADVANTAGE_20050103.0944-E4-8
EM27	OIADVANTAGE_20050103.0944-E5-9
EM28	OIADVANTAGE_20050103.0944-E6-10
EM29	OIADVANTAGE_20050103.0944-E7-11
EM30	OIADVANTAGE_20050103.0944-E8-12
EM31	OIADVANTAGE_20050103.0944-E4-13
EM32	OIADVANTAGE_20050103.0944-E3-14
EM33	OIADVANTAGE_20050103.0944-E3-15
EM34	OIADVANTAGE_20050103.0944-E9-16
EM35	OIADVANTAGE_20050103.0944-E2-17
EM36	OIADVANTAGE_20050103.0944-E4-18
EM37	OIADVANTAGE_20050103.0944-E10-19
EM38	OIADVANTAGE_20050103.0944-E11-20
EM39	OIADVANTAGE_20050103.0944-E9-21
EM40	OIADVANTAGE_20050103.0944-E1-22
EM41	OIADVANTAGE_20050103.0944-E12-23
EM42	OIADVANTAGE_20050103.0944-E13-24
EM43	OIADVANTAGE_20050103.0944-E3-25
EM44	OIADVANTAGE_20050103.0944-E10-26
EM45	OIADVANTAGE_20050103.0944-E14-27
EM46	OIADVANTAGE_20050103.0944-E9-28
EM47	OIADVANTAGE_20050103.0944-E4-29
EM48	OIADVANTAGE_20050103.0944-E1-30
EM49	OIADVANTAGE_20050103.0944-E15-31
EM50	OIADVANTAGE_20050103.0944-E1-32
EM51	OIADVANTAGE_20050103.0944-E3-33
EM52	OIADVANTAGE_20050103.0944-E16-34
EM53	OIADVANTAGE_20050103.0944-E1-35
EM54	OIADVANTAGE_20050103.0944-E3-36
EM55	OIADVANTAGE_20050103.0944-E16-37
EM56	OIADVANTAGE_20050103.0944-E1-38
EM2	OIADVANTAGE_20050103.0944-E18-39
EM3	OIADVANTAGE_20050103.0944-E19-40
EM4	OIADVANTAGE_20050103.0944-E20-41
EM5	OIADVANTAGE_20050103.0944-E18-42
EM6	OIADVANTAGE_20050103.0944-E21-43
EM7	OIADVANTAGE_20050103.0944-E21-44
EM8	OIADVANTAGE_20050103.0944-E21-45
EM9	OIADVANTAGE_20050103.0944-E22-46
EM10	OIADVANTAGE_20050103.0944-E22-47
EM11	OIADVANTAGE_20050103.0944-E18-48
EM12	OIADVANTAGE_20050103.0944-E21-49
EM57	OIADVANTAGE_20050103.0944-E3-50
EM13	OIADVANTAGE_20050103.0944-E23-51
EM14	OIADVANTAGE_20050103.0944-E24-52
EM15	OIADVANTAGE_20050103.0944-E25-53
EM16	OIADVANTAGE_20050103.0944-E23-54
EM17	OIADVANTAGE_20050103.0944-E26-55
EM18	OIADVANTAGE_20050103.0944-E27-56
EM19	OIADVANTAGE_20050103.0944-E21-57
R1	OIADVANTAGE_20050103.0944-R1
R2	OIADVANTAGE_20050103.0944-R2
R3	OIADVANTAGE_20050103.0944-R3
R4	OIADVANTAGE_20050103.0944-R4
R6	OIADVANTAGE_20050103.0944-R5
R9	OIADVANTAGE_20050103.0944-R6
R10	OIADVANTAGE_20050103.0944-R7
R11	OIADVANTAGE_20050103.0944-R8
RM1	OIADVANTAGE_20050103.0944-R1-1
RM2	OIADVANTAGE_20050103.0944-R2-1
RM3	OIADVANTAGE_20050103.0944-R3-1
RM4	OIADVANTAGE_20050103.0944-R4-1
RM6	OIADVANTAGE_20050103.0944-R5-1
RM9	OIADVANTAGE_20050103.0944-R6-1
RM10	OIADVANTAGE_20050103.0944-R7-1
RM11	OIADVANTAGE_20050103.0944-R8-1
V2	OIADVANTAGE_20050103.0944-EV1
V3	OIADVANTAGE_20050103.0944-EV2
V4	OIADVANTAGE_20050103.0944-EV3
V5	OIADVANTAGE_20050103.0944-EV4
VM2	OIADVANTAGE_20050103.0944-EV1-1
VM3	OIADVANTAGE_20050103.0944-EV2-1
VM4	OIADVANTAGE_20050103.0944-EV3-1
VM5	OIADVANTAGE_20050103.0944-EV4-1
Q1	OIADVANTAGE_20050103.0944-T1
Q2	OIADVANTAGE_20050103.0944-T2
Q3	OIADVANTAGE_20050103.0944-T3
Q4	OIADVANTAGE_20050103.0944-V1
Q5	OIADVANTAGE_20050103.0944-V2
Q6	OIADVANTAGE_20050103.0944-V3
QM4	OIADVANTAGE_20050103.0944-V1-1
QM5	OIADVANTAGE_20050103.0944-V2-1
QM6	OIADVANTAGE_20050103.0944-V3-1
