CE8	TTRACY_20050223.1049-CE1
CE9	TTRACY_20050223.1049-CE2
CE10	TTRACY_20050223.1049-CE3
CE11	TTRACY_20050223.1049-CE4
CE12	TTRACY_20050223.1049-CE5
CE13	TTRACY_20050223.1049-CE6
CE15	TTRACY_20050223.1049-CE7
CE16	TTRACY_20050223.1049-CE8
CE17	TTRACY_20050223.1049-CE9
CE18	TTRACY_20050223.1049-CE10
CE19	TTRACY_20050223.1049-CE11
CE20	TTRACY_20050223.1049-CE12
CE21	TTRACY_20050223.1049-CE13
CE22	TTRACY_20050223.1049-CE14
CE23	TTRACY_20050223.1049-CE15
CE24	TTRACY_20050223.1049-CE16
CE1	TTRACY_20050223.1049-CE17
CE25	TTRACY_20050223.1049-CE18
CE26	TTRACY_20050223.1049-CE19
CE27	TTRACY_20050223.1049-CE20
CE28	TTRACY_20050223.1049-CE21
CE29	TTRACY_20050223.1049-CE22
CE30	TTRACY_20050223.1049-CE23
CE31	TTRACY_20050223.1049-CE24
CE32	TTRACY_20050223.1049-CE25
CE2	TTRACY_20050223.1049-CE26
CE3	TTRACY_20050223.1049-CE27
CE4	TTRACY_20050223.1049-CE28
CE5	TTRACY_20050223.1049-CE29
CE6	TTRACY_20050223.1049-CE30
CE7	TTRACY_20050223.1049-CE31
E9	TTRACY_20050223.1049-E1
E11	TTRACY_20050223.1049-E2
E12	TTRACY_20050223.1049-E3
E13	TTRACY_20050223.1049-E4
E14	TTRACY_20050223.1049-E5
E17	TTRACY_20050223.1049-E6
E18	TTRACY_20050223.1049-E7
E1	TTRACY_20050223.1049-E8
E19	TTRACY_20050223.1049-E9
E20	TTRACY_20050223.1049-E10
E21	TTRACY_20050223.1049-E11
E22	TTRACY_20050223.1049-E12
E23	TTRACY_20050223.1049-E13
E24	TTRACY_20050223.1049-E14
E25	TTRACY_20050223.1049-E15
E26	TTRACY_20050223.1049-E16
E27	TTRACY_20050223.1049-E17
E28	TTRACY_20050223.1049-E18
E29	TTRACY_20050223.1049-E19
E30	TTRACY_20050223.1049-E20
E39	TTRACY_20050223.1049-E21
E31	TTRACY_20050223.1049-E22
E32	TTRACY_20050223.1049-E23
E33	TTRACY_20050223.1049-E24
E34	TTRACY_20050223.1049-E25
E35	TTRACY_20050223.1049-E26
E36	TTRACY_20050223.1049-E27
E37	TTRACY_20050223.1049-E28
E38	TTRACY_20050223.1049-E29
E2	TTRACY_20050223.1049-E30
E3	TTRACY_20050223.1049-E31
E4	TTRACY_20050223.1049-E32
E5	TTRACY_20050223.1049-E33
E6	TTRACY_20050223.1049-E34
E7	TTRACY_20050223.1049-E35
E8	TTRACY_20050223.1049-E36
EM1	TTRACY_20050223.1049-E8-1
EM23	TTRACY_20050223.1049-E8-2
EM24	TTRACY_20050223.1049-E1-3
EM25	TTRACY_20050223.1049-E2-4
EM26	TTRACY_20050223.1049-E8-5
EM107	TTRACY_20050223.1049-E8-6
EM28	TTRACY_20050223.1049-E3-7
EM27	TTRACY_20050223.1049-E8-8
EM29	TTRACY_20050223.1049-E8-9
EM30	TTRACY_20050223.1049-E8-10
EM31	TTRACY_20050223.1049-E8-11
EM32	TTRACY_20050223.1049-E8-12
EM33	TTRACY_20050223.1049-E8-13
EM34	TTRACY_20050223.1049-E8-14
