CE3	HEALINGIRAQ_20041225.1330.02-CE1
CE4	HEALINGIRAQ_20041225.1330.02-CE2
CE5	HEALINGIRAQ_20041225.1330.02-CE3
CE6	HEALINGIRAQ_20041225.1330.02-CE4
CE7	HEALINGIRAQ_20041225.1330.02-CE5
CE8	HEALINGIRAQ_20041225.1330.02-CE6
CE9	HEALINGIRAQ_20041225.1330.02-CE7
CE10	HEALINGIRAQ_20041225.1330.02-CE8
CE11	HEALINGIRAQ_20041225.1330.02-CE9
CE12	HEALINGIRAQ_20041225.1330.02-CE10
CE13	HEALINGIRAQ_20041225.1330.02-CE11
CE14	HEALINGIRAQ_20041225.1330.02-CE12
CE15	HEALINGIRAQ_20041225.1330.02-CE13
CE16	HEALINGIRAQ_20041225.1330.02-CE14
CE17	HEALINGIRAQ_20041225.1330.02-CE15
CE18	HEALINGIRAQ_20041225.1330.02-CE16
CE19	HEALINGIRAQ_20041225.1330.02-CE17
CE20	HEALINGIRAQ_20041225.1330.02-CE18
CE21	HEALINGIRAQ_20041225.1330.02-CE19
CE22	HEALINGIRAQ_20041225.1330.02-CE20
CE23	HEALINGIRAQ_20041225.1330.02-CE21
CE24	HEALINGIRAQ_20041225.1330.02-CE22
CE25	HEALINGIRAQ_20041225.1330.02-CE23
CE26	HEALINGIRAQ_20041225.1330.02-CE24
CE27	HEALINGIRAQ_20041225.1330.02-CE25
CE28	HEALINGIRAQ_20041225.1330.02-CE26
CE29	HEALINGIRAQ_20041225.1330.02-CE27
CE30	HEALINGIRAQ_20041225.1330.02-CE28
CE31	HEALINGIRAQ_20041225.1330.02-CE29
CE32	HEALINGIRAQ_20041225.1330.02-CE30
CE33	HEALINGIRAQ_20041225.1330.02-CE31
CE147	HEALINGIRAQ_20041225.1330.02-CE32
CE34	HEALINGIRAQ_20041225.1330.02-CE33
CE35	HEALINGIRAQ_20041225.1330.02-CE34
CE36	HEALINGIRAQ_20041225.1330.02-CE35
CE37	HEALINGIRAQ_20041225.1330.02-CE36
CE38	HEALINGIRAQ_20041225.1330.02-CE37
CE39	HEALINGIRAQ_20041225.1330.02-CE38
CE40	HEALINGIRAQ_20041225.1330.02-CE39
CE41	HEALINGIRAQ_20041225.1330.02-CE40
CE42	HEALINGIRAQ_20041225.1330.02-CE41
CE43	HEALINGIRAQ_20041225.1330.02-CE42
CE44	HEALINGIRAQ_20041225.1330.02-CE43
CE45	HEALINGIRAQ_20041225.1330.02-CE44
CE46	HEALINGIRAQ_20041225.1330.02-CE45
CE47	HEALINGIRAQ_20041225.1330.02-CE46
CE48	HEALINGIRAQ_20041225.1330.02-CE47
CE49	HEALINGIRAQ_20041225.1330.02-CE48
CE50	HEALINGIRAQ_20041225.1330.02-CE49
CE51	HEALINGIRAQ_20041225.1330.02-CE50
CE52	HEALINGIRAQ_20041225.1330.02-CE51
CE53	HEALINGIRAQ_20041225.1330.02-CE52
CE54	HEALINGIRAQ_20041225.1330.02-CE53
CE55	HEALINGIRAQ_20041225.1330.02-CE54
CE56	HEALINGIRAQ_20041225.1330.02-CE55
CE57	HEALINGIRAQ_20041225.1330.02-CE56
CE58	HEALINGIRAQ_20041225.1330.02-CE57
CE59	HEALINGIRAQ_20041225.1330.02-CE58
CE60	HEALINGIRAQ_20041225.1330.02-CE59
CE61	HEALINGIRAQ_20041225.1330.02-CE60
CE62	HEALINGIRAQ_20041225.1330.02-CE61
CE63	HEALINGIRAQ_20041225.1330.02-CE62
CE64	HEALINGIRAQ_20041225.1330.02-CE63
CE65	HEALINGIRAQ_20041225.1330.02-CE64
CE148	HEALINGIRAQ_20041225.1330.02-CE65
CE67	HEALINGIRAQ_20041225.1330.02-CE66
