CE1	FLOPPINGACES_20050217.1237.014-CE1
CE30	FLOPPINGACES_20050217.1237.014-CE2
CE31	FLOPPINGACES_20050217.1237.014-CE3
CE51	FLOPPINGACES_20050217.1237.014-CE4
CE3	FLOPPINGACES_20050217.1237.014-CE5
CE13	FLOPPINGACES_20050217.1237.014-CE6
CE14	FLOPPINGACES_20050217.1237.014-CE7
CE16	FLOPPINGACES_20050217.1237.014-CE8
CE15	FLOPPINGACES_20050217.1237.014-CE9
CE19	FLOPPINGACES_20050217.1237.014-CE10
CE21	FLOPPINGACES_20050217.1237.014-CE11
CE20	FLOPPINGACES_20050217.1237.014-CE12
CE22	FLOPPINGACES_20050217.1237.014-CE13
CE5	FLOPPINGACES_20050217.1237.014-CE14
CE24	FLOPPINGACES_20050217.1237.014-CE15
CE25	FLOPPINGACES_20050217.1237.014-CE16
CE26	FLOPPINGACES_20050217.1237.014-CE17
CE27	FLOPPINGACES_20050217.1237.014-CE18
CE28	FLOPPINGACES_20050217.1237.014-CE19
CE29	FLOPPINGACES_20050217.1237.014-CE20
CE2	FLOPPINGACES_20050217.1237.014-CE21
CE32	FLOPPINGACES_20050217.1237.014-CE22
CE33	FLOPPINGACES_20050217.1237.014-CE23
CE34	FLOPPINGACES_20050217.1237.014-CE24
CE35	FLOPPINGACES_20050217.1237.014-CE25
CE36	FLOPPINGACES_20050217.1237.014-CE26
CE37	FLOPPINGACES_20050217.1237.014-CE27
CE38	FLOPPINGACES_20050217.1237.014-CE28
CE39	FLOPPINGACES_20050217.1237.014-CE29
CE40	FLOPPINGACES_20050217.1237.014-CE30
CE41	FLOPPINGACES_20050217.1237.014-CE31
CE42	FLOPPINGACES_20050217.1237.014-CE32
CE43	FLOPPINGACES_20050217.1237.014-CE33
CE44	FLOPPINGACES_20050217.1237.014-CE34
CE45	FLOPPINGACES_20050217.1237.014-CE35
CE47	FLOPPINGACES_20050217.1237.014-CE36
CE18	FLOPPINGACES_20050217.1237.014-CE37
CE48	FLOPPINGACES_20050217.1237.014-CE38
CE49	FLOPPINGACES_20050217.1237.014-CE39
CE50	FLOPPINGACES_20050217.1237.014-CE40
CE23	FLOPPINGACES_20050217.1237.014-CE41
CE46	FLOPPINGACES_20050217.1237.014-CE42
CE4	FLOPPINGACES_20050217.1237.014-CE43
CE6	FLOPPINGACES_20050217.1237.014-CE44
CE7	FLOPPINGACES_20050217.1237.014-CE45
CE8	FLOPPINGACES_20050217.1237.014-CE46
CE9	FLOPPINGACES_20050217.1237.014-CE47
CE10	FLOPPINGACES_20050217.1237.014-CE48
CE17	FLOPPINGACES_20050217.1237.014-CE49
CE11	FLOPPINGACES_20050217.1237.014-CE50
CE12	FLOPPINGACES_20050217.1237.014-CE51
E15	FLOPPINGACES_20050217.1237.014-E1
E16	FLOPPINGACES_20050217.1237.014-E2
E17	FLOPPINGACES_20050217.1237.014-E3
E18	FLOPPINGACES_20050217.1237.014-E4
E21	FLOPPINGACES_20050217.1237.014-E5
E22	FLOPPINGACES_20050217.1237.014-E6
E23	FLOPPINGACES_20050217.1237.014-E7
E24	FLOPPINGACES_20050217.1237.014-E8
E25	FLOPPINGACES_20050217.1237.014-E9
E26	FLOPPINGACES_20050217.1237.014-E10
E27	FLOPPINGACES_20050217.1237.014-E11
E28	FLOPPINGACES_20050217.1237.014-E12
E29	FLOPPINGACES_20050217.1237.014-E13
E30	FLOPPINGACES_20050217.1237.014-E14
E109	FLOPPINGACES_20050217.1237.014-E15
E32	FLOPPINGACES_20050217.1237.014-E16
E33	FLOPPINGACES_20050217.1237.014-E17
E35	FLOPPINGACES_20050217.1237.014-E18
E36	FLOPPINGACES_20050217.1237.014-E19
E37	FLOPPINGACES_20050217.1237.014-E20
