CE10	MARKBACKER_20041117.0723-CE1
CE11	MARKBACKER_20041117.0723-CE2
CE12	MARKBACKER_20041117.0723-CE3
CE13	MARKBACKER_20041117.0723-CE4
CE14	MARKBACKER_20041117.0723-CE5
CE5	MARKBACKER_20041117.0723-CE6
CE1	MARKBACKER_20041117.0723-CE7
CE2	MARKBACKER_20041117.0723-CE8
CE3	MARKBACKER_20041117.0723-CE9
CE4	MARKBACKER_20041117.0723-CE10
CE6	MARKBACKER_20041117.0723-CE11
CE7	MARKBACKER_20041117.0723-CE12
CE8	MARKBACKER_20041117.0723-CE13
CE9	MARKBACKER_20041117.0723-CE14
E13	MARKBACKER_20041117.0723-E1
E14	MARKBACKER_20041117.0723-E2
E15	MARKBACKER_20041117.0723-E3
E16	MARKBACKER_20041117.0723-E4
E17	MARKBACKER_20041117.0723-E5
E18	MARKBACKER_20041117.0723-E6
E19	MARKBACKER_20041117.0723-E7
E27	MARKBACKER_20041117.0723-E8
E21	MARKBACKER_20041117.0723-E9
E1	MARKBACKER_20041117.0723-E10
E2	MARKBACKER_20041117.0723-E11
E3	MARKBACKER_20041117.0723-E12
E4	MARKBACKER_20041117.0723-E13
E25	MARKBACKER_20041117.0723-E14
E7	MARKBACKER_20041117.0723-E15
E8	MARKBACKER_20041117.0723-E16
E10	MARKBACKER_20041117.0723-E17
E12	MARKBACKER_20041117.0723-E18
EM19	MARKBACKER_20041117.0723-E11-1
EM36	MARKBACKER_20041117.0723-E11-2
EM21	MARKBACKER_20041117.0723-E10-3
EM22	MARKBACKER_20041117.0723-E18-4
EM23	MARKBACKER_20041117.0723-E1-5
EM24	MARKBACKER_20041117.0723-E12-6
EM25	MARKBACKER_20041117.0723-E2-7
EM26	MARKBACKER_20041117.0723-E18-8
EM27	MARKBACKER_20041117.0723-E18-9
EM28	MARKBACKER_20041117.0723-E12-10
EM29	MARKBACKER_20041117.0723-E18-11
EM30	MARKBACKER_20041117.0723-E12-12
EM31	MARKBACKER_20041117.0723-E11-13
EM32	MARKBACKER_20041117.0723-E18-14
EM35	MARKBACKER_20041117.0723-E1-15
EM33	MARKBACKER_20041117.0723-E3-16
EM37	MARKBACKER_20041117.0723-E4-17
EM38	MARKBACKER_20041117.0723-E5-18
EM39	MARKBACKER_20041117.0723-E6-19
EM40	MARKBACKER_20041117.0723-E4-20
EM41	MARKBACKER_20041117.0723-E7-21
EM15	MARKBACKER_20041117.0723-E18-22
EM17	MARKBACKER_20041117.0723-E18-23
EM34	MARKBACKER_20041117.0723-E8-24
EM6	MARKBACKER_20041117.0723-E9-25
EM7	MARKBACKER_20041117.0723-E11-26
EM18	MARKBACKER_20041117.0723-E18-27
EM1	MARKBACKER_20041117.0723-E10-28
EM2	MARKBACKER_20041117.0723-E11-29
EM3	MARKBACKER_20041117.0723-E12-30
EM4	MARKBACKER_20041117.0723-E13-31
EM8	MARKBACKER_20041117.0723-E14-32
EM42	MARKBACKER_20041117.0723-E11-33
EM5	MARKBACKER_20041117.0723-E11-34
EM9	MARKBACKER_20041117.0723-E15-35
EM10	MARKBACKER_20041117.0723-E16-36
EM11	MARKBACKER_20041117.0723-E11-37
EM12	MARKBACKER_20041117.0723-E11-38
EM14	MARKBACKER_20041117.0723-E17-39
EM20	MARKBACKER_20041117.0723-E12-40
EM16	MARKBACKER_20041117.0723-E12-41
EM13	MARKBACKER_20041117.0723-E12-42
R3	MARKBACKER_20041117.0723-R1
R1	MARKBACKER_20041117.0723-R2
R4	MARKBACKER_20041117.0723-R3
R2	MARKBACKER_20041117.0723-R4
RM3	MARKBACKER_20041117.0723-R1-1
RM1	MARKBACKER_20041117.0723-R2-1
RM4	MARKBACKER_20041117.0723-R3-1
RM2	MARKBACKER_20041117.0723-R4-1
V1	MARKBACKER_20041117.0723-EV1
VM1	MARKBACKER_20041117.0723-EV1-1
Q3	MARKBACKER_20041117.0723-T1
Q1	MARKBACKER_20041117.0723-T2
Q4	MARKBACKER_20041117.0723-T3
Q5	MARKBACKER_20041117.0723-T4
Q6	MARKBACKER_20041117.0723-T5
Q7	MARKBACKER_20041117.0723-T6
Q8	MARKBACKER_20041117.0723-T7
Q2	MARKBACKER_20041117.0723-T8
Q10	MARKBACKER_20041117.0723-T9
Q11	MARKBACKER_20041117.0723-T10
