CE10	MARKETVIEW_20050209.1923-CE1
CE11	MARKETVIEW_20050209.1923-CE2
CE12	MARKETVIEW_20050209.1923-CE3
CE6	MARKETVIEW_20050209.1923-CE4
CE13	MARKETVIEW_20050209.1923-CE5
CE2	MARKETVIEW_20050209.1923-CE6
CE3	MARKETVIEW_20050209.1923-CE7
CE4	MARKETVIEW_20050209.1923-CE8
CE5	MARKETVIEW_20050209.1923-CE9
CE7	MARKETVIEW_20050209.1923-CE10
CE8	MARKETVIEW_20050209.1923-CE11
CE1	MARKETVIEW_20050209.1923-CE12
CE9	MARKETVIEW_20050209.1923-CE13
E13	MARKETVIEW_20050209.1923-E1
E15	MARKETVIEW_20050209.1923-E2
E16	MARKETVIEW_20050209.1923-E3
E17	MARKETVIEW_20050209.1923-E4
E18	MARKETVIEW_20050209.1923-E5
E19	MARKETVIEW_20050209.1923-E6
E20	MARKETVIEW_20050209.1923-E7
E22	MARKETVIEW_20050209.1923-E8
E23	MARKETVIEW_20050209.1923-E9
E1	MARKETVIEW_20050209.1923-E10
E2	MARKETVIEW_20050209.1923-E11
E3	MARKETVIEW_20050209.1923-E12
E4	MARKETVIEW_20050209.1923-E13
E5	MARKETVIEW_20050209.1923-E14
E6	MARKETVIEW_20050209.1923-E15
E7	MARKETVIEW_20050209.1923-E16
E8	MARKETVIEW_20050209.1923-E17
E10	MARKETVIEW_20050209.1923-E18
E11	MARKETVIEW_20050209.1923-E19
E12	MARKETVIEW_20050209.1923-E20
EM1	MARKETVIEW_20050209.1923-E10-1
EM27	MARKETVIEW_20050209.1923-E13-2
EM26	MARKETVIEW_20050209.1923-E1-3
EM29	MARKETVIEW_20050209.1923-E13-4
EM30	MARKETVIEW_20050209.1923-E13-5
EM31	MARKETVIEW_20050209.1923-E2-6
EM32	MARKETVIEW_20050209.1923-E3-7
EM33	MARKETVIEW_20050209.1923-E17-8
EM36	MARKETVIEW_20050209.1923-E2-9
EM35	MARKETVIEW_20050209.1923-E4-10
EM6	MARKETVIEW_20050209.1923-E5-11
EM37	MARKETVIEW_20050209.1923-E2-12
EM38	MARKETVIEW_20050209.1923-E2-13
EM39	MARKETVIEW_20050209.1923-E17-14
EM11	MARKETVIEW_20050209.1923-E10-15
EM40	MARKETVIEW_20050209.1923-E17-16
EM28	MARKETVIEW_20050209.1923-E19-17
EM34	MARKETVIEW_20050209.1923-E8-18
EM12	MARKETVIEW_20050209.1923-E10-19
EM13	MARKETVIEW_20050209.1923-E6-20
EM16	MARKETVIEW_20050209.1923-E7-21
EM17	MARKETVIEW_20050209.1923-E11-22
EM41	MARKETVIEW_20050209.1923-E9-23
EM2	MARKETVIEW_20050209.1923-E12-24
EM3	MARKETVIEW_20050209.1923-E10-25
EM4	MARKETVIEW_20050209.1923-E13-26
EM5	MARKETVIEW_20050209.1923-E15-27
EM7	MARKETVIEW_20050209.1923-E14-28
EM8	MARKETVIEW_20050209.1923-E16-29
EM9	MARKETVIEW_20050209.1923-E17-30
EM10	MARKETVIEW_20050209.1923-E10-31
EM14	MARKETVIEW_20050209.1923-E10-32
EM15	MARKETVIEW_20050209.1923-E10-33
EM18	MARKETVIEW_20050209.1923-E13-34
EM19	MARKETVIEW_20050209.1923-E13-35
EM20	MARKETVIEW_20050209.1923-E17-36
EM21	MARKETVIEW_20050209.1923-E18-37
EM22	MARKETVIEW_20050209.1923-E13-38
EM23	MARKETVIEW_20050209.1923-E19-39
EM24	MARKETVIEW_20050209.1923-E13-40
EM25	MARKETVIEW_20050209.1923-E20-41
R1	MARKETVIEW_20050209.1923-R1
RM1	MARKETVIEW_20050209.1923-R1-1
Q10	MARKETVIEW_20050209.1923-T1
Q11	MARKETVIEW_20050209.1923-T2
Q12	MARKETVIEW_20050209.1923-T3
Q1	MARKETVIEW_20050209.1923-T4
Q2	MARKETVIEW_20050209.1923-T5
Q6	MARKETVIEW_20050209.1923-T6
Q5	MARKETVIEW_20050209.1923-T7
Q13	MARKETVIEW_20050209.1923-T8
Q14	MARKETVIEW_20050209.1923-T9
Q9	MARKETVIEW_20050209.1923-T10
