CE17	TTRACY_20050223.1049-CE1
CE18	TTRACY_20050223.1049-CE2
CE19	TTRACY_20050223.1049-CE3
CE3	TTRACY_20050223.1049-CE4
CE21	TTRACY_20050223.1049-CE5
CE22	TTRACY_20050223.1049-CE6
CE23	TTRACY_20050223.1049-CE7
CE24	TTRACY_20050223.1049-CE8
CE25	TTRACY_20050223.1049-CE9
CE26	TTRACY_20050223.1049-CE10
CE27	TTRACY_20050223.1049-CE11
CE28	TTRACY_20050223.1049-CE12
CE29	TTRACY_20050223.1049-CE13
CE30	TTRACY_20050223.1049-CE14
CE4	TTRACY_20050223.1049-CE15
CE31	TTRACY_20050223.1049-CE16
CE5	TTRACY_20050223.1049-CE17
CE20	TTRACY_20050223.1049-CE18
CE6	TTRACY_20050223.1049-CE19
CE2	TTRACY_20050223.1049-CE20
CE32	TTRACY_20050223.1049-CE21
CE13	TTRACY_20050223.1049-CE22
CE1	TTRACY_20050223.1049-CE23
CE33	TTRACY_20050223.1049-CE24
CE34	TTRACY_20050223.1049-CE25
CE14	TTRACY_20050223.1049-CE26
CE16	TTRACY_20050223.1049-CE27
CE7	TTRACY_20050223.1049-CE28
CE8	TTRACY_20050223.1049-CE29
CE9	TTRACY_20050223.1049-CE30
CE10	TTRACY_20050223.1049-CE31
CE11	TTRACY_20050223.1049-CE32
CE12	TTRACY_20050223.1049-CE33
CE15	TTRACY_20050223.1049-CE34
E10	TTRACY_20050223.1049-E1
E11	TTRACY_20050223.1049-E2
E12	TTRACY_20050223.1049-E3
E14	TTRACY_20050223.1049-E4
E16	TTRACY_20050223.1049-E5
E44	TTRACY_20050223.1049-E6
E18	TTRACY_20050223.1049-E7
E19	TTRACY_20050223.1049-E8
E20	TTRACY_20050223.1049-E9
E21	TTRACY_20050223.1049-E10
E22	TTRACY_20050223.1049-E11
E1	TTRACY_20050223.1049-E12
E23	TTRACY_20050223.1049-E13
E24	TTRACY_20050223.1049-E14
E25	TTRACY_20050223.1049-E15
E26	TTRACY_20050223.1049-E16
E27	TTRACY_20050223.1049-E17
E29	TTRACY_20050223.1049-E18
E30	TTRACY_20050223.1049-E19
E32	TTRACY_20050223.1049-E20
E33	TTRACY_20050223.1049-E21
E35	TTRACY_20050223.1049-E22
E36	TTRACY_20050223.1049-E23
E39	TTRACY_20050223.1049-E24
E40	TTRACY_20050223.1049-E25
E41	TTRACY_20050223.1049-E26
E42	TTRACY_20050223.1049-E27
E45	TTRACY_20050223.1049-E28
E3	TTRACY_20050223.1049-E29
E4	TTRACY_20050223.1049-E30
E5	TTRACY_20050223.1049-E31
E6	TTRACY_20050223.1049-E32
E7	TTRACY_20050223.1049-E33
E8	TTRACY_20050223.1049-E34
E9	TTRACY_20050223.1049-E35
EM23	TTRACY_20050223.1049-E35-1
EM25	TTRACY_20050223.1049-E34-2
EM26	TTRACY_20050223.1049-E35-3
EM27	TTRACY_20050223.1049-E12-4
EM28	TTRACY_20050223.1049-E1-5
EM29	TTRACY_20050223.1049-E34-6
EM30	TTRACY_20050223.1049-E2-7
EM31	TTRACY_20050223.1049-E3-8
EM32	TTRACY_20050223.1049-E4-9
EM33	TTRACY_20050223.1049-E12-10
EM34	TTRACY_20050223.1049-E12-11
EM36	TTRACY_20050223.1049-E12-12
EM38	TTRACY_20050223.1049-E5-13
EM39	TTRACY_20050223.1049-E12-14
EM40	TTRACY_20050223.1049-E12-15
EM42	TTRACY_20050223.1049-E34-16
EM43	TTRACY_20050223.1049-E12-17
EM44	TTRACY_20050223.1049-E7-18
EM45	TTRACY_20050223.1049-E12-19
EM46	TTRACY_20050223.1049-E12-20
EM47	TTRACY_20050223.1049-E12-21
EM48	TTRACY_20050223.1049-E8-22
EM49	TTRACY_20050223.1049-E12-23
EM50	TTRACY_20050223.1049-E9-24
EM51	TTRACY_20050223.1049-E34-25
EM52	TTRACY_20050223.1049-E8-26
EM53	TTRACY_20050223.1049-E8-27
EM54	TTRACY_20050223.1049-E12-28
EM55	TTRACY_20050223.1049-E12-29
EM56	TTRACY_20050223.1049-E12-30
EM57	TTRACY_20050223.1049-E8-31
EM58	TTRACY_20050223.1049-E10-32
EM59	TTRACY_20050223.1049-E12-33
EM60	TTRACY_20050223.1049-E12-34
EM61	TTRACY_20050223.1049-E12-35
EM62	TTRACY_20050223.1049-E12-36
EM63	TTRACY_20050223.1049-E12-37
EM64	TTRACY_20050223.1049-E12-38
EM65	TTRACY_20050223.1049-E12-39
EM66	TTRACY_20050223.1049-E12-40
EM67	TTRACY_20050223.1049-E12-41
EM68	TTRACY_20050223.1049-E12-42
EM69	TTRACY_20050223.1049-E12-43
EM70	TTRACY_20050223.1049-E11-44
EM71	TTRACY_20050223.1049-E12-45
EM72	TTRACY_20050223.1049-E12-46
EM73	TTRACY_20050223.1049-E12-47
EM74	TTRACY_20050223.1049-E13-48
EM75	TTRACY_20050223.1049-E14-49
EM76	TTRACY_20050223.1049-E12-50
EM77	TTRACY_20050223.1049-E15-51
EM78	TTRACY_20050223.1049-E12-52
EM79	TTRACY_20050223.1049-E16-53
EM80	TTRACY_20050223.1049-E17-54
EM81	TTRACY_20050223.1049-E16-55
EM82	TTRACY_20050223.1049-E12-56
